recommended_role	bridge_score	ingredient_id	ingredient_name	priority_class	priority_score	evidence_count	reference_count	clinical_trial_count	meta_analysis_count	b_cell_evidence_count	myeloid_dc_evidence_count	lincs_exact_id_covered	herb_literature_unique_targets	herb_database_unique_targets	bulk_uc_ibd_up150_target_hits	bulk_uc_ibd_down150_target_hits	target_count_bias_flag	up150_hit_genes	b_axis_delta	b_axis_p	b_axis_patient_label_null_p	mdc_axis_delta	mdc_axis_p	mdc_axis_patient_label_null_p	low_specificity_flag	best_b_cell_evidence	best_myeloid_dc_evidence	herb_evidence_sources
primary_lead_for_b_cell_axis	121.0	HBIN021985	Curcumin	priority_for_lincs_mapping	55.0	13	4	5	4	2	1	yes	307	152	23	4	no	CCL2;CD274;COL1A1;CTLA4;CXCL1;CXCL8;FOS;ICAM1;IL1A;IL1B;IL33;MMP1;MMP3;MMP9;NOS2;PLAU;PTGS2;S100A8;SELE;SELP;SERPINA1;SPP1;TIMP1	0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway	HERB_clinical_trial:5;HERB_meta_analysis:4;HERB_reference:4
secondary_lead_for_myeloid_axis	74.35	HBIN017892	Berberime	priority_for_lincs_mapping	41.0	10	6	1	3	0	2	yes	77	334	13	3	no	FAP;FOS;ICAM1;IDO1;IL1B;MMP1;MMP3;MMP9;NOS2;PLAU;PTGS2;SLCO1B3;TIMP1	0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Berberine Modulates Macrophage Activation by Inducing Glycolysis	HERB_clinical_trial:1;HERB_meta_analysis:3;HERB_reference:6
secondary_lead_for_myeloid_axis	59.0	HBIN041495	Quercetin	priority_for_lincs_mapping	17.0	2	2	0	0	0	1	yes	189	161	23	5	no	CCL2;COL1A1;CXCL10;CXCL11;CXCL8;DUOX2;FOS;ICAM1;IDO1;IL1A;IL1B;MMP1;MMP12;MMP3;MMP9;NOS2;PLAU;PTGS2;SELE;SLC7A11;SPP1;STC1;TREM1	0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Quercetin Administration Suppresses the Cytokine Storm in Myeloid and Plasmacytoid Dendritic Cells	HERB_reference:2
secondary_lead_for_myeloid_axis	48.65	HBIN048372	Wogonin	priority_for_lincs_mapping	17.0	3	3	0	0	0	1	no	73	308	16	4	no	BCL2A1;C2;CCL2;CFB;CFI;CXCL8;GZMK;IL1B;KLK10;MMP1;MMP3;MMP9;NOS2;PLAU;PTGS2;SPP1	0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		NF-κB and Nrf2 signaling pathways contribute to wogonin-mediated inhibition of inflammation-associated colorectal carcinogenesis	HERB_reference:3
secondary_lead_for_myeloid_axis	41.5	HBIN020921	Cis-resveratrol	priority_for_lincs_mapping	18.0	2	1	1	0	0	1	no	152	37	9	4	no	CXCL10;FOS;ICAM1;IL1B;MMP10;MMP9;NOS2;PTGS2;SELP	0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Role of resveratrol-induced CD11b(+) Gr-1(+) myeloid derived suppressor cells (MDSCs) in the reduction of CXCR3(+) T cells and amelioration of chronic colitis in IL-10(-/-) mice	HERB_clinical_trial:1;HERB_reference:1
secondary_lead_for_myeloid_axis	38.5	HBIN045672	Taxifolin	priority_for_lincs_mapping	21.0	3	3	0	0	0	1	yes	50	22	6	2	no	ICAM1;IL1B;MMP10;NOS2;PTGS2;SLC7A11	0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Dietary Taxifolin Protects Against Dextran Sulfate Sodium-Induced Colitis via NF-κB Signaling, Enhancing Intestinal Barrier and Modulating Gut Microbiota	HERB_reference:3
secondary_lead_for_myeloid_axis	38.45	HBIN029531	Honokiol	priority_for_lincs_mapping	17.0	2	2	0	0	0	1	yes	99	99	7	4	no	CCL2;COL1A1;FOS;IL1B;MMP3;NOS2;PTGS2	0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Honokiol alleviates ulcerative colitis by targeting PPAR-γ-TLR4-NF-κB signaling and suppressing gasdermin-D-mediated pyroptosis in vivo and in vitro	HERB_reference:2
secondary_lead_for_myeloid_axis	35.35	HBIN038606	Paeoniflorin	priority_for_lincs_mapping	17.0	3	3	0	0	0	1	no	77	20	7	5	no	COL1A1;ICAM1;IL1A;IL1B;MMP9;PTGS2;SOCS3	0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Paeoniflorin prevents aberrant proliferation and differentiation of intestinal stem cells by controlling C1q release from macrophages in chronic colitis	HERB_reference:3
secondary_lead_for_myeloid_axis	32.75	HBIN042199	Rhein	priority_for_lincs_mapping	18.0	3	3	0	0	0	1	no	35	90	6	5	no	CXCL8;IL1B;MMP9;NOS2;PTGS2;S100A9	0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Rhein regulates redox-mediated activation of NLRP3 inflammasomes in intestinal inflammation through macrophage-activated crosstalk	HERB_reference:3
secondary_lead_for_myeloid_axis	31.7	HBIN030442	Isoarnebin 4	priority_for_lincs_mapping	17.0	2	2	0	0	0	1	no	64	48	5	4	no	IL1B;MMP1;MMP9;NOS2;PTGS2	0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Shikonin ameliorated mice colitis by inhibiting dimerization and tetramerization of PKM2 in macrophages	HERB_reference:2
