ingredient_id	ingredient_name	n_etcm2_target_name_edges	n_mapped_gene_symbols_all_confidence	mapped_gene_symbols_all_confidence	n_accepted_mapped_gene_symbols_exact_high	accepted_mapped_gene_symbols_exact_high	n_overlap_with_herb_m9_disease_context_targets	overlap_with_herb_m9_disease_context_targets	n_overlap_with_bulk_aligned_targets	overlap_with_bulk_aligned_targets	n_overlap_with_open_targets_genetic_supported	overlap_with_open_targets_genetic_supported
HBIN045672	Taxifolin	39	36	ABCG2;ADORA3;ALPL;BACE1;CA1;CA12;CA2;CA3;CA4;CA5A;CA5B;CA7;CA9;CBR1;CRHBP;CTDSP1;CYP19A1;CYP1A1;CYP1B1;CYP2C9;DPP4;ELANE;FGFR1;HSD17B1;HSP90AB1;KDR;KLK2;MAPK10;MAPK14;MCL1;MET;PSIP1;PSMB5;SHBG;SLCO2B1;TAS2R31	36	ABCG2;ADORA3;ALPL;BACE1;CA1;CA12;CA2;CA3;CA4;CA5A;CA5B;CA7;CA9;CBR1;CRHBP;CTDSP1;CYP19A1;CYP1A1;CYP1B1;CYP2C9;DPP4;ELANE;FGFR1;HSD17B1;HSP90AB1;KDR;KLK2;MAPK10;MAPK14;MCL1;MET;PSIP1;PSMB5;SHBG;SLCO2B1;TAS2R31	1	MAPK14	0		1	MAPK14
HBIN017893	Berberine	9	8	ACHE;CYP1B1;CYP3A4;EP300;RXRA;SAE1;SENP8;UBE2I	8	ACHE;CYP1B1;CYP3A4;EP300;RXRA;SAE1;SENP8;UBE2I	0		0		0	
HBIN021795	Cryptotanshinone	6	6	ACHE;CES2;ELAVL1;HIF1A;PTPN11;PTPN6	6	ACHE;CES2;ELAVL1;HIF1A;PTPN11;PTPN6	0		0		0	
HBIN021985	Curcumin	6	5	BACE1;GSK3B;HDAC1;HDAC2;HDAC8	5	BACE1;GSK3B;HDAC1;HDAC2;HDAC8	0		0		0	
HBIN018512	Bilobalide	2	2	GLRA2;PTAFR	2	GLRA2;PTAFR	0		0		0	
HBIN027450	Geniposide	1	1	CTDSP1	1	CTDSP1	0		0		0	
HBIN030442	Isoarnebin 4	1	1	EGFR	1	EGFR	0		0		0	
