accession	gene_symbol	gene_title	gene_id	best_probe_id	log2fc	t_stat	p_value	fdr	probe_count
GSE87466	RTEL1	regulator of telomere elongation helicase 1	51750	206467_PM_x_at	1.47478	20.1996	2.50924e-37	1.37293e-32	5
GSE87466	SLC26A2	solute carrier family 26 member 2	1836	224959_PM_at	-2.4534	-17.6169	3.70046e-33	1.01235e-28	3
GSE87466	MTMR11	myotubularin related protein 11	10903	205076_PM_s_at	-1.33726	-16.9271	1.65513e-31	3.01868e-27	2
GSE87466	DHRS11	dehydrogenase/reductase 11	79154	218756_PM_s_at	-2.06595	-16.878	3.96604e-31	5.42505e-27	1
GSE87466	LOC100288092	uncharacterized LOC100288092	100288092	235147_PM_at	-1.89736	-16.4061	7.41666e-31	8.11605e-27	1
GSE87466	SLC16A1	solute carrier family 16 member 1	6566	209900_PM_s_at	-1.46221	-17.9238	1.04904e-30	9.56637e-27	5
GSE87466	MMP10	matrix metallopeptidase 10	4319	205680_PM_at	3.41312	17.6132	1.4092e-30	1.10149e-26	1
GSE87466	PAQR5	progestin and adipoQ receptor family member 5	54852	242871_PM_at	-1.77047	-17.9999	2.28296e-30	1.5614e-26	2
GSE87466	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2	3158	204607_PM_at	-3.39817	-16.1041	3.18974e-30	1.93918e-26	2
GSE87466	HAPLN3	hyaluronan and proteoglycan link protein 3	145864	227262_PM_at	1.92907	16.8907	4.55104e-30	2.4901e-26	1
GSE87466	SGK2	SGK2, serine/threonine kinase 2	10110	230573_PM_at	-2.29417	-16.7484	1.31738e-29	6.55277e-26	2
GSE87466	WARS	tryptophanyl-tRNA synthetase	7453	200628_PM_s_at	1.90309	17.5167	1.70696e-29	7.78303e-26	2
GSE87466	CHP2	calcineurin like EF-hand protein 2	63928	206149_PM_at	-2.58047	-15.5027	5.8679e-29	2.46971e-25	1
GSE87466	DPP10-AS1	DPP10 antisense RNA 1	389023	236351_PM_at	-3.51544	-25.8185	7.84382e-29	3.06553e-25	1
GSE87466	PCK1	phosphoenolpyruvate carboxykinase 1	5105	208383_PM_s_at	-3.6314	-15.2746	1.55922e-28	5.68751e-25	1
GSE87466	AQP9	aquaporin 9	366	205568_PM_at	3.31165	15.9961	1.6819e-28	5.75157e-25	1
GSE87466	TNIP3	TNFAIP3 interacting protein 3	79931	220655_PM_at	3.88206	17.1422	1.82651e-28	5.87868e-25	1
GSE87466	HCAR3	hydroxycarboxylic acid receptor 3	8843	205220_PM_at	3.31585	15.1457	5.35102e-28	1.62656e-24	1
GSE87466	SELENBP1	selenium binding protein 1	8991	214433_PM_s_at	-1.46944	-14.9403	8.39005e-28	2.41611e-24	2
GSE87466	PROK2	prokineticin 2	60675	232629_PM_at	3.24437	14.6697	5.89213e-27	1.53518e-23	1
GSE87466	FPR1	formyl peptide receptor 1	2357	205119_PM_s_at	2.61388	14.7871	9.07615e-27	2.25728e-23	2
GSE87466	TRIM29	tripartite motif containing 29	23650	211002_PM_s_at	1.18947	14.9244	1.32953e-26	3.16284e-23	3
GSE87466	CWH43	cell wall biogenesis 43 C-terminal homolog	80157	220723_PM_s_at	-2.80752	-14.2863	2.50296e-26	5.70623e-23	2
GSE87466	CLEC4E	C-type lectin domain family 4 member E	26253	222934_PM_s_at	2.12926	14.2266	2.70064e-26	5.91062e-23	2
GSE87466	CTDSPL	CTD small phosphatase like	10217	201906_PM_s_at	-0.865743	-14.4926	3.79741e-26	7.99136e-23	5
GSE87466	LILRB3	leukocyte immunoglobulin like receptor B3	11025	210225_PM_x_at	1.48086	14.3139	4.11956e-26	8.34821e-23	4
GSE87466	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	9429	209735_PM_at	-3.19653	-16.7852	4.95955e-26	9.3573e-23	1
GSE87466	OLFML2B	olfactomedin like 2B	25903	213125_PM_at	1.18413	14.8914	4.86824e-26	9.3573e-23	1
GSE87466	KLK10	kallikrein related peptidase 10	5655	209792_PM_s_at	3.41077	14.1025	5.77908e-26	1.05401e-22	2
GSE87466	S100A9	S100 calcium binding protein A9	6280	203535_PM_at	2.52217	14.656	6.72211e-26	1.18645e-22	1
GSE87466	KRT6B	keratin 6B	3854	213680_PM_at	2.77316	14.2071	7.83195e-26	1.33914e-22	2
GSE87466	SATB2-AS1	SATB2 antisense RNA 1	150538	1560010_PM_a_at	-2.68687	-14.4109	3.13795e-25	5.04979e-22	2
GSE87466	PLAU	plasminogen activator, urokinase	5328	205479_PM_s_at	1.86178	15.1461	8.97876e-25	1.36465e-21	2
GSE87466	PPARGC1A	PPARG coactivator 1 alpha	10891	219195_PM_at	-1.83371	-13.8435	1.12166e-24	1.65869e-21	2
GSE87466	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	54566	223426_PM_s_at	-1.74473	-13.6687	1.30005e-24	1.8719e-21	6
GSE87466	AQP8	aquaporin 8	343	206784_PM_at	-4.77307	-17.0513	1.46977e-24	2.06201e-21	1
GSE87466	GRHL1	grainyhead like transcription factor 1	29841	222830_PM_at	1.54907	15.6714	1.93884e-24	2.65209e-21	2
GSE87466	TRIB2	tribbles pseudokinase 2	28951	202479_PM_s_at	1.09369	13.4735	2.06738e-24	2.75894e-21	2
GSE87466	DUOXA2	dual oxidase maturation factor 2	405753	230615_PM_at	3.24296	17.2815	2.77878e-24	3.62002e-21	1
GSE87466	CD40	CD40 molecule	958	215346_PM_at	1.05219	14.1439	5.18715e-24	6.45034e-21	4
GSE87466	DUSP4	dual specificity phosphatase 4	1846	204014_PM_at	1.65052	14.8418	6.65931e-24	7.75243e-21	3
GSE87466	SERPINB9	serpin family B member 9	5272	242814_PM_at	1.99064	15.0794	8.51729e-24	9.32047e-21	3
GSE87466	ABCA12	ATP binding cassette subfamily A member 12	26154	215465_PM_at	1.75065	14.6542	9.00556e-24	9.66155e-21	1
GSE87466	PDGFRB	platelet derived growth factor receptor beta	5159	202273_PM_at	1.19684	13.4895	1.08503e-23	1.12014e-20	1
GSE87466	TCN1	transcobalamin 1	6947	205513_PM_at	3.16863	13.8713	1.21274e-23	1.2288e-20	1
GSE87466	CXCL11	C-X-C motif chemokine ligand 11	6373	210163_PM_at	2.91275	13.929	3.38509e-23	3.36755e-20	2
