ingredient_id	ingredient_name	candidate_priority_class	candidate_priority_score	bridge_score	disease_context_edge_rows	n_disease_context_unique_targets	disease_context_unique_targets	n_bulk_up_target_hits	bulk_up_target_hits	n_bulk_down_target_hits	bulk_down_target_hits	n_aligned_target_genes	aligned_target_genes	n_b_cell_expressed_targets	b_cell_expressed_targets	n_b_cell_disease_increased_targets	b_cell_disease_increased_targets	n_mdc_expressed_targets	mdc_expressed_targets	n_mdc_disease_increased_targets	mdc_disease_increased_targets	top_b_cell_target_evidence
HBIN046831	Trans-resveratrol	priority_for_lincs_mapping	27.0	22	7	7	BECN1;IL1B;IL6;MAP1LC3B;MARVELD1;TJP1;TNF	1	IL1B	0		1	IL1B	4	BECN1;IL1B;MAP1LC3B;TNF	4	BECN1;IL1B;MAP1LC3B;TNF	4	BECN1;IL1B;MAP1LC3B;TNF	4	BECN1;IL1B;MAP1LC3B;TNF	
HBIN029531	Honokiol	priority_for_lincs_mapping	17.0	21.5	6	6	COX2;IL1B;IL6;NOS2;PPARG;TNF	2	IL1B;NOS2	1	PPARG	3	IL1B;NOS2;PPARG	2	IL1B;TNF	2	IL1B;TNF	2	IL1B;TNF	2	IL1B;TNF	
HBIN015751	Alpinetin	priority_for_lincs_mapping	13.0	21.2	6	6	AHR;CREB1;DNMT1;NFKB1;NR1I2;TNF	0		0		0		5	AHR;CREB1;DNMT1;NFKB1;TNF	5	AHR;CREB1;DNMT1;NFKB1;TNF	5	AHR;CREB1;DNMT1;NFKB1;TNF	3	AHR;NFKB1;TNF	
HBIN017136	Asperuloside	priority_for_lincs_mapping	19.0	19.2	8	7	GABPA;HMOX1;NFKB1;NQO1;RELA;SMAD3;VDR	0		0		0		5	GABPA;HMOX1;NFKB1;RELA;SMAD3	4	HMOX1;NFKB1;RELA;SMAD3	5	GABPA;HMOX1;NFKB1;RELA;SMAD3	2	NFKB1;RELA	
HBIN042199	Rhein	priority_for_lincs_mapping	18.0	17.8	4	4	IL1B;IL6;NLRP3;TNF	1	IL1B	0		1	IL1B	3	IL1B;NLRP3;TNF	3	IL1B;NLRP3;TNF	3	IL1B;NLRP3;TNF	3	IL1B;NLRP3;TNF	
HBIN019690	Capsaicin	priority_for_lincs_mapping	14.0	12.8	8	8	CAT;IL10;IL6;SOD1;TNF;TRPA1;TRPV1;TRPV4	0		0		0		3	CAT;SOD1;TNF	3	CAT;SOD1;TNF	3	CAT;SOD1;TNF	1	TNF	
HBIN048372	Wogonin	priority_for_lincs_mapping	17.0	9.25	4	4	HIF1A;IL10;NOS2;PPARG	1	NOS2	1	PPARG	1	NOS2	1	HIF1A	1	HIF1A	1	HIF1A	1	HIF1A	
HBIN018800	Brahmic acid	priority_for_lincs_mapping	14.0	7.25	3	3	IL17A;PPARG;PRKAA1	0		1	PPARG	1	PPARG	1	PRKAA1	1	PRKAA1	1	PRKAA1	0		
HBIN020921	Cis-resveratrol	priority_for_lincs_mapping	18.0	6.25	4	4	CXCL10;IL6;SAA;TNF	1	CXCL10	0		0		1	TNF	1	TNF	1	TNF	1	TNF	
HBIN044493	Spermidine	priority_for_lincs_mapping	15.0	5.75	2	2	IFNG;TNF	0		0		0		2	IFNG;TNF	1	TNF	1	TNF	1	TNF	
HBIN034657	Melatonin	priority_for_lincs_mapping	20.0	4.25	1	1	MAPK14	0		0		0		1	MAPK14	1	MAPK14	1	MAPK14	0		
HBIN041217	Pterostilbene	priority_for_lincs_mapping	13.0	2.25	1	1	TLR4	0		0		0		1	TLR4	0		1	TLR4	1	TLR4	
HBIN034558	Matrine	priority_for_lincs_mapping	17.0	0	1	1	DAO	0		0		0		0		0		0		0		
HBIN038606	Paeoniflorin	priority_for_lincs_mapping	17.0	0	1	1	C1QA	0		0		0		0		0		0		0		
HBIN041495	Quercetin	priority_for_lincs_mapping	17.0	0	1	1	FGF2	0		0		0		0		0		0		0		
