gene_symbol	module	top50_rank_within_module	consensus_mean_log2fc	consensus_score	present_in_gse125527	mean_log1p_cpm_diseased_blineage	mean_log1p_cpm_healthy_blineage	delta_log1p_cpm_diseased_minus_healthy	mannwhitney_p	absolute_delta
TIMP1	up	40	2.53568	5.07137	yes	0.746457661686506	1.4486774187748874	-0.7022197570883815	0.012121212121212121	0.7022197570883815
KYNU	up	23	2.91714	5.83428	yes	0.1999031758816761	0.08967139382148803	0.11023178206018808	0.16363636363636364	0.11023178206018808
PHLPP2	down	37	-2.08291	4.16581	yes	0.04309454096509622	0.014807106812169537	0.028287434152926682	0.2303030303030303	0.028287434152926682
ABCB1	down	26	-2.39182	4.78365	yes	0.025964198683053597	0.04005283965543292	-0.014088640972379326	0.5272727272727272	0.014088640972379326
VSIG1	up	32	2.73914	5.47827	yes	0.011727180023525225	0.006002427722499034	0.0057247523010261914	0.39401461844805696	0.0057247523010261914
PTGS2	up	26	2.89001	5.78002	yes	0.001096150772169857	0.006421704066478981	-0.005325553294309123	0.09921314895488298	0.005325553294309123
SLC26A2	down	7	-3.48876	6.97751	yes	0.032773652217690456	0.03624688479066951	-0.003473232572979053	1.0	0.003473232572979053
TNIP3	up	6	4.10081	8.20162	yes	0.006509918156869359	0.003939596379924657	0.0025703217769447017	0.7662303342597001	0.0025703217769447017
S100A8	up	7	4.09886	8.19772	yes	0.0024045759087909244	0.0046543220247240984	-0.002249746115933174	0.30281045576215304	0.002249746115933174
CXCL8	up	15	3.53596	7.07192	yes	0.004715682873941674	0.003188294125039259	0.001527388748902415	0.7426672542939013	0.001527388748902415
IL1B	up	19	3.3754	6.75081	yes	0.005011153547317859	0.0038779155309053	0.0011332380164125592	1.0	0.0011332380164125592
S100A12	up	41	2.52592	5.05184	yes	0.00032898737105226036	0.0	0.00032898737105226036	0.5707503880581739	0.00032898737105226036
ANPEP	down	41	-2.03026	4.06051	yes	0.0	0.0	0.0	1.0	0.0
SLC6A14	up	1	5.3627	10.7254	no	0.0	0.0	0.0	1.0	0.0
MMP3	up	2	4.95087	9.90174	no	0.0	0.0	0.0	1.0	0.0
DUOX2	up	3	4.62781	9.25561	no	0.0	0.0	0.0	1.0	0.0
CHI3L1	up	4	4.2248	8.4496	no	0.0	0.0	0.0	1.0	0.0
REG1A	up	5	4.16969	8.33939	no	0.0	0.0	0.0	1.0	0.0
REG3A	up	8	3.85329	7.70658	no	0.0	0.0	0.0	1.0	0.0
REG1B	up	9	3.82744	7.65487	no	0.0	0.0	0.0	1.0	0.0
DUOXA2	up	10	3.78093	7.56187	no	0.0	0.0	0.0	1.0	0.0
VNN1	up	11	3.72317	7.44634	no	0.0	0.0	0.0	1.0	0.0
SAA2	up	12	3.67694	7.35389	no	0.0	0.0	0.0	1.0	0.0
IDO1	up	13	3.64299	7.28598	no	0.0	0.0	0.0	1.0	0.0
CXCL1	up	14	3.63465	7.26931	no	0.0	0.0	0.0	1.0	0.0
MMP1	up	16	3.49179	6.98359	no	0.0	0.0	0.0	1.0	0.0
AQP9	up	17	3.37809	6.75618	no	0.0	0.0	0.0	1.0	0.0
TCN1	up	18	3.37597	6.75195	no	0.0	0.0	0.0	1.0	0.0
SERPINB5	up	20	3.30745	6.6149	no	0.0	0.0	0.0	1.0	0.0
LCN2	up	21	3.18023	6.36046	no	0.0	0.0	0.0	1.0	0.0
MMP7	up	22	2.98376	5.96751	no	0.0	0.0	0.0	1.0	0.0
FCGR3B	up	24	2.90231	5.80462	no	0.0	0.0	0.0	1.0	0.0
MMP12	up	25	2.89752	5.79504	no	0.0	0.0	0.0	1.0	0.0
SERPINA3	up	27	2.86608	5.73216	no	0.0	0.0	0.0	1.0	0.0
MMP10	up	28	2.84809	5.69619	no	0.0	0.0	0.0	1.0	0.0
CXCL11	up	29	2.83551	5.67102	no	0.0	0.0	0.0	1.0	0.0
TNC	up	30	2.82474	5.64948	no	0.0	0.0	0.0	1.0	0.0
HCAR3	up	31	2.73939	5.47878	no	0.0	0.0	0.0	1.0	0.0
CDH3	up	33	2.71683	5.43366	no	0.0	0.0	0.0	1.0	0.0
ABCA12	up	34	2.70745	5.4149	no	0.0	0.0	0.0	1.0	0.0
KLK10	up	35	2.6872	5.3744	no	0.0	0.0	0.0	1.0	0.0
CXCL10	up	36	2.66411	5.32821	no	0.0	0.0	0.0	1.0	0.0
SERPINB3	up	37	2.60825	5.21651	no	0.0	0.0	0.0	1.0	0.0
PI3	up	38	2.58435	5.16871	no	0.0	0.0	0.0	1.0	0.0
CXCL9	up	39	2.57349	5.14698	no	0.0	0.0	0.0	1.0	0.0
UBD	up	42	2.51885	5.0377	no	0.0	0.0	0.0	1.0	0.0
SERPINB7	up	43	2.49003	4.98007	no	0.0	0.0	0.0	1.0	0.0
DMBT1	up	44	2.48838	4.97675	no	0.0	0.0	0.0	1.0	0.0
CXCL13	up	45	2.47466	4.94933	no	0.0	0.0	0.0	1.0	0.0
CEMIP	up	46	2.47236	4.94472	no	0.0	0.0	0.0	1.0	0.0
DEFA5	up	47	2.46136	4.92273	no	0.0	0.0	0.0	1.0	0.0
PROK2	up	48	2.45093	4.90186	no	0.0	0.0	0.0	1.0	0.0
NOS2	up	49	2.45003	4.90006	no	0.0	0.0	0.0	1.0	0.0
TNFAIP6	up	50	2.44325	4.88651	no	0.0	0.0	0.0	1.0	0.0
AQP8	down	1	-5.14408	10.2882	no	0.0	0.0	0.0	1.0	0.0
