accession	gene_symbol	gene_title	gene_id	best_probe_id	log2fc	t_stat	p_value	fdr	probe_count
GSE75214	SLC26A2	solute carrier family 26 member 2	1836	8109194	-4.52411	-30.6485	1.57937e-46	5.25172e-42	1
GSE75214	ABCA12	ATP binding cassette subfamily A member 12	26154	8058708	3.66425	25.6164	6.17524e-41	1.0267e-36	1
GSE75214	PADI2	peptidyl arginine deiminase 2	11240	7912937	-3.14891	-27.0239	2.10407e-37	2.33215e-33	1
GSE75214	TCN1	transcobalamin 1	6947	7948444	3.58332	22.3569	1.69433e-36	1.4085e-32	1
GSE75214	VSIG1	V-set and immunoglobulin domain containing 1	340547	8169263	3.80544	22.3581	2.17392e-36	1.44574e-32	1
GSE75214	HAPLN3	hyaluronan and proteoglycan link protein 3	145864	7991224	1.39144	22.4692	3.39586e-36	1.88199e-32	1
GSE75214	CXCL2	C-X-C motif chemokine ligand 2	2920	8100994	2.37526	24.7028	7.48465e-35	3.55542e-31	1
GSE75214	EPHX2	epoxide hydrolase 2	2053	8145532	-1.72288	-20.4961	1.7158e-33	7.13172e-30	1
GSE75214	TNIP3	TNFAIP3 interacting protein 3	79931	8102594	4.31956	23.8734	1.51682e-32	5.60414e-29	1
GSE75214	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5	957	7980080	-2.19845	-20.9443	4.29614e-32	1.42855e-28	1
GSE75214	CXCL3	C-X-C motif chemokine ligand 3	2921	8100984	1.3125	22.1531	2.03853e-31	6.16229e-28	1
GSE75214	SERPINA3	serpin family A member 3	12	7976496	2.77232	19.8562	2.53044e-31	7.01185e-28	1
GSE75214	SLC9A2	solute carrier family 9 member A2	6549	8044080	-1.8992	-17.749	7.51424e-30	1.81002e-26	1
GSE75214	HM13	histocompatibility minor 13	81502	8061542	0.821799	23.5628	7.62067e-30	1.81002e-26	1
GSE75214	AQP9	aquaporin 9	366	7983910	3.44453	17.6108	1.95468e-29	4.33313e-26	1
GSE75214	UGT2A3	UDP glucuronosyltransferase family 2 member A3	79799	8100760	-4.31692	-27.0127	7.41073e-29	1.54013e-25	2
GSE75214	MAOA	monoamine oxidase A	4128	8166925	-1.67643	-16.9371	1.15921e-28	2.26741e-25	1
GSE75214	SELP	selectin P	6403	7922200	2.50623	18.499	1.39913e-28	2.58466e-25	1
GSE75214	MMP7	matrix metallopeptidase 7	4316	7951217	3.74352	19.7146	1.98888e-28	3.48075e-25	1
GSE75214	THBD	thrombomodulin	7056	8065353	1.00663	16.4713	1.1901e-27	1.97866e-24	1
GSE75214	S100A9	S100 calcium binding protein A9	6280	7905571	2.2207	16.0242	4.38826e-27	6.9485e-24	1
GSE75214	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	56999	8088560	2.03789	20.6576	4.75891e-27	7.19288e-24	1
GSE75214	COL15A1	collagen type XV alpha 1 chain	1306	8156783	1.6944	15.9646	6.29508e-27	9.10104e-24	1
GSE75214	AKAP1	A-kinase anchoring protein 1	8165	8008664	-1.11624	-16.3553	8.04532e-27	1.11468e-23	1
GSE75214	SLC17A4	solute carrier family 17 member 4	10050	8117304	-2.8719	-18.527	2.30239e-26	2.83552e-23	1
GSE75214	DHRS11	dehydrogenase/reductase 11	79154	8006655	-2.3531	-18.987	2.21985e-26	2.83552e-23	1
GSE75214	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	5209	7926037	2.11433	19.2087	2.297e-26	2.83552e-23	1
GSE75214	MMP10	matrix metallopeptidase 10	4319	7951259	2.28307	16.427	2.70081e-26	3.2074e-23	1
GSE75214	CD40	CD40 molecule	958	8063156	1.02805	17.01	4.72958e-26	5.42303e-23	1
GSE75214	VIPR1	vasoactive intestinal peptide receptor 1	7433	8079060	-1.69821	-16.2742	1.10173e-25	1.22116e-22	1
GSE75214	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	54566	8163116	-1.158	-16.7089	1.22688e-25	1.31601e-22	1
GSE75214	DUSP4	dual specificity phosphatase 4	1846	8150076	1.29991	17.9414	1.68574e-25	1.75169e-22	1
GSE75214	SELE	selectin E	6401	7922229	2.6709	15.273	2.86979e-25	2.8917e-22	1
GSE75214	GUCA2A	guanylate cyclase activator 2A	2980	7915404	-3.31586	-16.4278	4.93961e-25	4.83094e-22	1
GSE75214	CXCR1	C-X-C motif chemokine receptor 1	3577	8058905	2.34755	14.9396	6.02841e-25	5.72733e-22	1
GSE75214	GOLIM4	golgi integral membrane protein 4	27333	8091954	-0.689939	-15.0709	7.81891e-25	7.22207e-22	1
GSE75214	SLC4A4	solute carrier family 4 member 4	8671	8095585	-1.89241	-14.716	9.50647e-25	8.54349e-22	1
GSE75214	CWH43	cell wall biogenesis 43 C-terminal homolog	80157	8094988	-3.03888	-18.1038	1.79777e-24	1.53281e-21	1
GSE75214	SATB2	SATB homeobox 2	23314	8058091	-1.52216	-14.4939	1.8826e-24	1.56501e-21	1
GSE75214	SAA1	serum amyloid A1	6288	7938758	1.65574	14.5515	2.07805e-24	1.68535e-21	1
GSE75214	SLCO1B3	solute carrier organic anion transporter family member 1B3	28234	7954330	2.74864	14.3798	3.08245e-24	2.38367e-21	1
GSE75214	MEP1A	meprin A subunit alpha	4224	8120088	-2.2617	-14.3434	3.49736e-24	2.64305e-21	1
