gene_symbol	pmid	pubmed_found	herb_reference_title	pubmed_title	title_match	relationship	relationship_direction	therapeutic_alignment	target_term_found_in_pubmed_title_or_abstract	matched_target_patterns	disease_context_terms_in_pubmed_record	supporting_sentence
IL15	33597887	yes	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis.	yes	NA	down	not_in_bulk_module	yes	\bIL-?15\b	curcumin;colitis;dss;memory_cell	After 7 days of continuous curcumin (100 mg/kg/day) administration, the DSS-induced experimental colitis was effectively relieved, with significant decreases in the ratio of day weight to initial body weight, colonic weight, pathological injury score, levels of proinflammatory cytokines IL-7, IL-15, and IL-21, colonic mucosal ulceration, and amount of inflammatory infiltrate.
IL22	33597887	yes	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis.	yes	NA	down	not_in_bulk_module	no		curcumin;colitis;dss;memory_cell	After 7 days of continuous curcumin (100 mg/kg/day) administration, the DSS-induced experimental colitis was effectively relieved, with significant decreases in the ratio of day weight to initial body weight, colonic weight, pathological injury score, levels of proinflammatory cytokines IL-7, IL-15, and IL-21, colonic mucosal ulceration, and amount of inflammatory infiltrate.
IL7	33597887	yes	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis.	yes	NA	down	not_in_bulk_module	yes	\bIL-?7A?\b	curcumin;colitis;dss;memory_cell	After 7 days of continuous curcumin (100 mg/kg/day) administration, the DSS-induced experimental colitis was effectively relieved, with significant decreases in the ratio of day weight to initial body weight, colonic weight, pathological injury score, levels of proinflammatory cytokines IL-7, IL-15, and IL-21, colonic mucosal ulceration, and amount of inflammatory infiltrate.
JAK1	33597887	yes	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis.	yes	suppress/inhibitor	down	not_in_bulk_module	yes	\bJAK1\b	curcumin;colitis;dss;memory_cell	In addition, curcumin significantly inhibited the activation of the JAK1/STAT5 signaling pathway, downregulation of JAK1, STAT5, and p-STAT5 proteins in colon tissue, and upregulation of PIAS1 proteins.
PIAS1	33597887	yes	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis.	yes	upregulate/increase	up	not_in_bulk_module	yes	\bPIAS1\b	curcumin;colitis;dss;memory_cell	In addition, curcumin significantly inhibited the activation of the JAK1/STAT5 signaling pathway, downregulation of JAK1, STAT5, and p-STAT5 proteins in colon tissue, and upregulation of PIAS1 proteins.
STAT5A	33597887	yes	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis.	yes	suppress/inhibitor	down	not_in_bulk_module	yes	\bSTAT5A?\b;\bp-?STAT5\b	curcumin;colitis;dss;memory_cell	In addition, curcumin significantly inhibited the activation of the JAK1/STAT5 signaling pathway, downregulation of JAK1, STAT5, and p-STAT5 proteins in colon tissue, and upregulation of PIAS1 proteins.
CCL2	36196887	yes	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway.	yes	suppress/inhibitor	down	aligned_suppresses_disease_up_target	yes	\bCCL-?2\b	curcumin;colitis;ulcerative_colitis;dss;b_cell	Curcumin effectively improved the body weight, colonic weight, colonic length, decreased colonic weight index and pathological injury score under colonoscopy in mice with chronic colitis, and significantly inhibited the production of IL-1beta, IL-6, IL-33, CCL-2, IFN-gamma, TNF-alpha, and promoted the secretion of IL-4, IL-10, IL-13 and IgA.
IFNG	36196887	yes	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway.	yes	suppress/inhibitor	down	not_in_bulk_module	yes	\bIFN-?γ\b	curcumin;colitis;ulcerative_colitis;dss;b_cell	Curcumin effectively improved the body weight, colonic weight, colonic length, decreased colonic weight index and pathological injury score under colonoscopy in mice with chronic colitis, and significantly inhibited the production of IL-1beta, IL-6, IL-33, CCL-2, IFN-gamma, TNF-alpha, and promoted the secretion of IL-4, IL-10, IL-13 and IgA.
IL10	36196887	yes	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway.	yes	upregulate/increase	up	not_in_bulk_module	yes	\bIL-?10\b	curcumin;colitis;ulcerative_colitis;dss;b_cell	Curcumin effectively improved the body weight, colonic weight, colonic length, decreased colonic weight index and pathological injury score under colonoscopy in mice with chronic colitis, and significantly inhibited the production of IL-1beta, IL-6, IL-33, CCL-2, IFN-gamma, TNF-alpha, and promoted the secretion of IL-4, IL-10, IL-13 and IgA.
IL13	36196887	yes	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway.	yes	upregulate/increase	up	not_in_bulk_module	yes	\bIL-?13\b	curcumin;colitis;ulcerative_colitis;dss;b_cell	Curcumin effectively improved the body weight, colonic weight, colonic length, decreased colonic weight index and pathological injury score under colonoscopy in mice with chronic colitis, and significantly inhibited the production of IL-1beta, IL-6, IL-33, CCL-2, IFN-gamma, TNF-alpha, and promoted the secretion of IL-4, IL-10, IL-13 and IgA.
