accession	celltype	n_case	n_control	mean_case_fraction_proxy	mean_control_fraction_proxy	delta_case_minus_control	median_case_fraction_proxy	median_control_fraction_proxy	mannwhitney_p	n_common_marker_genes	interpretation
GSE59071	B	74	11	0.279738	0.215051	0.0646871	0.279824	0.201704	0.0356078	42	B_lineage_focus
GSE59071	M/DC	74	11	0.327624	0.183805	0.143819	0.326136	0.171965	0.00478011	42	context
GSE59071	NK	74	11	0.123023	0.321621	-0.198598	0.123869	0.218146	0.000135336	42	context
GSE59071	T	74	11	0.269615	0.279523	-0.00990813	0.262071	0.276743	0.560146	42	context
GSE75214	B	74	11	0.279738	0.215051	0.0646871	0.279824	0.201704	0.0356078	42	B_lineage_focus
GSE75214	M/DC	74	11	0.327624	0.183805	0.143819	0.326136	0.171965	0.00478011	42	context
GSE75214	NK	74	11	0.123023	0.321621	-0.198598	0.123869	0.218146	0.000135336	42	context
GSE75214	T	74	11	0.269615	0.279523	-0.00990813	0.262071	0.276743	0.560146	42	context
GSE87466	B	87	21	0.278007	0.285814	-0.00780673	0.272672	0.290713	0.791835	43	B_lineage_focus
GSE87466	M/DC	87	21	0.325545	0.245474	0.0800709	0.314761	0.230886	4.91046e-05	43	context
GSE87466	NK	87	21	0.141025	0.242968	-0.101943	0.137818	0.257169	2.76735e-05	43	context
GSE87466	T	87	21	0.255423	0.225744	0.0296787	0.253129	0.227173	0.18956	43	context
