gene_symbol	gene_title	datasets	evidence_groups	evidence_group_count	direction	direction_consistency	mean_log2fc	min_log2fc	max_log2fc	best_fdr	consensus_score
SLC6A14	solute carrier family 6 member 14	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	5.3627	5.00948	5.71592	2.66375e-11	10.7254
AQP8	aquaporin 8	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-5.14408	-5.51509	-4.77307	2.06201e-21	10.2882
MMP3	matrix metallopeptidase 3	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	4.95087	4.79616	5.10558	6.10704e-16	9.90174
DUOX2	dual oxidase 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	4.62781	4.34142	4.91419	4.45328e-10	9.25561
CHI3L1	chitinase 3 like 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	4.2248	3.883	4.5666	1.53378e-15	8.4496
REG1A	regenerating family member 1 alpha	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	4.16969	3.70634	4.63305	1.72152e-05	8.33939
TNIP3	TNFAIP3 interacting protein 3	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	4.10081	3.88206	4.31956	5.60414e-29	8.20162
S100A8	S100 calcium binding protein A8	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	4.09886	4.04961	4.14811	7.40018e-20	8.19772
HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-4.0804	-4.76262	-3.39817	1.93918e-26	8.16079
REG3A	regenerating family member 3 alpha	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	3.85329	3.83339	3.87319	1.64563e-07	7.70658
REG1B	regenerating family member 1 beta	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	3.82744	3.57929	4.07558	2.08635e-06	7.65487
