celltype	n_diseased	n_healthy	n_unique_label_allocations	observed_delta	exact_p_two_sided	exact_q_bh_fdr	exact_p_ge_observed	exact_p_le_observed	null_mean_delta	null_q025_delta	null_q975_delta	q_family_celltypes
B	7	4	330	0.5383924999999996	0.0030303030303030303	0.015151515151515152	0.0030303030303030303	1.0	-2.3684757858670006e-16	-0.3541343392857145	0.36611698214285654	B;NK;T;unknown;M/DC
NK	7	4	330	0.030775357142855952	0.9333333333333333	0.9545454545454547	0.4212121212121212	0.5818181818181818	-5.3828995133340925e-17	-0.43895823214285723	0.5361608303571426	B;NK;T;unknown;M/DC
T	7	4	330	0.005860357142857708	0.9545454545454546	0.9545454545454547	0.4727272727272727	0.5303030303030303	-2.4223047810003414e-17	-0.18322414285714292	0.19179669642857167	B;NK;T;unknown;M/DC
unknown	7	8	6435	-0.04235482142857139	0.5356643356643357	0.8927738927738927	0.7324009324009324	0.26775446775446776	1.2146029671112825e-16	-0.12864941964285695	0.129749151785714	B;NK;T;unknown;M/DC
M/DC	7	3	120	0.25389857142857153	0.20833333333333334	0.5208333333333334	0.11666666666666667	0.8916666666666667	-1.0362081563168128e-16	-0.35223750000000076	0.3579441666666664	B;NK;T;unknown;M/DC
