patient_assignment	tissue_assignment	disease_assignment	celltype	gene_symbol	n_cells	sum_counts	detected_cells	detection_fraction	total_umi	log1p_cpm
C1	R	healthy	B	ACTA2	84	1	1	0.0119048	768054	0.0129359
C1	R	healthy	B	AHR	84	12	11	0.130952	768054	0.145173
C1	R	healthy	B	AKT1	84	3	3	0.0357143	768054	0.0383162
C1	R	healthy	B	ARNTL	84	2	2	0.0238095	768054	0.0257066
C1	R	healthy	B	BCL6	84	0	0	0	768054	0
C1	R	healthy	B	BECN1	84	19	18	0.214286	768054	0.221044
C1	R	healthy	B	BLNK	84	43	31	0.369048	768054	0.444594
C1	R	healthy	B	BRD4	84	12	9	0.107143	768054	0.145173
C1	R	healthy	B	CAT	84	12	12	0.142857	768054	0.145173
C1	R	healthy	B	CD4	84	3	3	0.0357143	768054	0.0383162
C1	R	healthy	B	CD86	84	5	4	0.047619	768054	0.0630683
C1	R	healthy	B	CREB1	84	13	12	0.142857	768054	0.15637
C1	R	healthy	B	CTNNB1	84	4	4	0.047619	768054	0.0507688
C1	R	healthy	B	DNMT1	84	8	8	0.0952381	768054	0.0990843
C1	R	healthy	B	FOXP3	84	0	0	0	768054	0
C1	R	healthy	B	GABPA	84	12	11	0.130952	768054	0.145173
C1	R	healthy	B	HIF1A	84	27	20	0.238095	768054	0.301243
C1	R	healthy	B	HMOX1	84	2	2	0.0238095	768054	0.0257066
C1	R	healthy	B	ICAM1	84	16	10	0.119048	768054	0.18923
C1	R	healthy	B	IFNG	84	5	5	0.0595238	768054	0.0630683
C1	R	healthy	B	IL15	84	6	6	0.0714286	768054	0.0752183
C1	R	healthy	B	IL1B	84	0	0	0	768054	0
C1	R	healthy	B	IL7	84	1	1	0.0119048	768054	0.0129359
C1	R	healthy	B	ITGAM	84	0	0	0	768054	0
C1	R	healthy	B	ITGAX	84	1	1	0.0119048	768054	0.0129359
C1	R	healthy	B	JAK1	84	61	38	0.452381	768054	0.584568
C1	R	healthy	B	LYZ	84	1	1	0.0119048	768054	0.0129359
C1	R	healthy	B	MAFB	84	1	1	0.0119048	768054	0.0129359
C1	R	healthy	B	MAP1LC3B	84	66	39	0.464286	768054	0.620208
C1	R	healthy	B	MAPK14	84	7	7	0.0833333	768054	0.0872225
C1	R	healthy	B	NFKB1	84	22	16	0.190476	768054	0.251877
C1	R	healthy	B	NLRP3	84	0	0	0	768054	0
C1	R	healthy	B	OSM	84	0	0	0	768054	0
C1	R	healthy	B	PARP1	84	67	39	0.464286	768054	0.627186
C1	R	healthy	B	PIAS1	84	32	30	0.357143	768054	0.348286
C1	R	healthy	B	PKM	84	44	31	0.369048	768054	0.452906
C1	R	healthy	B	PRKAA1	84	8	8	0.0952381	768054	0.0990843
C1	R	healthy	B	PTGS2	84	1	1	0.0119048	768054	0.0129359
C1	R	healthy	B	RELA	84	11	9	0.107143	768054	0.133848
C1	R	healthy	B	SH3KBP1	84	14	11	0.130952	768054	0.167444
C1	R	healthy	B	SMAD3	84	6	4	0.047619	768054	0.0752183
C1	R	healthy	B	SOD1	84	64	35	0.416667	768054	0.606104
C1	R	healthy	B	STAT3	84	32	26	0.309524	768054	0.348286
C1	R	healthy	B	STAT5A	84	3	3	0.0357143	768054	0.0383162
C1	R	healthy	B	SYK	84	27	18	0.214286	768054	0.301243
C1	R	healthy	B	TLR4	84	0	0	0	768054	0
C1	R	healthy	B	TNF	84	15	11	0.130952	768054	0.178396
C1	R	healthy	B:B1	ACTA2	1	0	0	0	3770	0
C1	R	healthy	B:B1	AHR	1	0	0	0	3770	0
C1	R	healthy	B:B1	AKT1	1	0	0	0	3770	0
C1	R	healthy	B:B1	ARNTL	1	0	0	0	3770	0
C1	R	healthy	B:B1	BCL6	1	0	0	0	3770	0
C1	R	healthy	B:B1	BECN1	1	0	0	0	3770	0
C1	R	healthy	B:B1	BLNK	1	0	0	0	3770	0
C1	R	healthy	B:B1	BRD4	1	0	0	0	3770	0
C1	R	healthy	B:B1	CAT	1	0	0	0	3770	0
C1	R	healthy	B:B1	CD4	1	0	0	0	3770	0
C1	R	healthy	B:B1	CD86	1	0	0	0	3770	0
C1	R	healthy	B:B1	CREB1	1	0	0	0	3770	0
C1	R	healthy	B:B1	CTNNB1	1	0	0	0	3770	0
C1	R	healthy	B:B1	DNMT1	1	0	0	0	3770	0
C1	R	healthy	B:B1	FOXP3	1	0	0	0	3770	0
C1	R	healthy	B:B1	GABPA	1	0	0	0	3770	0
C1	R	healthy	B:B1	HIF1A	1	0	0	0	3770	0
C1	R	healthy	B:B1	HMOX1	1	0	0	0	3770	0
