Table order	Compound	HERB source names	HERB ingredient IDs	Representative herb ID	Representative herb pinyin	Representative herb Chinese	Representative herb English	Representative herb Latin	Representative source rule	Pharmacopoeia/source status	Number of HERB-linked herbs	Additional HERB-linked herb examples	Disease-context targets	Rectal B-lineage increased targets	HERB evidence records	Source/evidence note
1	Curcumin	Curcumin	HBIN021985	HERB002840	Jiang Huang	姜黄	Turmeric; Rhizome of Common Turmeric	Rhizoma Curcumae Longae; Curcumae Longae Rhizoma	preferred HERB-linked traditional source	HERB-linked source; pharmacopoeia status not independently verified in this analysis	15	白菖蒲 (Bai Chang Pu; HERB000164); 草果 (Cao Guo; HERB000594); 大枣 (Da Zao; HERB001164); 当归 (Dang Gui; HERB001210); 莪术 (E Zhu; HERB001579)	22	11	13	A single compound does not represent the whole herb or formula.
2	Berberine	Berberime; Berberine	HBIN017892; HBIN017893	HERB002540	Huang Lian	黄连	Rhizome of Chinese Goldthread; Golden Thread	Coptidis Rhizoma; Rhizoma Coptidis	preferred HERB-linked traditional source	HERB-linked source; pharmacopoeia status not independently verified in this analysis	78	小檗 (Xiao Bo; HERB006072); 白蔹 (Bai Lian; HERB000237); 白毛茛 (Bai Mao Gen; HERB000245); 白屈菜 (Bai Qu Cai; HERB000259); 白屈菜根 (Bai Qu Cai Gen; HERB000260)	16	8	10	A single compound does not represent the whole herb or formula. The merged HERB berberine records include Huang Lian and Huang Bo among multiple source herbs.
3	Bilobalide	Bilobalide	HBIN018512	HERB006632	Yin Xing Ye	银杏叶	Ginkgo Leaf; Ginkgo Folium	Folium Ginkgo; Ginkgo Folium	first HERB-linked source record	HERB-linked source; pharmacopoeia status not independently verified in this analysis	1	银杏叶 (Yin Xing Ye; HERB006632)	12	6	2	A single compound does not represent the whole herb or formula.
4	Geniposide	Geniposide	HBIN027450	HERB007046	Zhi Zi	栀子	Cape Jasmine Fruit; Fruit of Cape Jasmine	Gardeniae Fructus; Fructus Gardeniae	preferred HERB-linked traditional source	HERB-linked source; pharmacopoeia status not independently verified in this analysis	23	极地草茱萸 (Ji Di Cao Zhu Yu; HERB000047); 白花蛇舌草 (Bai Hua She She Cao; HERB000208); 车前子 (Che Qian Zi; HERB000770); 重瓣栀子 (Chong Ban Zhi Zi; HERB000816); 玳玳花 (Dai Dai Hua; HERB001171)	11	6	2	A single compound does not represent the whole herb or formula.
5	Emodin	Archin	HBIN016606	HERB005972	Xian Chi She Pu Tao	显齿蛇葡萄	Bigdentate Ampelopsis	Ampelopsis Grossedentata	preferred HERB-linked traditional source	HERB-linked source; pharmacopoeia status not independently verified in this analysis	1	显齿蛇葡萄 (Xian Chi She Pu Tao; HERB005972)	18	5	4	A single compound does not represent the whole herb or formula. The selected HERB candidate record links the standardized Emodin/Archin entity to Ampelopsis grossedentata, not to Da Huang/Rhei Radix et Rhizoma in the local HERB detail record.
6	Shikonin / Isoarnebin 4	Isoarnebin 4	HBIN030442	HERB000190	Bai Guo Zi Cao	白果紫草	Common Gromwell	Lithospermum Officinale	preferred HERB-linked traditional source	HERB-linked source; pharmacopoeia status not independently verified in this analysis	11	白果紫草 (Bai Guo Zi Cao; HERB000190); 滇紫草 (Dian Zi Cao; HERB001297); 高贵假紫草 (Gao Gui Jia Zi Cao; HERB001835); 黄花软紫草 (Huang Hua Ruan Zi Cao; HERB002787); NA (Ka Si Hao; HERB003087)	9	5	2	A single compound does not represent the whole herb or formula.
7	Alpinetin	Alpinetin	HBIN015751	HERB000338	Ban Zhi Lian	半枝莲	All - Grass of Barbed Skullcap; Barbated Skullcap Herb	Scutellariae Barbatae Herba; Herba Scutellariae Barbatae	first HERB-linked source record	HERB-linked source; pharmacopoeia status not independently verified in this analysis	5	半枝莲 (Ban Zhi Lian; HERB000338); 草豆蔻 (Cao Dou Kou; HERB000592); 大草寇 (Da Cao Kou; HERB001016); 降香 (Jiang Xiang; HERB002846); 廉姜 (Lian Jiang; HERB003356)	6	5	2	A single compound does not represent the whole herb or formula.
8	Trans-resveratrol	Trans-resveratrol	HBIN046831	HERB001901	Gou Gu Ye	枸骨叶	Folium Ilicis Cornutae; Chinese Holly Leaf	Ilicis Cornutae Folium; Folium Ilicis Cornutae	first HERB-linked source record	HERB-linked source; pharmacopoeia status not independently verified in this analysis	5	枸骨叶 (Gou Gu Ye; HERB001901); 虎杖 (Hu Zhang; HERB002405); 虎杖叶 (Hu Zhang Ye; HERB002407); 人参 (Ren Shen; HERB004609); 土茯苓 (Tu Fu Ling; HERB005564)	7	4	6	A single compound does not represent the whole herb or formula.
9	Taxifolin	Taxifolin	HBIN045672	HERB000128	Ba Dan Xing Ren	巴旦杏仁	Amygdalate Apricot Seed	Semen Amygdalus Persicae; Semen Amygdalus Davidianae	first HERB-linked source record	HERB-linked source; pharmacopoeia status not independently verified in this analysis	36	巴旦杏仁 (Ba Dan Xing Ren; HERB000128); 白花映山红 (Bai Hua Ying Shan Hong; HERB000213); 北非雪松 (Bei Fei Xue Song; HERB000377); 赤芍 (Chi Shao; HERB000800); 大叶蛇葡萄 (Da Ye She Pu Tao; HERB001145)	7	4	3	A single compound does not represent the whole herb or formula.
10	Asperuloside	Asperuloside	HBIN017136	HERB000134	Ba Ji Tian	巴戟天	Morinda Root; Morindae Officilis Radix	Radix Morindae Officinalis; Morindae Officinalis Radix	first HERB-linked source record	HERB-linked source; pharmacopoeia status not independently verified in this analysis	14	巴戟天 (Ba Ji Tian; HERB000134); 八仙草 (Ba Xian Cao; HERB000156); 白花蛇舌草 (Bai Hua She She Cao; HERB000208); 车前草 (Che Qian Cao; HERB000767); 大车前 (Da Che Qian; HERB001019)	7	4	2	A single compound does not represent the whole herb or formula.
11	Polydatin	Polydatin	HBIN040403	HERB001806	Gan Sui	甘遂	Root of Gansui; Gansui Root	Kansui Radix; Radix Kansui	first HERB-linked source record	HERB-linked source; pharmacopoeia status not independently verified in this analysis	7	甘遂 (Gan Sui; HERB001806); 枸骨叶 (Gou Gu Ye; HERB001901); 虎杖 (Hu Zhang; HERB002405); 虎杖叶 (Hu Zhang Ye; HERB002407); 砂仁 (Sha Ren; HERB004853)	5	4	2	A single compound does not represent the whole herb or formula.
