variant	tissue_assignment	celltype	n_diseased_samples	n_healthy_samples	delta_axis_diseased_minus_healthy	p_mannwhitney	q_mannwhitney_bh	empirical_p_two_sided	q_empirical_bh	null_q025_delta	null_q975_delta	n_permutations	seed
consensus_top300_logsum_cpm	R	M/DC	7	3	0.387969	0.183333	0.366667	0.10279	0.205579	-0.407706	0.478883	10000	20260702
consensus_top300_logsum_cpm	R	T	7	4	0.243293	0.0727273	0.290909	0.059994	0.205579	-0.261714	0.232785	10000	20260702
consensus_top300_logsum_cpm	R	NK	7	4	0.0920713	0.787879	0.787879	0.646435	0.755624	-0.379255	0.448662	10000	20260702
consensus_top300_logsum_cpm	R	B	7	4	0.0585314	0.648485	0.787879	0.755624	0.755624	-0.349246	0.337938	10000	20260702
consensus_top50_avg_logcpm	R	M/DC	7	3	0.0375914	0.666667	0.927273	0.780822	0.968403	-0.148325	0.211685	10000	20260702
consensus_top50_avg_logcpm	R	T	7	4	-0.00027314	0.787879	0.927273	0.968403	0.968403	-0.00764055	0.00740568	10000	20260702
consensus_top50_avg_logcpm	R	NK	7	4	-0.0366027	0.927273	0.927273	0.476852	0.953705	-0.0848708	0.0850434	10000	20260702
consensus_top50_avg_logcpm	R	B	7	4	-0.0596174	0.0242424	0.0969697	0.0157984	0.0631937	-0.0500598	0.0492708	10000	20260702
consensus_top50_logsum_cpm	R	M/DC	7	3	0.08467	0.516667	0.527273	0.883212	0.883212	-0.426482	0.678623	10000	20260702
consensus_top50_logsum_cpm	R	T	7	4	-0.0922148	0.163636	0.327273	0.0588941	0.117788	-0.0994966	0.0820076	10000	20260702
consensus_top50_logsum_cpm	R	NK	7	4	-0.29324	0.527273	0.527273	0.363464	0.484618	-0.516636	0.498772	10000	20260702
consensus_top50_logsum_cpm	R	B	7	4	-0.54697	0.0242424	0.0969697	0.0110989	0.0443956	-0.438973	0.432978	10000	20260702
