Interpretation note	Gene	Evidence context	Disease direction in analyzed UC data	Rectal B-lineage delta	Reported curcumin regulation	hypothesized pharmacological direction	cross-context compatibility	PMID
Cross-context literature comparison only; not evidence of therapeutic normalization.	BCL6	Selected B-cell-context gene	Increased in diseased rectal B cells	0.07212	down	Hypothesized suppression of a disease-increased target or cytokine-context signal	Directionally compatible across heterogeneous contexts	36353208
Cross-context literature comparison only; not evidence of therapeutic normalization.	BLNK	Selected B-cell-context gene	Increased in diseased rectal B cells	0.2816	up	Hypothesized context modulation rather than simple normalization	Contextual, not normalizing	36353208
Cross-context literature comparison only; not evidence of therapeutic normalization.	SYK	Selected B-cell-context gene	Increased in diseased rectal B cells	0.2135	down	Hypothesized suppression of a disease-increased target or cytokine-context signal	Directionally compatible across heterogeneous contexts	36353208
Cross-context literature comparison only; not evidence of therapeutic normalization.	CCL2	Cytokine-context target	Increased in replicated bulk UC/IBD signature	Not resolved	down	Hypothesized suppression of a disease-increased target or cytokine-context signal	Directionally compatible across heterogeneous contexts	36196887
Cross-context literature comparison only; not evidence of therapeutic normalization.	IL33	Cytokine-context target	Increased in replicated bulk UC/IBD signature	Not resolved	down	Hypothesized suppression of a disease-increased target or cytokine-context signal	Directionally compatible across heterogeneous contexts	36196887
Cross-context literature comparison only; not evidence of therapeutic normalization.	IL1B	Cytokine-context target	Increased in diseased rectal B cells	0.001133	down	Hypothesized suppression of a disease-increased target or cytokine-context signal	Directionally compatible across heterogeneous contexts	36196887;36353208
Cross-context literature comparison only; not evidence of therapeutic normalization.	TNF	Cytokine-context target	Increased in diseased rectal B cells	0.2476	down	Hypothesized suppression of a disease-increased target or cytokine-context signal	Directionally compatible across heterogeneous contexts	36196887;36353208
