celltype	marker_rank	gene_symbol	marker_source	reference_log1p_cpm	specificity_delta_vs_other_celltypes	n_reference_cells
T	1	CD3D	curated_immune_marker	6.58976	3.3217	6090
T	2	CD3E	curated_immune_marker	7.00875	3.19001	6090
T	3	CD3G	curated_immune_marker	5.72979	3.17715	6090
T	4	TRAC	curated_immune_marker	5.41333	2.39921	6090
T	5	CD2	curated_immune_marker	5.97204	2.61	6090
T	6	CD247	curated_immune_marker	5.40048	2.23475	6090
T	7	IL7R	curated_immune_marker	6.77151	2.42957	6090
T	8	CD4	curated_immune_marker	4.28818	2.12845	6090
T	9	CD8A	curated_immune_marker	5.43749	2.99757	6090
T	10	CD8B	curated_immune_marker	5.00102	3.53733	6090
T	11	LTB	curated_immune_marker	6.84538	1.02446	6090
T	12	CCR7	curated_immune_marker	4.43708	1.33723	6090
T	13	FOXP3	curated_immune_marker	3.85647	3.40052	6090
B	1	MS4A1	curated_immune_marker	6.03583	3.02542	4775
B	2	CD19	curated_immune_marker	4.5116	3.00171	4775
B	3	CD79A	curated_immune_marker	7.14199	2.84068	4775
B	4	CD79B	curated_immune_marker	4.9403	1.92195	4775
B	5	CD74	curated_immune_marker	8.68499	0.580716	4775
B	6	BANK1	curated_immune_marker	4.84395	2.42862	4775
B	7	BLK	curated_immune_marker	3.82696	2.31093	4775
B	8	PAX5	curated_immune_marker	3.34538	2.76551	4775
B	9	TNFRSF13C	curated_immune_marker	3.81528	2.37809	4775
B	10	IGKC	curated_immune_marker	9.52735	2.92576	4775
B	11	IGHM	curated_immune_marker	6.27737	2.5752	4775
B	12	IGHD	curated_immune_marker	3.16759	2.46449	4775
NK	1	NKG7	curated_immune_marker	8.11627	3.92702	313
NK	2	GNLY	curated_immune_marker	8.7168	6.06685	313
NK	3	KLRD1	curated_immune_marker	6.6233	4.91082	313
NK	4	KLRF1	curated_immune_marker	5.39694	4.65849	313
NK	5	GZMB	curated_immune_marker	7.14828	4.9115	313
NK	6	PRF1	curated_immune_marker	6.6269	4.79548	313
NK	7	FGFBP2	curated_immune_marker	5.67887	4.92156	313
NK	8	XCL1	curated_immune_marker	6.9138	4.27867	313
NK	9	XCL2	curated_immune_marker	6.96376	4.85334	313
NK	10	TRDC	curated_immune_marker	5.88731	4.63199	313
M/DC	1	LYZ	curated_immune_marker	8.91267	7.85234	255
M/DC	2	LST1	curated_immune_marker	6.33111	2.82797	255
M/DC	3	FCER1G	curated_immune_marker	6.95552	3.9451	255
M/DC	4	TYROBP	curated_immune_marker	7.46256	3.38822	255
M/DC	5	CD14	curated_immune_marker	5.20545	4.95101	255
M/DC	6	FCGR3A	curated_immune_marker	3.35036	0.845469	255
M/DC	7	ITGAM	curated_immune_marker	3.45789	1.34402	255
M/DC	8	ITGAX	curated_immune_marker	4.75279	2.75474	255
M/DC	9	S100A8	curated_immune_marker	6.60639	6.36418	255
M/DC	10	S100A9	curated_immune_marker	7.03555	6.61317	255
