candidate_role	candidate	candidate_priority_score	HERB_evidence_records	HERB_references	HERB_clinical_trial_records	HERB_meta_analysis_records	B_cell_literature_records	myeloid_DC_literature_records	LINCS_exact_ID_covered	disease_context_targets	bulk_up_module_targets	rectal_B_cell_expressed_targets	rectal_B_cell_increased_targets	rectal_MDC_increased_targets
Lead B-cell-axis candidate	Curcumin	121.0	13	4	5	4	2	1	yes	22.0	3.0	12.0	11.0	8.0
Secondary myeloid-axis candidate	Berberine	74.35	10	6	1	3	0	2	yes	10.0	2.0	6.0	5.0	2.0
Secondary myeloid-axis candidate	Quercetin	59.0	2	2	0	0	0	1	yes	1.0	0.0	0.0	0.0	0.0
Lower-consensus candidate	Trans-resveratrol	57.0	6	2	1	3	0	0	yes	7.0	1.0	4.0	4.0	4.0
Lower-consensus candidate	Archin	49.8	4	4	0	0	0	0	yes	18.0	6.0	7.0	5.0	4.0
Lower-consensus candidate	Melatonin	49.0	5	2	1	2	0	0	yes	1.0	0.0	1.0	1.0	0.0
Secondary myeloid-axis candidate	Wogonin	48.65	3	3	0	0	0	1	no	4.0	1.0	1.0	1.0	1.0
Lower-consensus candidate	Berberine (record 2)	45.5	3	3	0	0	0	0	yes	8.0	1.0	4.0	4.0	4.0
Lower-consensus candidate	Capsaicin	41.5	2	2	0	0	0	0	yes	8.0	0.0	3.0	3.0	1.0
Secondary myeloid-axis candidate	Cis-resveratrol	41.5	2	1	1	0	0	1	no	4.0	1.0	1.0	1.0	1.0
Secondary myeloid-axis candidate	Taxifolin	38.5	3	3	0	0	0	1	yes	7.0	1.0	4.0	4.0	3.0
Secondary myeloid-axis candidate	Honokiol	38.45	2	2	0	0	0	1	yes	6.0	2.0	2.0	2.0	2.0
Lower-consensus candidate	Polydatin	36.7	2	2	0	0	0	0	yes	5.0	2.0	4.0	4.0	2.0
Secondary myeloid-axis candidate	Paeoniflorin	35.35	3	3	0	0	0	1	no	1.0	0.0	0.0	0.0	0.0
Secondary myeloid-axis candidate	Rhein	32.75	3	3	0	0	0	1	no	4.0	1.0	3.0	3.0	3.0
