etcm_target_name	mapped_gene_symbol	mapped_gene_name	mapped_entrezgene	mapped_ensembl_gene	mapped_uniprot	mapping_confidence	mapping_source	mapping_rationale	candidate_preview
Cytochrome P450 1B1	CYP1B1	Cytochrome P450 1B1			Q16678	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:CYP1B1:Cytochrome P450 1B1:Q16678: || MyGene_query:CYP1B1:cytochrome P450 family 1 subfamily B member 1:Q16678:10.709772
Cytochrome P450 2C9	CYP2C9	Cytochrome P450 2C9			P11712	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:CYP2C9:Cytochrome P450 2C9:P11712: || MyGene_query:CYP2C9:cytochrome P450 family 2 subfamily C member 9:P11712:7.2857976
Cytochrome P450 3A4	CYP3A4	Cytochrome P450 3A4			P08684	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:CYP3A4:Cytochrome P450 3A4:P08684: || MyGene_query:CYP3A4:cytochrome P450 family 3 subfamily A member 4:P08684:13.384384
Dipeptidyl peptidase 4	DPP4	Dipeptidyl peptidase 4			P27487	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:DPP4:Dipeptidyl peptidase 4:P27487: || MyGene_query:DPP4:dipeptidyl peptidase 4:P27487:125.53342 || MyGene_query:DPP9:dipeptidyl peptidase 9:Q86TI2:13.058833 || MyGene_query:LOC117152611:DPP4 -4.2 kb glucocorticoid response element::12.083152 || MyGene_query:LOC122847304:Sharpr-MPRA regulatory region 3711::10.631863
ELAV-like protein 1	ELAVL1	ELAV-like protein 1			Q15717	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:ELAVL1:ELAV-like protein 1:Q15717: || MyGene_query:ELAVL3:ELAV like RNA binding protein 3:Q14576:12.85139 || MyGene_query:CELF3:CUGBP Elav-like family member 3:Q5SZQ8:10.95103 || MyGene_query:CELF6:CUGBP Elav-like family member 6:Q96J87:8.992059 || MyGene_query:OIP5-AS1:OIP5 antisense RNA 1::7.6977944
Epidermal growth factor receptor	EGFR	Epidermal growth factor receptor			P00533	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:EPS8:Epidermal growth factor receptor kinase substrate 8:Q12929: || UniProt_exact_protein_name:EPS15:Epidermal growth factor receptor substrate 15:P42566: || UniProt_exact_protein_name:EPS15L1:Epidermal growth factor receptor substrate 15-like 1:Q9UBC2: || UniProt_exact_protein_name:EPS8L2:Epidermal growth factor receptor kinase substrate 8-like protein 2:Q9H6S3: || UniProt_exact_protein_name:EPS8L1:Epidermal growth factor receptor kinase substrate 8-like protein 1:Q8TE68:
Estradiol 17-beta-dehydrogenase 1	HSD17B1	17-beta-hydroxysteroid dehydrogenase type 1			P14061	high	manual_alias	Manual alias override for known target name	UniProt_exact_protein_name:HSD17B1:17-beta-hydroxysteroid dehydrogenase type 1:P14061: || MyGene_query:HSD17B2:hydroxysteroid 17-beta dehydrogenase 2:P37059:26.108562 || MyGene_query:HSD17B3:hydroxysteroid 17-beta dehydrogenase 3:P37058:22.6281 || MyGene_query:HSD17B8:hydroxysteroid 17-beta dehydrogenase 8:Q92506:22.418324 || MyGene_query:DHRS11:dehydrogenase/reductase 11:Q6UWP2:20.29382
Fibroblast growth factor receptor 1	FGFR1	Fibroblast growth factor receptor 1			P11362	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:FGFR1:Fibroblast growth factor receptor 1:P11362: || MyGene_query:FGFR1:fibroblast growth factor receptor 1:P11362:127.920074 || MyGene_query:FGFRL1:fibroblast growth factor receptor like 1:Q8N441:87.79189 || MyGene_query:FGFR3P1:fibroblast growth factor receptor 3 pseudogene 1::26.103035 || MyGene_query:FGFR3P1:fibroblast growth factor receptor 3 pseudogene 1::26.103035
Glycine receptor subunit alpha-2	GLRA2	Glycine receptor subunit alpha-2			P23416	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:GLRA2:Glycine receptor subunit alpha-2:P23416: || MyGene_query:GLRA2:glycine receptor alpha 2:P23416:16.555458
Glycogen synthase kinase-3 beta	GSK3B	Glycogen synthase kinase-3 beta			P49841	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:NIN:Ninein:Q8N4C6: || UniProt_exact_protein_name:GSK3B:Glycogen synthase kinase-3 beta:P49841: || MyGene_query:GSK3B:glycogen synthase kinase 3 beta:P49841:134.97856 || MyGene_query:ILKAP:ILK associated serine/threonine phosphatase:Q9H0C8:9.317186 || MyGene_query:GSK3A:glycogen synthase kinase 3 alpha:P49840:7.1580844
Heat shock protein HSP 90-beta	HSP90AB1	Heat shock protein HSP 90-beta			P08238	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:HSP90AB3P:Putative heat shock protein HSP 90-beta-3:Q58FF7: || UniProt_exact_protein_name:HSP90AB1:Heat shock protein HSP 90-beta:P08238: || UniProt_exact_protein_name:HSP90AB2P:Putative heat shock protein HSP 90-beta 2:Q58FF8: || UniProt_exact_protein_name:HSP90AB4P:Putative heat shock protein HSP 90-beta 4:Q58FF6: || MyGene_query:HSP90AB5P:heat shock protein 90 alpha family class B member 5, pseudogene::16.404991
Hepatocyte growth factor receptor	MET	Hepatocyte growth factor receptor			P08581	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:MET:Hepatocyte growth factor receptor:P08581: || MyGene_query:LOC107963949:GHR downstream promoter region module B::17.727156 || MyGene_query:LOC110599575:CYP2B6 promoter-proximal regulatory region::14.1915455 || MyGene_query:HGFAC:HGF activator:Q04756:13.960425 || MyGene_query:LOC110596866:CYP7A1 5' regulatory region::13.096976
