tissue_assignment	disease_assignment	celltype_detail	n_cells	mean_up_score	median_up_score	mean_down_score	median_down_score	mean_disease_axis_score	median_disease_axis_score	mean_up_detected	median_up_detected	mean_down_detected	median_down_detected	mean_total_umi	median_total_umi
R	healthy	B:B5	40	4.2018	4.16563	0.461983	0	3.73982	3.81818	7.2	7	0.325	0	3353.82	3132.5
R	healthy	B:B6	611	4.06664	4.01027	0.603356	0.641092	3.46328	3.42663	7.36498	7	0.97054	1	9755.79	9478
R	healthy	B:B7	181	3.84229	3.79965	0.405174	0	3.43711	3.54044	4.52486	4	0.370166	0	3791.06	3107
R	healthy	B:B8	48	4.87852	4.92599	0.782147	0.388376	4.09638	4.02378	9.72917	10	0.75	0.5	3630.44	3591
R	healthy	B:B9	11	4.71646	4.65497	0.518912	0	4.19755	4.57498	8.36364	8	0.363636	0	3148.82	3020
R	healthy	M/DC	54	5.19948	5.10759	0.875636	0.661279	4.32384	4.46096	12.9815	12	0.759259	1	3974.52	3058.5
R	healthy	NK	52	4.90715	5.00231	1.23517	1.53715	3.67198	3.42415	6.30769	6.5	1.01923	1	2825.46	2165.5
R	healthy	T:T1	520	4.92071	4.95862	0.781429	0	4.13928	4.59538	4.74808	5	0.434615	0	1463.51	1293
R	healthy	T:T10	177	4.52993	4.56703	0.925839	0	3.60409	3.65629	5.59322	5	0.615819	0	2046.34	1904
R	healthy	T:T12	1	4.20227	4.20227	0	0	4.20227	4.20227	2	2	0	0	1367	1367
R	healthy	T:T13	1	3.97537	3.97537	1.87212	1.87212	2.10325	2.10325	9	9	2	2	3635	3635
R	healthy	T:T14	270	4.53441	4.56438	0.941728	0	3.59268	3.58272	5.00741	5	0.633333	0	2134.57	1711
R	healthy	T:T15	17	4.60884	4.4892	0.954531	0	3.65431	3.6918	5.76471	5	0.764706	0	2164.12	1921
R	healthy	T:T16	3	3.91492	3.51468	2.12035	2.36638	1.79457	1.13684	6	7	2.66667	3	5360.33	3106
R	healthy	T:T2	576	4.98694	5.004	1.10117	1.39957	3.88577	3.70456	7.02604	7	0.949653	1	3136.61	2719.5
R	healthy	T:T3	34	4.51237	4.65727	0.800593	0	3.71178	3.82114	5.38235	5	0.617647	0	2696.59	2317.5
R	healthy	T:T4	11	4.41193	4.19993	0.610511	0	3.80142	3.94092	5.09091	5	0.363636	0	2551.45	2258
R	healthy	T:T5	76	4.36406	4.31805	0.901188	0	3.46287	3.70212	5.84211	5	0.723684	0	2812.29	2591.5
R	healthy	T:T6	35	4.63353	4.69208	1.10905	1.42134	3.52448	3.5191	5.48571	6	0.828571	1	2414.31	2168
R	healthy	T:T7	110	4.28339	4.25264	0.789676	0	3.49371	3.68401	6.21818	6	0.609091	0	2528.41	2088.5
R	healthy	T:T8	20	4.3191	4.32933	0.512271	0	3.80683	4.11917	4.25	4	0.3	0	1385.8	1332
R	healthy	T:T9	2	4.81714	4.81714	2.01152	2.01152	2.80563	2.80563	5.5	5.5	1	1	1570.5	1570.5
R	healthy	unknown	10128	4.65705	4.7468	0.657675	0	3.99937	4.15266	5.55421	5	0.480352	0	2890.1	1907
