module	query_genes	genes_present_in_scrna	coverage_fraction	present_genes	missing_genes
bulk_consensus_up	150	52	0.346667	TNIP3;S100A8;CXCL8;IL1B;KYNU;PTGS2;VSIG1;TIMP1;S100A12;S100A9;SELL;DAPP1;CD55;FPR1;IRAK3;ANXA1;PLEK;BCL2A1;CCL20;CSF3R;WARS;APOL1;VNN2;CTLA4;PHLDA1;FCRL5;LAX1;ICAM1;ITGA5;ADGRE2;IGHM;SERPINA1;GBP5;CD79A;MS4A1;TREM1;IL1RN;PIM2;SERPINB9;NCF2;SLC2A3;GBP4;GZMK;IL7R;CR1;ITGAX;CHI3L2;ENTPD1;FOS;TAGAP;MNDA;SOCS3	SLC6A14;MMP3;DUOX2;CHI3L1;REG1A;REG3A;REG1B;DUOXA2;VNN1;SAA2;IDO1;CXCL1;MMP1;AQP9;TCN1;SERPINB5;LCN2;MMP7;FCGR3B;MMP12;SERPINA3;MMP10;CXCL11;TNC;HCAR3;CDH3;ABCA12;KLK10;CXCL10;SERPINB3;PI3;CXCL9;UBD;SERPINB7;DMBT1;CXCL13;CEMIP;DEFA5;PROK2;NOS2;TNFAIP6;MMP9;OSMR;SELP;PRRX1;IL13RA2;STC1;REG4;C3;TGM2;STEAP4;SPP1;TDO2;GREM1;CFB;CD274;C4BPB;DEFA6;CCL18;CFI;SLCO1B3;IGFBP5;C4BPA;SELE;CCL2;FDCSP;CXCL5;PLAU;IGK;COL6A3;CXCL6;C2;CXCR2;STRIP2;CXCL3;ADGRL4;LAMP3;SLC7A11;COL1A1;KRT6B;PDZK1IP1;RGS5;SLC6A20;CTSK;CLDN1;IL1A;CXCR1;COL12A1;PCSK1;OLFM4;MXRA5;DSG3;VWF;IL33;ARNTL2;NNMT;S100P;FAP
bulk_consensus_down	150	20	0.133333	SLC26A2;ABCB1;PHLPP2;ANPEP;ENTPD5;SLC22A5;MT1F;VIPR1;RMDN2;CKB;CNNM2;SLC16A1;PLCD1;MIER3;ACOX1;PTGDR;NAALADL1;EPHX2;CDC14A;PDK2	AQP8;HMGCS2;CLDN8;PCK1;UGT2A3;ABCG2;CYP2B6;MEP1B;CYP2B7P;CWH43;SLC38A4;SLC30A10;TRPM6;SLC51A;CHP2;ADH1C;SLC17A4;MT1M;GUCA2A;CA1;GUCA2B;GBA3;APOBEC3B;PADI2;B4GALNT2;SATB2-AS1;HSD3B2;ACSF2;BEST2;MS4A12;BRINP3;DHRS11;SGK2;SLC16A9;PPARGC1A;CAPN13;HEPACAM2;PRKG2;NPY1R;SLC51B;PDE6A;PBLD;BMP3;FGFR2;MEP1A;SLC3A1;TMEM63C;EXPH5;LRRC19;PKIB;RPS6KA6;PAQR5;DPP10;RUNDC3B;OTOP2;CDHR1;BEST4;TUBAL3;HSD17B2;TRHDE;UGT1A3;CD177;SLC35G1;PIGZ;SCIN;PNLIPRP2;WSCD1;ENPP1;PITX2;SELENBP1;NXPE4;VLDLR;CDKN2B;WDR78;SLC23A1;PCDH20;GXYLT2;CNTN3;DEFB1;TMEM37;NR1H4;FMO5;CYP4F2;FRMD1;TMEM72;PLA2G12B;SLC39A5;MS4A8;FMO4;CA7;METTL7B;AQP7;LRRC31;SUGCT;PTPRR;ADH6;SLC23A3;EFNA1;ZG16;SLC25A34;TMEM171;ISX;PPARG;UGT2B17;MT1G;RHOU;USP2;SCUBE2;CA2;RAVER2;CNGA1;PDZD3;PPP2R3A;SULT1A2;A1CF;SLC19A3;ARHGAP44;TSPAN7;PP7080;SLC4A4;CLCA1;HAVCR1;LDHD;SATB2;EDN3;EPB41L4B;SLC26A3;TINAG;CCNJL;GCNT2
