priority_class	priority_score	ingredient_id	ingredient_name	pubchem_id	inchikey	match_status	match_method	lincs_source	pert_id	pert_iname	pert_type	gse92742_signature_count	gse92742_cell_count	gse92742_cells
priority_for_lincs_mapping	13.0	HBIN025006	Ellagic acid	5281855	AFSDNFLWKVMVRB-UHFFFAOYSA-N	covered	inchikey_exact	GSE92742	BRD-K30466858	ellagic-acid	trt_cp	0	0	
priority_for_lincs_mapping	13.0	HBIN025006	Ellagic acid	5281855	AFSDNFLWKVMVRB-UHFFFAOYSA-N	covered	inchikey_exact	GSE70138	BRD-K30466858	ellagic-acid	trt_cp	0	0	
priority_for_lincs_mapping	13.0	HBIN041217	Pterostilbene	5281727	VLEUZFDZJKSGMX-ONEGZZNKSA-N	covered	inchikey_exact	GSE92742	BRD-K92870997	pterostilbene	trt_cp	0	0	
secondary_literature_supported	15.0	HBIN032453	Kynurenine	846	YGPSJZOEDVAXAB-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
background_or_control	14.0	HBIN030105	Indigo	10215	QQILFGKZUJYXGS-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
background_or_control	14.0	HBIN047654	Uvadex	4114	QXKHYNVANLEOEG-UHFFFAOYSA-N	covered	inchikey_exact	GSE92742	BRD-K63430059	methoxsalen	trt_cp	0	0	
background_or_control	14.0	HBIN047654	Uvadex	4114	QXKHYNVANLEOEG-UHFFFAOYSA-N	covered	inchikey_exact	GSE70138	BRD-K63430059	methoxsalen	trt_cp	0	0	
secondary_literature_supported	13.0	HBIN030187	Inosine	135398641	UGQMRVRMYYASKQ-KQYNXXCUSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	13.0	HBIN036380	Naringin	442428	DFPMSGMNTNDNHN-ZPHOTFPESA-N	covered	inchikey_exact	GSE92742	BRD-K02953697	naringin	trt_cp	0	0	
secondary_literature_supported	13.0	HBIN039698	P-hydroxyphenethyl-beta-d-glucoside	159278	ILRCGYURZSFMEG-RKQHYHRCSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	13.0	HBIN045135	Sulforathane	5350	SUVMJBTUFCVSAD-UHFFFAOYSA-N	covered	inchikey_exact	GSE92742	BRD-A58955223	sulforaphane	trt_cp	0	0	
secondary_literature_supported	13.0	HBIN045135	Sulforathane	5350	SUVMJBTUFCVSAD-UHFFFAOYSA-N	covered	inchikey_exact	GSE70138	BRD-A58955223	sulforaphane	trt_cp	0	0	
background_or_control	13.0	HBIN047572	Urc	1175	LEHOTFFKMJEONL-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	13.0	HBIN048376	Wogonoside	3084961	LNOHXHDWGCMVCO-NTKSAMNMSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
deprioritize_low_tcm_specificity_or_conventional	12.0	HBIN019558	Cannabidiol	644019	QHMBSVQNZZTUGM-ZWKOTPCHSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
background_or_control	12.0	HBIN020141	Cerebroside	5280335	WWUZIQQURGPMPG-KRWOKUGFSA-N	covered	inchikey_exact	GSE92742	BRD-K62959606	sphingosine	trt_cp	0	0	
background_or_control	12.0	HBIN028057	Glutamine	5961	ZDXPYRJPNDTMRX-VKHMYHEASA-N	covered	inchikey_exact	GSE92742	BRD-K83896451	glutamine	trt_cp	0	0	
