query_direction	gene_symbol	gene_title	evidence_groups	mean_log2fc	best_fdr	consensus_score
down	USP2	ubiquitin specific peptidase 2	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.54358	1.87799e-06	3.08715
down	SCUBE2	signal peptide, CUB domain and EGF like domain containing 2	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.54336	3.20879e-17	3.08672
down	ACOX1	acyl-CoA oxidase 1	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.53791	1.36582e-12	3.07582
down	CA2	carbonic anhydrase 2	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.52923	4.53098e-12	3.05846
down	RAVER2	ribonucleoprotein, PTB binding 2	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.52701	1.01619e-20	3.05402
down	CNGA1	cyclic nucleotide gated channel alpha 1	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.52346	3.07726e-09	3.04691
down	PDZD3	PDZ domain containing 3	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.52109	5.06089e-14	3.04219
down	PTGDR	prostaglandin D2 receptor	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.52002	8.82827e-14	3.04004
down	PPP2R3A	protein phosphatase 2 regulatory subunit B''alpha	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.50998	2.24429e-12	3.01997
down	SULT1A2	sulfotransferase family 1A member 2	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.50855	1.06857e-12	3.01709
down	A1CF	APOBEC1 complementation factor	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.50128	3.11668e-17	3.00257
down	SLC19A3	solute carrier family 19 member 3	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.50104	6.74853e-09	3.00209
down	ARHGAP44	Rho GTPase activating protein 44	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.49579	2.14858e-13	2.99158
down	TSPAN7	tetraspanin 7	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.49504	1.92879e-13	2.99008
down	NAALADL1	N-acetylated alpha-linked acidic dipeptidase-like 1	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.48642	2.91038e-06	2.97283
down	PP7080	uncharacterized LOC25845	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.48406	3.82045e-07	2.96811
down	EPHX2	epoxide hydrolase 2	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.47653	7.13172e-30	2.95305
down	SLC4A4	solute carrier family 4 member 4	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.47606	8.54349e-22	2.95211
down	CLCA1	chloride channel accessory 1	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.46547	2.5135e-07	2.93095
down	HAVCR1	hepatitis A virus cellular receptor 1	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.46252	1.17033e-06	2.92503
down	CDC14A	cell division cycle 14A	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.46122	4.21532e-10	2.92244
down	LDHD	lactate dehydrogenase D	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.45973	3.77956e-14	2.91945
down	SATB2	SATB homeobox 2	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.45778	1.56501e-21	2.91557
down	EDN3	endothelin 3	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.45753	2.20148e-16	2.91506
down	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.45137	1.31601e-22	2.90273
down	SLC26A3	solute carrier family 26 member 3	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.44915	3.33089e-14	2.89831
down	PDK2	pyruvate dehydrogenase kinase 2	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.44886	2.19977e-08	2.89772
down	TINAG	tubulointerstitial nephritis antigen	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.44116	1.8201e-13	2.88232
down	CCNJL	cyclin J like	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.43571	1.05162e-12	2.87141
down	GCNT2	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)	GPL13158_uc_colon;GPL6244_active_uc_colon	-1.43067	7.10263e-10	2.86135
