accession	probe_id	gene_symbol	gene_title	gene_id	n_case	n_control	mean_case	mean_control	log2fc	t_stat	p_value	fdr
GSE59071	8109194	SLC26A2	solute carrier family 26 member 2	1836	74	11	7.82104	12.3452	-4.52411	-30.6485	1.57937e-46	5.25172e-42
GSE59071	8058708	ABCA12	ATP binding cassette subfamily A member 12	26154	74	11	8.51713	4.85288	3.66425	25.6164	6.17524e-41	1.0267e-36
GSE59071	7912937	PADI2	peptidyl arginine deiminase 2	11240	74	11	8.46949	11.6184	-3.14891	-27.0239	2.10407e-37	2.33215e-33
GSE59071	7948444	TCN1	transcobalamin 1	6947	74	11	8.67323	5.08991	3.58332	22.3569	1.69433e-36	1.4085e-32
GSE59071	8169263	VSIG1	V-set and immunoglobulin domain containing 1	340547	74	11	8.58745	4.78201	3.80544	22.3581	2.17392e-36	1.44574e-32
GSE59071	7991224	HAPLN3	hyaluronan and proteoglycan link protein 3	145864	74	11	7.6308	6.23936	1.39144	22.4692	3.39586e-36	1.88199e-32
GSE59071	8100994	CXCL2	C-X-C motif chemokine ligand 2	2920	74	11	8.44696	6.0717	2.37526	24.7028	7.48465e-35	3.55542e-31
GSE59071	8145532	EPHX2	epoxide hydrolase 2	2053	74	11	6.81322	8.5361	-1.72288	-20.4961	1.7158e-33	7.13172e-30
GSE59071	8102594	TNIP3	TNFAIP3 interacting protein 3	79931	74	11	9.5339	5.21435	4.31956	23.8734	1.51682e-32	5.60414e-29
GSE59071	7980080	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5	957	74	11	8.31222	10.5107	-2.19845	-20.9443	4.29614e-32	1.42855e-28
GSE59071	8100984	CXCL3	C-X-C motif chemokine ligand 3	2921	74	11	7.77741	6.46491	1.3125	22.1531	2.03853e-31	6.16229e-28
GSE59071	7976496	SERPINA3	serpin family A member 3	12	74	11	8.79469	6.02237	2.77232	19.8562	2.53044e-31	7.01185e-28
GSE59071	8044080	SLC9A2	solute carrier family 9 member A2	6549	74	11	8.53308	10.4323	-1.8992	-17.749	7.51424e-30	1.81002e-26
GSE59071	8061542	HM13	histocompatibility minor 13	81502	74	11	9.51601	8.69421	0.821799	23.5628	7.62067e-30	1.81002e-26
GSE59071	7983910	AQP9	aquaporin 9	366	74	11	8.48333	5.0388	3.44453	17.6108	1.95468e-29	4.33313e-26
GSE59071	8100760	UGT2A3	UDP glucuronosyltransferase family 2 member A3	79799	74	11	4.70394	9.02086	-4.31692	-27.0127	7.41073e-29	1.54013e-25
GSE59071	8166925	MAOA	monoamine oxidase A	4128	74	11	8.24377	9.9202	-1.67643	-16.9371	1.15921e-28	2.26741e-25
GSE59071	7922200	SELP	selectin P	6403	74	11	7.79475	5.28853	2.50623	18.499	1.39913e-28	2.58466e-25
GSE59071	7951217	MMP7	matrix metallopeptidase 7	4316	74	11	8.51932	4.7758	3.74352	19.7146	1.98888e-28	3.48075e-25
