accession	probe_id	gene_symbol	gene_title	gene_id	n_case	n_control	mean_case	mean_control	log2fc	t_stat	p_value	fdr
GSE87466	206467_PM_x_at	RTEL1	regulator of telomere elongation helicase 1	51750	87	21	8.05563	6.58085	1.47478	20.1996	2.50924e-37	1.37293e-32
GSE87466	224959_PM_at	SLC26A2	solute carrier family 26 member 2	1836	87	21	10.0009	12.4543	-2.4534	-17.6169	3.70046e-33	1.01235e-28
GSE87466	205076_PM_s_at	MTMR11	myotubularin related protein 11	10903	87	21	8.62101	9.95827	-1.33726	-16.9271	1.65513e-31	3.01868e-27
GSE87466	218756_PM_s_at	DHRS11	dehydrogenase/reductase 11	79154	87	21	7.27355	9.3395	-2.06595	-16.878	3.96604e-31	5.42505e-27
GSE87466	235147_PM_at	LOC100288092	uncharacterized LOC100288092	100288092	87	21	7.90959	9.80695	-1.89736	-16.4061	7.41666e-31	8.11605e-27
GSE87466	209900_PM_s_at	SLC16A1	solute carrier family 16 member 1	6566	87	21	10.2866	11.7489	-1.46221	-17.9238	1.04904e-30	9.56637e-27
GSE87466	205680_PM_at	MMP10	matrix metallopeptidase 10	4319	87	21	8.04434	4.63121	3.41312	17.6132	1.4092e-30	1.10149e-26
GSE87466	242871_PM_at	PAQR5	progestin and adipoQ receptor family member 5	54852	87	21	7.70165	9.47212	-1.77047	-17.9999	2.28296e-30	1.5614e-26
GSE87466	204607_PM_at	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2	3158	87	21	8.72901	12.1272	-3.39817	-16.1041	3.18974e-30	1.93918e-26
GSE87466	227262_PM_at	HAPLN3	hyaluronan and proteoglycan link protein 3	145864	87	21	8.50318	6.57411	1.92907	16.8907	4.55104e-30	2.4901e-26
GSE87466	230573_PM_at	SGK2	SGK2, serine/threonine kinase 2	10110	87	21	7.8268	10.121	-2.29417	-16.7484	1.31738e-29	6.55277e-26
GSE87466	200628_PM_s_at	WARS	tryptophanyl-tRNA synthetase	7453	87	21	8.90379	7.0007	1.90309	17.5167	1.70696e-29	7.78303e-26
GSE87466	206149_PM_at	CHP2	calcineurin like EF-hand protein 2	63928	87	21	9.25683	11.8373	-2.58047	-15.5027	5.8679e-29	2.46971e-25
GSE87466	236351_PM_at	DPP10-AS1	DPP10 antisense RNA 1	389023	87	21	4.84047	8.35591	-3.51544	-25.8185	7.84382e-29	3.06553e-25
GSE87466	208383_PM_s_at	PCK1	phosphoenolpyruvate carboxykinase 1	5105	87	21	7.17486	10.8063	-3.6314	-15.2746	1.55922e-28	5.68751e-25
GSE87466	205568_PM_at	AQP9	aquaporin 9	366	87	21	7.50336	4.19172	3.31165	15.9961	1.6819e-28	5.75157e-25
GSE87466	220655_PM_at	TNIP3	TNFAIP3 interacting protein 3	79931	87	21	7.78627	3.90421	3.88206	17.1422	1.82651e-28	5.87868e-25
GSE87466	205220_PM_at	HCAR3	hydroxycarboxylic acid receptor 3	8843	87	21	7.56851	4.25266	3.31585	15.1457	5.35102e-28	1.62656e-24
GSE87466	214433_PM_s_at	SELENBP1	selenium binding protein 1	8991	87	21	11.3025	12.7719	-1.46944	-14.9403	8.39005e-28	2.41611e-24
GSE87466	230537_PM_at				87	21	7.53231	5.7526	1.77971	14.6785	4.70405e-27	1.28691e-23
GSE87466	232629_PM_at	PROK2	prokineticin 2	60675	87	21	6.73635	3.49198	3.24437	14.6697	5.89213e-27	1.53518e-23
GSE87466	205119_PM_s_at	FPR1	formyl peptide receptor 1	2357	87	21	8.4782	5.86433	2.61388	14.7871	9.07615e-27	2.25728e-23
GSE87466	211002_PM_s_at	TRIM29	tripartite motif containing 29	23650	87	21	6.05204	4.86256	1.18947	14.9244	1.32953e-26	3.16284e-23
GSE87466	220723_PM_s_at	CWH43	cell wall biogenesis 43 C-terminal homolog	80157	87	21	7.65374	10.4613	-2.80752	-14.2863	2.50296e-26	5.70623e-23
GSE87466	222934_PM_s_at	CLEC4E	C-type lectin domain family 4 member E	26253	87	21	8.44976	6.3205	2.12926	14.2266	2.70064e-26	5.91062e-23
GSE87466	201906_PM_s_at	CTDSPL	CTD small phosphatase like	10217	87	21	9.50708	10.3728	-0.865743	-14.4926	3.79741e-26	7.99136e-23
GSE87466	210225_PM_x_at	LILRB3	leukocyte immunoglobulin like receptor B3	11025	87	21	8.61028	7.12942	1.48086	14.3139	4.11956e-26	8.34821e-23
GSE87466	209735_PM_at	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	9429	87	21	7.80203	10.9986	-3.19653	-16.7852	4.95955e-26	9.3573e-23
GSE87466	213125_PM_at	OLFML2B	olfactomedin like 2B	25903	87	21	6.96754	5.7834	1.18413	14.8914	4.86824e-26	9.3573e-23
GSE87466	209792_PM_s_at	KLK10	kallikrein related peptidase 10	5655	87	21	7.63208	4.22131	3.41077	14.1025	5.77908e-26	1.05401e-22
GSE87466	203535_PM_at	S100A9	S100 calcium binding protein A9	6280	87	21	9.14554	6.62336	2.52217	14.656	6.72211e-26	1.18645e-22
GSE87466	213680_PM_at	KRT6B	keratin 6B	3854	87	21	6.9232	4.15005	2.77316	14.2071	7.83195e-26	1.33914e-22
