metric	count	denominator	fraction	display_layer
Disease-context targets	22	22	1.0	HERB/M9 input
Open Targets-supported	21	22	0.9545454545454546	disease relevance
Genetic-supported	6	22	0.2727272727272727	genetic evidence
Clinical-supported	7	22	0.3181818181818182	clinical evidence
