display_group	accession	gene_symbol	log2fc	fdr	p_value	t_stat	neglog10_fdr	plot_class
GSE87466 validation	GSE87466	NELL1	0.455858	0.00189347	0.000348171	4.03995	2.722741571418608	not_significant
GSE87466 validation	GSE87466	AZI2	0.189311	0.00189397	0.000348298	3.85413	2.7226269043916913	not_significant
GSE87466 validation	GSE87466	DOCK10	0.72261	0.00189446	0.000348422	4.10241	2.722514560071052	not_significant
GSE87466 validation	GSE87466	TIMM13	-0.345964	0.00189644	0.000348821	-3.99927	2.7220608930514194	not_significant
GSE87466 validation	GSE87466	CHRNB4	-0.149509	0.00189725	0.00034904	-4.04931	2.721875438501529	not_significant
GSE87466 validation	GSE87466	ZNF711	-0.714836	0.00189835	0.000349277	-3.97058	2.721623713375874	not_significant
GSE87466 validation	GSE87466	AFDN	-0.192754	0.00189913	0.000349456	-3.95967	2.721445305747316	not_significant
GSE87466 validation	GSE87466	NAT1	-0.659212	0.00190037	0.000349787	-4.02415	2.721161834144905	not_significant
GSE87466 validation	GSE87466	BCL3	0.560004	0.00190673	0.000351132	4.08167	2.719710800300566	not_significant
GSE87466 validation	GSE87466	ERGIC2	0.261161	0.00190679	0.000351178	3.91203	2.7196971343599565	not_significant
GSE87466 validation	GSE87466	HS3ST6	-0.22696	0.00190776	0.000351427	-4.01723	2.7194762613046675	not_significant
GSE87466 validation	GSE87466	RCC1L	-0.286192	0.00190999	0.000351874	-4.07407	2.7189689065513236	not_significant
GSE87466 validation	GSE87466	LOC101927972	-0.264705	0.00190999	0.000351908	-4.02328	2.7189689065513236	not_significant
GSE87466 validation	GSE87466	RCCD1	-0.413591	0.00191676	0.000353294	-4.03946	2.7174322622918976	not_significant
GSE87466 validation	GSE87466	DCAF6	-0.306951	0.00191766	0.00035353	-4.14731	2.7172283904985672	not_significant
GSE87466 validation	GSE87466	SLC7A14	-0.319158	0.00192686	0.000355438	-4.16972	2.7151498387624153	not_significant
GSE87466 validation	GSE87466	FUT11	0.257222	0.00192703	0.000355504	3.91465	2.715111524196109	not_significant
GSE87466 validation	GSE87466	LRRC8B	0.61254	0.00192718	0.000355602	4.1448	2.715077720032704	not_significant
