display_group	accession	gene_symbol	log2fc	fdr	p_value	t_stat	neglog10_fdr	plot_class
GSE75214 discovery	GSE75214	SLC26A2	-4.52411	5.2517199999999995e-42	1.57937e-46	-30.6485	41.279698436751744	down
GSE75214 discovery	GSE75214	ABCA12	3.66425	1.0267e-36	6.17524e-41	25.6164	35.98855643797793	up
GSE75214 discovery	GSE75214	PADI2	-3.14891	2.3321500000000002e-33	2.10407e-37	-27.0239	32.63224351991763	down
GSE75214 discovery	GSE75214	TCN1	3.58332	1.4085e-32	1.69433e-36	22.3569	31.851243148678208	up
GSE75214 discovery	GSE75214	VSIG1	3.80544	1.44574e-32	2.17392e-36	22.3581	31.839909802973764	up
GSE75214 discovery	GSE75214	HAPLN3	1.39144	1.88199e-32	3.39586e-36	22.4692	31.725382688537007	up
GSE75214 discovery	GSE75214	CXCL2	2.37526	3.55542e-31	7.48465e-35	24.7028	30.449109088912177	up
GSE75214 discovery	GSE75214	EPHX2	-1.72288	7.13172e-30	1.7158000000000002e-33	-20.4961	29.14680571609147	down
GSE75214 discovery	GSE75214	TNIP3	4.31956	5.604140000000001e-29	1.5168200000000002e-32	23.8734	28.25149102390946	up
GSE75214 discovery	GSE75214	ENTPD5	-2.19845	1.4285500000000001e-28	4.29614e-32	-20.9443	27.845104554480343	down
GSE75214 discovery	GSE75214	CXCL3	1.3125	6.16229e-28	2.0385299999999997e-31	22.1531	27.210257867454295	up
GSE75214 discovery	GSE75214	SERPINA3	2.77232	7.0118500000000005e-28	2.5304399999999997e-31	19.8562	27.15416738306157	up
GSE75214 discovery	GSE75214	SLC9A2	-1.8992	1.81002e-26	7.51424e-30	-17.749	25.742316626323273	down
GSE75214 discovery	GSE75214	HM13	0.821799	1.81002e-26	7.62067e-30	23.5628	25.742316626323273	not_significant
GSE75214 discovery	GSE75214	AQP9	3.44453	4.33313e-26	1.9546800000000002e-29	17.6108	25.363198281324333	up
GSE75214 discovery	GSE75214	UGT2A3	-4.31692	1.54013e-25	7.41073e-29	-27.0127	24.81244261948834	down
GSE75214 discovery	GSE75214	MAOA	-1.67643	2.2674099999999998e-25	1.15921e-28	-16.9371	24.64446994231818	down
GSE75214 discovery	GSE75214	SELP	2.50623	2.58466e-25	1.39913e-28	18.499	24.58759657823171	up
GSE75214 discovery	GSE75214	MMP7	3.74352	3.48075e-25	1.9888800000000002e-28	19.7146	24.45832716818927	up
GSE75214 discovery	GSE75214	THBD	1.00663	1.97866e-24	1.1901e-27	16.4713	23.703628825707497	up
GSE75214 discovery	GSE75214	S100A9	2.2207	6.9485e-24	4.3882599999999996e-27	16.0242	23.158108938148366	up
GSE75214 discovery	GSE75214	ADAMTS9	2.03789	7.19288e-24	4.75891e-27	20.6576	23.143097185045043	up
GSE75214 discovery	GSE75214	COL15A1	1.6944	9.10104e-24	6.2950799999999995e-27	15.9646	23.040908976859825	up
GSE75214 discovery	GSE75214	AKAP1	-1.11624	1.11468e-23	8.045319999999999e-27	-16.3553	22.95284979107368	down
GSE75214 discovery	GSE75214	SLC17A4	-2.8719	2.83552e-23	2.30239e-26	-18.527	22.547367285123176	down
GSE75214 discovery	GSE75214	DHRS11	-2.3531	2.83552e-23	2.2198500000000002e-26	-18.987	22.547367285123176	down
GSE75214 discovery	GSE75214	PFKFB3	2.11433	2.83552e-23	2.2970000000000002e-26	19.2087	22.547367285123176	up
GSE75214 discovery	GSE75214	MMP10	2.28307	3.2074e-23	2.70081e-26	16.427	22.493846875132366	up
GSE75214 discovery	GSE75214	CD40	1.02805	5.42303e-23	4.72958e-26	17.01	22.265757993057	up
GSE75214 discovery	GSE75214	VIPR1	-1.69821	1.22116e-22	1.10173e-25	-16.2742	21.91322742977772	down
GSE75214 discovery	GSE75214	EPB41L4B	-1.158	1.31601e-22	1.2268799999999999e-25	-16.7089	21.880740810624555	down
GSE75214 discovery	GSE75214	DUSP4	1.29991	1.75169e-22	1.68574e-25	17.9414	21.756542749310444	up
GSE75214 discovery	GSE75214	SELE	2.6709	2.8917e-22	2.86979e-25	15.273	21.538846765009158	up
GSE75214 discovery	GSE75214	GUCA2A	-3.31586	4.83094e-22	4.93961e-25	-16.4278	21.315968356392744	down
GSE75214 discovery	GSE75214	CXCR1	2.34755	5.72733e-22	6.02841e-25	14.9396	21.242047792781538	up
GSE75214 discovery	GSE75214	GOLIM4	-0.689939	7.22207e-22	7.81891e-25	-15.0709	21.14133830648432	not_significant
GSE75214 discovery	GSE75214	SLC4A4	-1.89241	8.54349e-22	9.50647e-25	-14.716	21.06836468456605	down
GSE75214 discovery	GSE75214	CWH43	-3.03888	1.5328099999999999e-21	1.7977700000000002e-24	-18.1038	20.814511674933946	down
GSE75214 discovery	GSE75214	SATB2	-1.52216	1.5650099999999999e-21	1.8826e-24	-14.4939	20.805482883081787	down
GSE75214 discovery	GSE75214	SAA1	1.65574	1.6853499999999998e-21	2.0780500000000002e-24	14.5515	20.77330989462399	up
GSE75214 discovery	GSE75214	SLCO1B3	2.74864	2.38367e-21	3.0824500000000003e-24	14.3798	20.622753869359286	up
GSE75214 discovery	GSE75214	MEP1A	-2.2617	2.6430499999999997e-21	3.4973600000000005e-24	-14.3434	20.577894621008017	down
GSE75214 discovery	GSE75214	CXorf36	1.01987	2.94617e-21	3.98706e-24	15.2292	20.530742197095623	up
GSE75214 discovery	GSE75214	STEAP4	2.83676	3.4450999999999995e-21	4.91465e-24	17.7874	20.462798167423156	up
GSE75214 discovery	GSE75214	TMEM236	-2.58692	3.4450999999999995e-21	4.97308e-24	-15.5519	20.462798167423156	down
GSE75214 discovery	GSE75214	CA1	-3.09592	5.45216e-21	8.03428e-24	-14.3978	20.26343140777179	down
GSE75214 discovery	GSE75214	CSF3R	1.99902	5.5367099999999996e-21	8.325380000000001e-24	14.1363	20.256748223227827	up
GSE75214 discovery	GSE75214	TTC9	0.772965	6.4611099999999994e-21	9.909680000000002e-24	17.9945	20.18969286506007	not_significant
GSE75214 discovery	GSE75214	SLC39A5	-1.76083	9.200059999999999e-21	1.43872e-23	-15.0128	20.036209340308364	down
GSE75214 discovery	GSE75214	RAVER2	-1.65464	1.01619e-20	1.64691e-23	-18.5516	19.993025083157455	down
GSE75214 discovery	GSE75214	DYSF	1.62587	1.2819399999999998e-20	2.12037e-23	14.2374	19.892132301087642	up
GSE75214 discovery	GSE75214	NNMT	1.51942	1.3022599999999999e-20	2.19314e-23	14.9037	19.885302298953324	up
GSE75214 discovery	GSE75214	TRIB2	1.9253	1.52074e-20	2.6068300000000003e-23	22.3248	19.81794503066586	up
GSE75214 discovery	GSE75214	PLCE1	-1.46358	1.5349199999999998e-20	2.6773e-23	-14.95	19.813914255016734	down
GSE75214 discovery	GSE75214	VNN2	2.46997	1.7348299999999997e-20	3.07816e-23	14.5612	19.7607430763078	up
GSE75214 discovery	GSE75214	RTEL1-TNFRSF6B	1.0964	1.9580299999999997e-20	3.5330800000000004e-23	24.7136	19.708180658429384	up
GSE75214 discovery	GSE75214	SAA2	3.70871	2.5984399999999997e-20	4.7667800000000004e-23	20.3221	19.585287306922613	up
GSE75214 discovery	GSE75214	TDP2	-1.42292	2.8017099999999995e-20	5.2239300000000004e-23	-17.441	19.552576819770344	down
GSE75214 discovery	GSE75214	SERPINB7	2.89523	2.8309299999999995e-20	5.36355e-23	14.0651	19.548070869239485	up
GSE75214 discovery	GSE75214	AHCYL2	-1.22857	3.6420399999999995e-20	7.11934e-23	-13.8564	19.438655288721254	down
GSE75214 discovery	GSE75214	RALGPS1	-0.693753	3.6420399999999995e-20	7.084e-23	-17.3013	19.438655288721254	not_significant
GSE75214 discovery	GSE75214	S100A8	4.14811	7.400179999999999e-20	1.46882e-22	17.3874	19.13075771647767	up
GSE75214 discovery	GSE75214	MLKL	1.27455	7.428989999999999e-20	1.49688e-22	19.0571	19.129070226245158	up
GSE75214 discovery	GSE75214	SOD2	1.2719	7.43676e-20	1.52081e-22	13.4472	19.12861623388935	up
GSE75214 discovery	GSE75214	LRRC19	-2.14306	9.118659999999999e-20	1.89218e-22	-13.9595	19.040068977171934	down
GSE75214 discovery	GSE75214	OLFML2B	1.23706	9.961109999999999e-20	2.09695e-22	13.5945	19.00169226398446	up
GSE75214 discovery	GSE75214	RMND5A	-1.3124	1.18672e-19	2.5339e-22	-16.6597	18.92565173833228	down
GSE75214 discovery	GSE75214	ALPL	1.95453	1.3136e-19	2.8443099999999998e-22	15.087	18.881536860224635	up
GSE75214 discovery	GSE75214	FCN3	1.35081	1.9867e-19	4.36152e-22	14.3015	18.70186770822039	up
GSE75214 discovery	GSE75214	ZNF608	-0.909205	2.04002e-19	4.53993e-22	-21.2184	18.690365574805934	not_significant
GSE75214 discovery	GSE75214	APOL1	2.37854	2.0405e-19	4.60235e-22	22.8254	18.69026340089071	up
GSE75214 discovery	GSE75214	ODC1	0.941149	2.17896e-19	4.98017e-22	13.6151	18.66175074219006	not_significant
GSE75214 discovery	GSE75214	IL1B	3.61857	2.21751e-19	5.13498e-22	16.7303	18.654134413013697	up
GSE75214 discovery	GSE75214	FPR2	1.99011	2.47951e-19	5.81624e-22	13.1647	18.605634135835842	up
GSE75214 discovery	GSE75214	IL1RAP	1.04662	2.95011e-19	7.00886e-22	13.2992	18.530161790292222	up
GSE75214 discovery	GSE75214	TREM1	2.03259	3.20643e-19	7.87481e-22	13.1302	18.493978236783875	up
GSE75214 discovery	GSE75214	COL4A2	1.42139	3.20643e-19	7.907099999999999e-22	14.4185	18.493978236783875	up
GSE75214 discovery	GSE75214	CRIP2	1.02805	3.20643e-19	7.77354e-22	14.487	18.493978236783875	up
GSE75214 discovery	GSE75214	LY6E	1.09753	4.15426e-19	1.0369399999999999e-21	14.3566	18.38150632604076	up
GSE75214 discovery	GSE75214	ADH1C	-3.17078	4.34568e-19	1.09779e-21	-16.3034	18.36194225669724	down
GSE75214 discovery	GSE75214	CLSTN3	0.921687	4.66647e-19	1.19286e-21	16.9034	18.331011521837404	not_significant
GSE75214 discovery	GSE75214	SERPINB3	3.73736	4.66781e-19	1.20724e-21	13.1575	18.330886829925493	up
GSE75214 discovery	GSE75214	SAA2-SAA4	1.55836	5.66562e-19	1.5075199999999999e-21	14.8581	18.246752557496034	up
GSE75214 discovery	GSE75214	KCNN3	0.969204	5.66562e-19	1.49074e-21	15.1267	18.246752557496034	not_significant
GSE75214 discovery	GSE75214	TMEM98	-0.887213	5.66562e-19	1.5164199999999999e-21	-16.714	18.246752557496034	not_significant
GSE75214 discovery	GSE75214	METTL7A	-1.31686	9.448e-19	2.5571999999999997e-21	-17.802	18.024660115394543	down
GSE75214 discovery	GSE75214	FPR1	1.77425	1.1163e-18	3.05495e-21	12.8061	17.952219075258803	up
GSE75214 discovery	GSE75214	CDH5	1.69072	1.1223e-18	3.1051299999999998e-21	16.228	17.949891037082132	up
GSE75214 discovery	GSE75214	HNF4A	-1.01655	1.36236e-18	3.85124e-21	-12.7041	17.86570811609823	down
GSE75214 discovery	GSE75214	NAAA	-1.71878	1.3857500000000001e-18	3.95905e-21	-18.2769	17.8583151127355	down
GSE75214 discovery	GSE75214	LDLRAD3	0.858163	2.2799800000000003e-18	6.58241e-21	12.7559	17.642068962616975	not_significant
GSE75214 discovery	GSE75214	PANX1	0.953632	2.4601500000000003e-18	7.17655e-21	15.0634	17.6090384123331	not_significant
GSE75214 discovery	GSE75214	TMEM94	-0.744346	2.4831700000000004e-18	7.31837e-21	-19.7714	17.604993547245826	not_significant
GSE75214 discovery	GSE75214	MYO1A	-1.3338	2.74178e-18	8.16299e-21	-12.5269	17.561967395870052	down
GSE75214 discovery	GSE75214	SLC22A23	-1.01071	2.76811e-18	8.32464e-21	-14.0279	17.5578166557457	down
GSE75214 discovery	GSE75214	KCNJ15	1.64528	2.83833e-18	8.621169999999999e-21	12.5124	17.546937112455964	up
GSE75214 discovery	GSE75214	PCDH17	1.14663	3.0136100000000004e-18	9.29412e-21	13.4219	17.52091295169196	up
GSE75214 discovery	GSE75214	LRRC75A	-1.08405	3.0136100000000004e-18	9.425449999999999e-21	-14.4077	17.52091295169196	down
GSE75214 discovery	GSE75214	NBEAL1	-0.886358	3.0136100000000004e-18	9.35594e-21	-14.7585	17.52091295169196	not_significant
GSE75214 discovery	GSE75214	C4BPB	2.13684	3.10534e-18	9.80574e-21	17.8981	17.507890842495456	up
GSE75214 discovery	GSE75214	ATP9A	-0.943299	3.5137e-18	1.1200899999999998e-20	-13.2298	17.454235321357068	not_significant
GSE75214 discovery	GSE75214	CD177	-2.48499	3.67248e-18	1.1817499999999999e-20	-12.4406	17.435040560660454	down
GSE75214 discovery	GSE75214	IL1A	2.30854	4.4416200000000006e-18	1.46932e-20	13.5137	17.352458599988925	up
GSE75214 discovery	GSE75214	UBD	2.17952	4.4416200000000006e-18	1.4672499999999998e-20	19.3491	17.352458599988925	up
GSE75214 discovery	GSE75214	INSC	1.21247	4.4416200000000006e-18	1.46012e-20	16.5131	17.352458599988925	up
GSE75214 discovery	GSE75214	CBFB	0.861667	5.11491e-18	1.70743e-20	19.0745	17.291162003564185	not_significant
GSE75214 discovery	GSE75214	SGK2	-1.97973	7.23381e-18	2.4582599999999996e-20	-17.9295	17.140632902408132	down
GSE75214 discovery	GSE75214	IDO1	4.22524	7.23709e-18	2.48114e-20	20.1419	17.140436026481265	up
GSE75214 discovery	GSE75214	ART3	1.12529	1.04781e-17	3.62378e-20	14.4704	16.97971746108554	up
GSE75214 discovery	GSE75214	SLC44A1	-0.946461	1.0799e-17	3.7672599999999996e-20	-15.3957	16.96661645882688	not_significant
GSE75214 discovery	GSE75214	CEP19	0.603766	1.21539e-17	4.2764399999999994e-20	13.6137	16.9152843412672	not_significant
GSE75214 discovery	GSE75214	MYO1D	-1.23965	1.23061e-17	4.367e-20	-17.8685	16.90987956013441	down
GSE75214 discovery	GSE75214	TMEM163	1.07063	1.2407e-17	4.4401299999999993e-20	12.6376	16.906333217772097	up
GSE75214 discovery	GSE75214	CTDSPL	-0.969556	1.42951e-17	5.1588299999999994e-20	-16.4501	16.844812802230003	not_significant
GSE75214 discovery	GSE75214	WISP1	1.18185	1.61202e-17	5.865939999999999e-20	12.8419	16.792629574295347	up
GSE75214 discovery	GSE75214	CXCL1	3.45437	1.88918e-17	6.931309999999999e-20	24.6623	16.723726660774574	up
GSE75214 discovery	GSE75214	RNF213	1.3016	2.34904e-17	8.68916e-20	19.4132	16.629109587891882	up
GSE75214 discovery	GSE75214	S100A12	2.52333	2.40115e-17	8.95412e-20	11.9947	16.619580708690386	up
GSE75214 discovery	GSE75214	FCGR1CP	1.45552	2.56366e-17	9.714329999999999e-20	11.9955	16.5911395727238	up
GSE75214 discovery	GSE75214	C1orf210	-1.28735	2.56366e-17	9.685949999999999e-20	-12.6626	16.5911395727238	down
GSE75214 discovery	GSE75214	IHH	-1.10381	2.64042e-17	1.0164000000000001e-19	-14.7179	16.578326986321624	down
GSE75214 discovery	GSE75214	A1CF	-1.52714	3.11668e-17	1.21104e-19	-12.8551	16.506307785906813	down
GSE75214 discovery	GSE75214	TCEA3	-1.31001	3.11668e-17	1.2278500000000001e-19	-12.4761	16.506307785906813	down
GSE75214 discovery	GSE75214	FZD5	-1.09211	3.11668e-17	1.22326e-19	-12.1422	16.506307785906813	down
GSE75214 discovery	GSE75214	MMP19	1.00724	3.1204e-17	1.2387e-19	12.1928	16.505789730770672	up
GSE75214 discovery	GSE75214	KLK10	1.96363	3.17964e-17	1.2717800000000001e-19	11.9125	16.49762204821177	up
GSE75214 discovery	GSE75214	CXCR2	1.82276	3.45245e-17	1.39128e-19	12.1039	16.461872602360145	up
GSE75214 discovery	GSE75214	PHLPP2	-2.36655	3.51072e-17	1.4253200000000001e-19	-21.0066	16.454603806622387	down
GSE75214 discovery	GSE75214	THY1	1.75692	3.92757e-17	1.60637e-19	14.0051	16.405876065907893	up
GSE75214 discovery	GSE75214	FAM20A	1.04	4.17133e-17	1.71861e-19	11.8427	16.379725451125193	up
GSE75214 discovery	GSE75214	P3H1	0.872052	4.31765e-17	1.79188e-19	15.888	16.364752565621377	not_significant
GSE75214 discovery	GSE75214	KIAA0895	0.665045	4.43438e-17	1.85366e-19	14.866	16.35316709317196	not_significant
GSE75214 discovery	GSE75214	MS4A12	-2.76245	5.59096e-17	2.35492e-19	-11.7656	16.252513614849434	down
GSE75214 discovery	GSE75214	TUBB6	0.636022	5.59096e-17	2.37076e-19	15.442	16.252513614849434	not_significant
GSE75214 discovery	GSE75214	MAP3K8	0.745104	6.4515e-17	2.75506e-19	13.2657	16.190339298390228	not_significant
GSE75214 discovery	GSE75214	FAHD1	-1.20528	6.7563e-17	2.92586e-19	-17.8261	16.17029107469429	down
GSE75214 discovery	GSE75214	LIMA1	-0.634687	6.7563e-17	2.91663e-19	-11.908	16.17029107469429	not_significant
GSE75214 discovery	GSE75214	CLYBL	-1.3931	7.10474e-17	3.09812e-19	-18.3475	16.148451810576958	down
GSE75214 discovery	GSE75214	SLC7A5	1.83315	1.00986e-16	4.46436e-19	17.2327	15.995738829625083	up
GSE75214 discovery	GSE75214	CNTN3	-1.9944	1.16969e-16	5.20614e-19	-21.9768	15.93192922297889	down
GSE75214 discovery	GSE75214	CHN2	-1.23903	1.19248e-16	5.34343e-19	-16.4761	15.923548896113825	down
GSE75214 discovery	GSE75214	PDPN	1.38164	1.21753e-16	5.52846e-19	15.224	15.914520328943768	up
GSE75214 discovery	GSE75214	HDAC7	0.629475	1.21753e-16	5.52888e-19	14.6693	15.914520328943768	not_significant
GSE75214 discovery	GSE75214	NHSL1	-1.13594	1.24041e-16	5.67012e-19	-12.5146	15.906434741203405	down
GSE75214 discovery	GSE75214	GNA15	1.8427	1.37198e-16	6.312800000000001e-19	21.7449	15.862652219498761	up
GSE75214 discovery	GSE75214	MRPL35	-0.927594	1.46473e-16	6.82767e-19	-14.7363	15.834242423307773	not_significant
GSE75214 discovery	GSE75214	ADAMTS1	1.58319	1.86632e-16	8.75574e-19	13.8162	15.729013889893249	up
GSE75214 discovery	GSE75214	LILRB3	1.25296	1.87779e-16	8.86602e-19	11.6627	15.726352978066034	up
GSE75214 discovery	GSE75214	TRABD2A	-1.05909	1.90104e-16	9.03299e-19	-14.8984	15.721008744998569	down
GSE75214 discovery	GSE75214	HNF1B	-1.0735	1.91334e-16	9.20651e-19	-12.9014	15.718207849103134	down
GSE75214 discovery	GSE75214	PDLIM7	0.640803	1.94758e-16	9.42983e-19	12.9639	15.710504693940395	not_significant
GSE75214 discovery	GSE75214	DYRK2	-0.790365	1.96777e-16	9.58674e-19	-14.5581	15.706025664831623	not_significant
GSE75214 discovery	GSE75214	ZNF385D	1.01363	1.99799e-16	9.794080000000001e-19	11.6764	15.699406689761531	up
GSE75214 discovery	GSE75214	NR4A3	1.11189	2.07393e-16	1.0228700000000002e-18	11.4556	15.683205906156608	up
GSE75214 discovery	GSE75214	COL1A1	1.94333	2.13434e-16	1.0590800000000001e-18	14.5	15.670736396363234	up
GSE75214 discovery	GSE75214	VWF	2.04547	2.51415e-16	1.25511e-18	16.279	15.599608814864492	up
GSE75214 discovery	GSE75214	PRKCZ	-0.589419	2.54183e-16	1.27657e-18	-11.8309	15.594853498837393	not_significant
GSE75214 discovery	GSE75214	UNC5CL	1.19805	3.01767e-16	1.5337e-18	14.0292	15.520328254625051	up
GSE75214 discovery	GSE75214	PHLDA1	2.12392	3.13318e-16	1.6018300000000002e-18	19.7269	15.504014654348683	up
GSE75214 discovery	GSE75214	S1PR1	1.09817	3.42334e-16	1.76047e-18	13.3455	15.465549965369592	up
GSE75214 discovery	GSE75214	CYR61	1.83811	3.49587e-16	1.80828e-18	12.7619	15.456444725732252	up
GSE75214 discovery	GSE75214	EXPH5	-2.18935	3.62952e-16	1.88833e-18	-16.08	15.44015080613058	down
GSE75214 discovery	GSE75214	PRDM1	1.92196	4.04778e-16	2.1302800000000003e-18	17.3076	15.392783099770638	up
GSE75214 discovery	GSE75214	ACKR1	1.015	4.48893e-16	2.37595e-18	13.2379	15.34785716689747	up
GSE75214 discovery	GSE75214	PROK2	1.65749	4.7433e-16	2.5346900000000003e-18	11.5388	15.323919406610134	up
GSE75214 discovery	GSE75214	CES3	-1.31568	4.7433e-16	2.53912e-18	-11.712	15.323919406610134	down
GSE75214 discovery	GSE75214	CEMIP	2.41128	4.84918e-16	2.61038e-18	12.6712	15.314331694713957	up
GSE75214 discovery	GSE75214	NXPE4	-1.92825	4.93913e-16	2.6812500000000003e-18	-11.2125	15.306349542872743	down
GSE75214 discovery	GSE75214	CCL4L1	1.82257	4.93913e-16	2.7302600000000003e-18	11.7999	15.306349542872743	up
GSE75214 discovery	GSE75214	WASL	-0.757032	4.93913e-16	2.6998200000000003e-18	-13.6161	15.306349542872743	not_significant
GSE75214 discovery	GSE75214	TGFBRAP1	-0.43559	4.93913e-16	2.73307e-18	-12.2553	15.306349542872743	not_significant
GSE75214 discovery	GSE75214	GABRP	1.52182	5.06814e-16	2.8197e-18	15.5238	15.295151396869164	up
GSE75214 discovery	GSE75214	C17orf62	0.502996	5.24516e-16	2.9339600000000002e-18	14.3879	15.280241259413748	not_significant
GSE75214 discovery	GSE75214	ADGRF5	1.628	5.28522e-16	2.9722600000000002e-18	13.362	15.276936930249187	up
GSE75214 discovery	GSE75214	CAMK2N1	-1.04362	5.39431e-16	3.04983e-18	-13.3097	15.268064099147344	down
GSE75214 discovery	GSE75214	ABCC9	1.06455	5.82922e-16	3.3132500000000005e-18	11.1655	15.234389553707313	up
GSE75214 discovery	GSE75214	SELENBP1	-2.00722	5.897e-16	3.36951e-18	-16.2551	15.229368872222194	down
GSE75214 discovery	GSE75214	ALDH1A2	1.27114	6.15479e-16	3.53532e-18	11.5985	15.210786760506357	up
GSE75214 discovery	GSE75214	XKR9	0.996451	6.24817e-16	3.60775e-18	13.7023	15.204247162700293	not_significant
GSE75214 discovery	GSE75214	AGT	1.0901	6.39988e-16	3.7197800000000006e-18	12.3995	15.19382816911399	up
GSE75214 discovery	GSE75214	NR5A2	-0.98635	6.39988e-16	3.733840000000001e-18	-13.6468	15.19382816911399	not_significant
GSE75214 discovery	GSE75214	PFKFB2	-0.98682	6.76371e-16	3.96645e-18	-12.4995	15.169815021432031	not_significant
GSE75214 discovery	GSE75214	ZNF704	-1.27715	8.22412e-16	4.899770000000001e-18	-16.3262	15.084910561413292	down
GSE75214 discovery	GSE75214	FGFR3	-1.21102	8.22412e-16	4.9206300000000006e-18	-17.9706	15.084910561413292	down
GSE75214 discovery	GSE75214	ACOT13	-1.00598	8.22412e-16	4.921810000000001e-18	-14.6854	15.084910561413292	down
GSE75214 discovery	GSE75214	PAPPA	1.0834	8.58884e-16	5.1917400000000004e-18	11.4112	15.06606548757942	up
GSE75214 discovery	GSE75214	SATB2-AS1	-1.92387	8.85283e-16	5.37794e-18	-17.2676	15.05291787541336	down
GSE75214 discovery	GSE75214	ARHGAP35	-0.689209	8.93421e-16	5.45424e-18	-17.3765	15.048943843584649	not_significant
GSE75214 discovery	GSE75214	SLC35D2	-0.845304	9.06945e-16	5.564080000000001e-18	-12.2102	15.042419049125966	not_significant
GSE75214 discovery	GSE75214	IL13RA2	1.9572	9.34276e-16	5.75985e-18	11.254	15.029524807313583	up
GSE75214 discovery	GSE75214	PLEKHH1	-0.774446	9.54324e-16	5.9121500000000005e-18	-11.0401	15.02030415409763	not_significant
GSE75214 discovery	GSE75214	STRIP2	1.80129	1.02946e-15	6.416550000000001e-18	17.4126	14.98739052337015	up
GSE75214 discovery	GSE75214	SEMA6A	-1.50592	1.02946e-15	6.43956e-18	-13.97	14.98739052337015	down
GSE75214 discovery	GSE75214	C4B_2	1.96547	1.09146e-15	6.9258300000000005e-18	14.547	14.961992175756578	up
GSE75214 discovery	GSE75214	FFAR2	1.66508	1.09731e-15	6.99595e-18	11.0553	14.959670662971943	up
GSE75214 discovery	GSE75214	SCP2	-0.858556	1.16123e-15	7.47336e-18	-12.2895	14.935081752838506	not_significant
GSE75214 discovery	GSE75214	DEFB4B	1.46549	1.20534e-15	7.93847e-18	11.0592	14.91889043085173	up
GSE75214 discovery	GSE75214	CYP4X1	1.41936	1.20534e-15	7.816920000000001e-18	15.1704	14.91889043085173	up
GSE75214 discovery	GSE75214	MAGED4	0.558395	1.20534e-15	7.907470000000001e-18	11.856	14.91889043085173	not_significant
GSE75214 discovery	GSE75214	ZBP1	1.52765	1.20767e-15	7.990140000000001e-18	19.235	14.918051721971677	up
GSE75214 discovery	GSE75214	APPL2	-1.25969	1.27528e-15	8.47577e-18	-15.6255	14.894394451226526	down
GSE75214 discovery	GSE75214	ELL2	1.26126	1.2888e-15	8.63269e-18	18.5243	14.889814472588839	up
GSE75214 discovery	GSE75214	EHD2	0.798811	1.2888e-15	8.643170000000001e-18	11.9513	14.889814472588839	not_significant
GSE75214 discovery	GSE75214	ABCB1	-2.71656	1.38433e-15	9.32544e-18	-20.6778	14.858760369347817	down
GSE75214 discovery	GSE75214	LILRA5	1.3245	1.61928e-15	1.09569e-17	10.9666	14.790678048133099	up
GSE75214 discovery	GSE75214	DERL3	1.25872	1.66353e-15	1.13063e-17	14.6136	14.778969362683961	up
GSE75214 discovery	GSE75214	CES2	-1.18515	1.79545e-15	1.22569e-17	-12.1715	14.745826684676839	down
GSE75214 discovery	GSE75214	SLC10A5	-2.0675	1.86332e-15	1.27763e-17	-14.5938	14.72971255449718	down
GSE75214 discovery	GSE75214	SERPINB4	2.56305	1.95198e-15	1.34429e-17	10.9311	14.709524636430666	up
GSE75214 discovery	GSE75214	GIPC2	-1.14283	2.02432e-15	1.4002e-17	-12.5579	14.69372083410039	down
GSE75214 discovery	GSE75214	ACVR1C	-1.53783	2.05479e-15	1.4323e-17	-16.0092	14.687232556513687	down
GSE75214 discovery	GSE75214	CENPV	-0.901311	2.05479e-15	1.43363e-17	-12.0511	14.687232556513687	not_significant
GSE75214 discovery	GSE75214	HTRA1	0.752254	2.34056e-15	1.64005e-17	11.9128	14.630680221302223	not_significant
GSE75214 discovery	GSE75214	PLA1A	1.12193	2.376e-15	1.67203e-17	13.1833	14.624153563690845	up
GSE75214 discovery	GSE75214	ANGPTL4	1.3919	2.4825e-15	1.75444e-17	12.3535	14.605110742832581	up
GSE75214 discovery	GSE75214	RAPGEFL1	-1.58977	2.4901e-15	1.7673e-17	-15.1831	14.603783211709029	down
GSE75214 discovery	GSE75214	DSG3	2.2445	2.79905e-15	1.99499e-17	11.4097	14.552989343573799	up
GSE75214 discovery	GSE75214	LPIN1	1.14707	2.91146e-15	2.08387e-17	20.171	14.535889172204971	up
GSE75214 discovery	GSE75214	ZNF57	-1.04011	3.35817e-15	2.4137e-17	-15.1315	14.473897322434674	down
GSE75214 discovery	GSE75214	MTMR11	-1.37631	3.39337e-15	2.4492e-17	-13.6698	14.469368783974826	down
GSE75214 discovery	GSE75214	PRAF2	0.806306	3.45697e-15	2.5055e-17	13.6579	14.461304389300807	not_significant
GSE75214 discovery	GSE75214	SOCS3	2.46707	3.67487e-15	2.68553e-17	15.6652	14.434758019649514	up
GSE75214 discovery	GSE75214	LILRB2	1.40471	3.67487e-15	2.67702e-17	12.3809	14.434758019649514	up
GSE75214 discovery	GSE75214	MMP14	1.15909	4.24931e-15	3.1181e-17	14.3863	14.371681584660452	up
GSE75214 discovery	GSE75214	PCBP3	0.626377	5.08704e-15	3.74812e-17	12.0299	14.293534847446102	not_significant
GSE75214 discovery	GSE75214	ITGA2	1.45561	5.28362e-15	3.90885e-17	13.3067	14.27706842456197	up
GSE75214 discovery	GSE75214	PLAU	2.23479	5.31823e-15	3.98278e-17	14.4917	14.274232884460101	up
GSE75214 discovery	GSE75214	FAM160A1	-1.09506	5.31823e-15	3.99843e-17	-11.9522	14.274232884460101	down
