gene_symbol	direction	evidence_group_count	direction_consistency	mean_log2fc	best_fdr	consensus_score
SLC6A14	up	2	1.0	5.3627	2.66375e-11	10.7254
AQP8	down	2	1.0	-5.14408	2.0620099999999997e-21	10.2882
MMP3	up	2	1.0	4.95087	6.10704e-16	9.90174
DUOX2	up	2	1.0	4.62781	4.45328e-10	9.25561
CHI3L1	up	2	1.0	4.2248	1.53378e-15	8.4496
REG1A	up	2	1.0	4.16969	1.72152e-05	8.33939
TNIP3	up	2	1.0	4.10081	5.604140000000001e-29	8.20162
S100A8	up	2	1.0	4.09886	7.400179999999999e-20	8.19772
HMGCS2	down	2	1.0	-4.0804	1.9391800000000002e-26	8.16079
REG3A	up	2	1.0	3.85329	1.64563e-07	7.70658
REG1B	up	2	1.0	3.82744	2.08635e-06	7.65487
DUOXA2	up	2	1.0	3.78093	3.62002e-21	7.56187
CLDN8	down	2	1.0	-3.76459	4.36887e-08	7.52919
VNN1	up	2	1.0	3.72317	1.07812e-10	7.44634
SAA2	up	2	1.0	3.67694	2.5984399999999997e-20	7.35389
PCK1	down	2	1.0	-3.67247	5.6875099999999995e-25	7.34494
IDO1	up	2	1.0	3.64299	7.23709e-18	7.28598
CXCL1	up	2	1.0	3.63465	1.88918e-17	7.26931
UGT2A3	down	2	1.0	-3.6035	1.54013e-25	7.20701
CXCL8	up	2	1.0	3.53596	2.75847e-17	7.07192
ABCG2	down	2	1.0	-3.49709	9.3573e-23	6.99417
MMP1	up	2	1.0	3.49179	5.59823e-10	6.98359
SLC26A2	down	2	1.0	-3.48876	5.2517199999999995e-42	6.97751
AQP9	up	2	1.0	3.37809	4.33313e-26	6.75618
TCN1	up	2	1.0	3.37597	1.4085e-32	6.75195
IL1B	up	2	1.0	3.3754	2.21751e-19	6.75081
SERPINB5	up	2	1.0	3.30745	3.38225e-08	6.6149
LCN2	up	2	1.0	3.18023	1.67342e-08	6.36046
CYP2B6	down	2	1.0	-3.10331	1.02155e-09	6.20663
MEP1B	down	2	1.0	-3.0949	1.19667e-08	6.18979
CYP2B7P	down	2	1.0	-3.08872	6.20074e-10	6.17744
MMP7	up	2	1.0	2.98376	3.48075e-25	5.96751
CWH43	down	2	1.0	-2.9232	5.70623e-23	5.8464
KYNU	up	2	1.0	2.91714	5.58415e-15	5.83428
FCGR3B	up	2	1.0	2.90231	3.00083e-14	5.80462
MMP12	up	2	1.0	2.89752	6.55105e-08	5.79504
PTGS2	up	2	1.0	2.89001	6.03791e-11	5.78002
SERPINA3	up	2	1.0	2.86608	7.0118500000000005e-28	5.73216
SLC38A4	down	2	1.0	-2.85467	1.59443e-08	5.70934
MMP10	up	2	1.0	2.84809	1.10149e-26	5.69619
CXCL11	up	2	1.0	2.83551	3.3675499999999995e-20	5.67102
TNC	up	2	1.0	2.82474	1.86364e-19	5.64948
SLC30A10	down	2	1.0	-2.82366	1.03494e-12	5.64731
TRPM6	down	2	1.0	-2.78613	2.84382e-15	5.57226
HCAR3	up	2	1.0	2.73939	1.62656e-24	5.47878
SLC51A	down	2	1.0	-2.73924	6.5695e-09	5.47848
VSIG1	up	2	1.0	2.73914	1.44574e-32	5.47827
CHP2	down	2	1.0	-2.71877	2.46971e-25	5.43753
CDH3	up	2	1.0	2.71683	6.947500000000001e-19	5.43366
ABCA12	up	2	1.0	2.70745	1.0267e-36	5.4149
ADH1C	down	2	1.0	-2.70385	6.3341e-20	5.40771
KLK10	up	2	1.0	2.6872	1.05401e-22	5.3744
SLC17A4	down	2	1.0	-2.68248	2.83552e-23	5.36497
MT1M	down	2	1.0	-2.66641	1.54177e-11	5.33282
CXCL10	up	2	1.0	2.66411	3.16339e-09	5.32821
GUCA2A	down	2	1.0	-2.65782	4.83094e-22	5.31565
CA1	down	2	1.0	-2.63648	5.45216e-21	5.27297
GUCA2B	down	2	1.0	-2.62352	2.78856e-14	5.24705
SERPINB3	up	2	1.0	2.60825	4.66781e-19	5.21651
PI3	up	2	1.0	2.58435	1.01929e-08	5.16871
CXCL9	up	2	1.0	2.57349	8.86346e-13	5.14698
TIMP1	up	2	1.0	2.53568	2.84382e-15	5.07137
S100A12	up	2	1.0	2.52592	1.12652e-19	5.05184
UBD	up	2	1.0	2.51885	4.4416200000000006e-18	5.0377
GBA3	down	2	1.0	-2.50709	9.08639e-15	5.01418
APOBEC3B	down	2	1.0	-2.50334	1.46173e-13	5.00668
SERPINB7	up	2	1.0	2.49003	2.8309299999999995e-20	4.98007
DMBT1	up	2	1.0	2.48838	3.51251e-07	4.97675
CXCL13	up	2	1.0	2.47466	2.45661e-05	4.94933
CEMIP	up	2	1.0	2.47236	7.094059999999999e-20	4.94472
DEFA5	up	2	1.0	2.46136	5.16612e-06	4.92273
PROK2	up	2	1.0	2.45093	1.53518e-23	4.90186
NOS2	up	2	1.0	2.45003	6.55524e-13	4.90006
TNFAIP6	up	2	1.0	2.44325	1.00148e-13	4.88651
MMP9	up	2	1.0	2.44115	8.06227e-16	4.8823
PADI2	down	2	1.0	-2.43624	2.3321500000000002e-33	4.87248
OSMR	up	2	1.0	2.43289	1.06608e-11	4.86578
SELP	up	2	1.0	2.41908	2.58466e-25	4.83816
PRRX1	up	2	1.0	2.41695	2.79021e-19	4.8339
ABCB1	down	2	1.0	-2.39182	1.38433e-15	4.78365
IL13RA2	up	2	1.0	2.37602	9.34276e-16	4.75204
STC1	up	2	1.0	2.37505	2.70812e-13	4.75011
REG4	up	2	1.0	2.37465	2.00433e-10	4.74931
S100A9	up	2	1.0	2.37143	6.9485e-24	4.74287
C3	up	2	1.0	2.35344	3.05834e-10	4.70687
B4GALNT2	down	2	1.0	-2.34433	4.86169e-07	4.68866
TGM2	up	2	1.0	2.31993	1.86282e-17	4.63985
STEAP4	up	2	1.0	2.30763	3.4450999999999995e-21	4.61527
SATB2-AS1	down	2	1.0	-2.30537	5.04979e-22	4.61074
