ingredient_id	ingredient_name	alias	evidence_count	reference_count	clinical_trial_count	meta_analysis_count	matched_terms	pubchem_id	inchikey	canonical_smiles	cas_id	drugbank_id	identifier_status	top_evidence_titles
HBIN017893	Berberine	2086-83-1; Umbellatine; Berberin; Berbericine; Majarine; Thalsine; Umbellatin; Berberone; 9,10-Dimethoxy-5,6-dihydro-[1,3]dioxolo[4,5-g]isoquinolino[3,2-a]isoquinolin-7-ium	3	3	0	0	colitis;ulcerative colitis	2353	YBHILYKTIRIUTE-UHFFFAOYSA-N	COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC	2086-83-1	DB04115	pubchem_and_inchikey	Circadian pharmacological effects of berberine on chronic colitis in mice: Role of the clock component Rev-erbα || Intervention of oncostatin M-driven mucosal inflammation by berberine exerts therapeutic property in chronic ulcerative colitis || Berberine Suppresses Colonic Inflammation in Dextran Sulfate Sodium-Induced Murine Colitis Through Inhibition of Cytosolic Phospholipase A2 Activity
HBIN019351	Calcium	7440-70-2; Ca; Elemental calcium; Calcium, elemental; HSDB 273; UNII-SY7Q814VUP; SY7Q814VUP; EINECS 231-179-5; Kalzium	3	0	0	3	colitis;crohn;inflammatory bowel disease;ulcerative colitis	5460341	OYPRJOBELJOOCE-UHFFFAOYSA-N	[Ca]	NA	NA	pubchem_and_inchikey	Examining the relationship between calcium consumption and abdominal adiposity in adults: a systematic review || Utility of coronary calcium scoring in connective tissue disorders for the evaluation of subclinical coronary atherosclerosis – a systematic review || Enteral calcium and phosphorous supplementation in preterm or low birth weight infants
HBIN019558	Cannabidiol	13956-29-1; (-)-Cannabidiol; (-)-trans-Cannabidiol; Epidiolex; CBD; (-)-CBD; GWP42003-P; CARDIOLRX; Cannabidiol [USAN]	3	0	2	1	colitis;crohn;inflammatory bowel disease;ulcerative colitis	644019	QHMBSVQNZZTUGM-ZWKOTPCHSA-N	CCCCCC1=CC(=C(C(=C1)O)C2C=C(CCC2C(=C)C)C)O	13956-29-1	NA	pubchem_and_inchikey	Cannabidiol for Inflammatory Bowel Disease || A Phase 2a Study to Evaluate the Safety, Tolerability and Efficacy of Cannabidiol as a Steroid-sparing Therapy in Steroid-dependent Crohn's Disease Patients || MEDICINAL CANNABIS AND CANNABIDIOL: COMPARATIVE SYSTEMATIC REVIEWS FOR ALL RELEVANT DISEASE INDICATIONS
HBIN019684	Caproate	Hexanoate; butylacetate; hexoate; n-hexanoate; Hexanoate anion; 151-33-7; Hexanoic acid, ion(1-); capronate; hexylate	3	0	0	3	colitis	4398339	FUZZWVXGSFPDMH-UHFFFAOYSA-M	CCCCCC(=O)[O-]	NA	NA	pubchem_and_inchikey	17-alpha-hydroxyprogesterone caproate for maintenance tocolysis: a meta-analysis of randomized trials || Adjuvant administration of 17-hydroxyprogesterone caproate in women with history-indicated cerclage compared to cerclage alone: a systematic review and meta-analysis || Adjuvant administration of 17-hydroxyprogesterone caproate in women with ultrasound-indicated cerclage compared to cerclage alone: a systematic review and meta-analysis
HBIN021795	Cryptotanshinone	35825-57-1; Tanshinone c; Cryptotanshinon; (R)-1,2,6,7,8,9-Hexahydro-1,6,6-trimethyl-phenanthro(1,2-b)furan-10,11-dione; (15R)-cryptotanshinone; C19H20O3; UNII-5E9SXT166N; 5E9SXT166N; (1R)-1,6,6-trimethyl-2,7,8,9-tetrahydro-1H-naphtho[1,2-g][1]benzofuran-10,11-dione	3	3	0	0	colitis;ulcerative colitis	160254	GVKKJJOMQCNPGB-JTQLQIEISA-N	CC1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C	35825-57-1	NA	pubchem_and_inchikey	Cryptotanshinone protects dextran sulfate sodium-induced experimental ulcerative colitis in mice by inhibiting intestinal inflammation || Cryptotanshinone alleviates chemotherapy-induced colitis in mice with colon cancer via regulating fecal-bacteria-related lipid metabolism || Cryptotanshinone ameliorates dextran sulfate sodium-induced murine acute and chronic ulcerative colitis via suppressing STAT3 activation and Th17 cell differentiation
HBIN030105	Indigo	482-89-3; Indigotin; Indigo Blue; Vat blue 1; Cystoceva; Diindogen; Vulcafix Blue R; Indigo Pure BASF; Indigo Ciba	3	0	0	3	colitis;crohn;inflammatory bowel disease;ulcerative colitis	10215	QQILFGKZUJYXGS-UHFFFAOYSA-N	C1=CC=C2C(=C1)C(=C(N2)C3=NC4=CC=CC=C4C3=O)O	482-89-3	NA	pubchem_and_inchikey	Systematic review with meta‐analysis: efficacy of Indigo Naturalis Preparation for the treatment of inflammatory bowel disease(IBD). || Meta-analysis of efficacy and safety of indigo naturalis in the treatment of ulcerative colitis || Systematic evaluation of the efficacy and safety of indigo naturalis PreParation in the treatment of ulcerative colitis
HBIN030127	Indomethacin	53-86-1; indometacin; Indocin; Indomethacine; Indometacine; Indocid; Reumacide; Indomethazine; Metindol	3	0	0	3	colitis	3715	CGIGDMFJXJATDK-UHFFFAOYSA-N	CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O	NA	NA	pubchem_and_inchikey	Systematic review and network meta-analysis of IV indomethacin versus IV Ibuprofen versus oral Ibuprofen versus oral acetaminophen versus placebo for treatment of symptomatic patent ductus arteriosus in preterm infants || Association between use of indomethacin, ibuprofen and acetaminophen with spontaneous intestinal perforation in preterm infants <37 weeks gestational and birth weight < 2.5 kg: a systematic review and meta-analysis || A systematic literature review of meta-analyses for the treatment of patent ductus arteriosus (PDA) with ibuprofen, paracetamol/acetaminophen, or indomethacin
HBIN030233	Inulin	I0041	3	0	0	3	inflammatory bowel disease	44630352	GJJZLLGOZQMFSQ-ZDNJPGIUSA-N	C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)COC3(C(C(C(O3)CO)O)O)COC4(C(C(C(O4)CO)O)O)COC5(C(C(C(O5)CO)O)O)COC6(C(C(C(O6)CO)O)O)COC7(C(C(C(O7)CO)O)O)COC8(C(C(C(O8)CO)O)O)COC9(C(C(C(O9)CO)O)O)COC1(C(C(C(O1)CO)O)O)COC1(C(C(C(O1)CO)O)O)CO)O)O)O)O	NA	NA	pubchem_and_inchikey	Effect of inulin-type fructans intake on lipid profile and glucose level, a systematic review and meta-analysis of randomized controlled trials || Systematic review and meta-analysis of the effect of inulin-type fructans on glycometabolism index: an update || The prebiotic potential of inulin-type fructans: a systematic review
HBIN038606	Paeoniflorin	23180-57-6; Peoniflorin; Paeonia moutan; NSC 178886; UNII-21AIQ4EV64; 21AIQ4EV64; CCRIS 6494; EINECS 245-476-2; Paeoniflorin (>80%)	3	3	0	0	colitis;enteritis;inflammatory bowel disease	442534	YKRGDOXKVOZESV-WRJNSLSBSA-N	CC12CC3(C4CC1(C4(C(O2)O3)COC(=O)C5=CC=CC=C5)OC6C(C(C(C(O6)CO)O)O)O)O	23180-57-6	NA	pubchem_and_inchikey	Paeoniflorin inhibits MRGPRX2-mediated pseudo-allergic reaction via calcium signaling pathway || Paeoniflorin Inhibits ASK1-TF Axis by Up-Regulating SOCS3 to Alleviate Radiation Enteritis || Paeoniflorin prevents aberrant proliferation and differentiation of intestinal stem cells by controlling C1q release from macrophages in chronic colitis
HBIN042199	Rhein	478-43-3; Monorhein; Rhubarb Yellow; Cassic acid; Rheic acid; 4,5-dihydroxy-9,10-dioxo-9,10-dihydroanthracene-2-carboxylic acid; 4,5-Dihydroxyanthraquinone-2-carboxylic acid; 1,8-Dihydroxy-3-carboxyanthraquinone; Chrysazin-3-carboxylic acid	3	3	0	0	colitis;ulcerative colitis	10168	FCDLCPWAQCPTKC-UHFFFAOYSA-N	C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)C(=O)O	478-43-3	NA	pubchem_and_inchikey	Rhein regulates redox-mediated activation of NLRP3 inflammasomes in intestinal inflammation through macrophage-activated crosstalk || Anti-inflammatory effect of Rhein on ulcerative colitis via inhibiting PI3K/Akt/mTOR signaling pathway and regulating gut microbiota || The effects of rhein on D-GalN/LPS-induced acute liver injury in mice: Results from gut microbiome-metabolomics and host transcriptome analysis
HBIN045672	Taxifolin	480-18-2; (+)-Taxifolin; dihydroquercetin; Distylin; Taxifoliol; 24198-97-8; (2R,3R)-Dihydroquercetin; (+)-Dihydroquercetin; Lavitol	3	3	0	0	colitis;inflammatory bowel disease;ulcerative colitis	439533	CXQWRCVTCMQVQX-LSDHHAIUSA-N	C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O	480-18-2	NA	pubchem_and_inchikey	Dietary Taxifolin Protects Against Dextran Sulfate Sodium-Induced Colitis via NF-κB Signaling, Enhancing Intestinal Barrier and Modulating Gut Microbiota || Dihydroquercetin supplement alleviates colonic inflammation potentially through improved gut microbiota community in mice || Taxifolin Alleviates DSS-Induced Ulcerative Colitis by Acting on Gut Microbiome to Produce Butyric Acid
HBIN045705	Taxol	33069-62-4; P88XT4IS4D; Paclitaxel; Taxol A; Yewtaxan; Genaxol; Plaxicel; Abraxane; Ebetaxel	3	0	0	3	proctitis	36314	RCINICONZNJXQF-MZXODVADSA-N	CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C	33069-62-4	NA	pubchem_and_inchikey	Weekly versus tri-weekly paclitaxel with carboplatin for first-line treatment in women with ovarian cancer [Cochrane Protocol] || Weekly versus tri-weekly paclitaxel with carboplatin for first-line treatment in women with ovarian cancer [Cochrane protocol] || Dose-dense paclitaxel as first-line treatment for advanced epithelial ovarian cancer
HBIN048040	Vitamin b12	cyanocobalamin; 68-19-9; Cyanocob(III)alamin; DTXCID5024346; MFCD00151092; Cobalamin (1+); Cyanocobalamin;Cyanocob(III)alamin; CAS-68-19-9; NCGC00016302-01	3	0	0	3	inflammatory bowel disease	5311498	FDJOLVPMNUYSCM-WZHZPDAFSA-L	CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=C(C7=NC(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=O)N)C(C7(C)CC(=O)N)CCC(=O)N)C)[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3]	NA	DB00115	pubchem_and_inchikey	Vitamin B12 supplementation in women of reproductive age || Vitamin B12 and neural tube defects. || Vitamin B12 interventions and metabolic health outcomes in adults
HBIN048145	Vitamin e	alpha-Tocopherol; 59-02-9; D-alpha-Tocopherol; 5,7,8-Trimethyltocol; (+)-alpha-Tocopherol; 2074-53-5; alpha Tocopherol; Phytogermine; TOCOPHEROL	3	0	1	2	inflammatory bowel disease;proctitis	14985	GVJHHUAWPYXKBD-IEOSBIPESA-N	CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C	1406-18-4	DB00163; DB11251	pubchem_and_inchikey	Thiamin Against Robust IBD Fatigue || Pentoxifylline and vitamin E alone or in combination for preventing and treating side effects of radiation therapy and concomitant chemoradiotherapy [Cochrane Protocol] || Pentoxifylline and vitamin E alone or in combination for preventing and treating side effects of radiation therapy and concomitant chemoradiotherapy [Cochrane protocol]
HBIN048372	Wogonin	632-85-9; 5,7-Dihydroxy-8-methoxyflavone; Vogonin; 4H-1-Benzopyran-4-one, 5,7-dihydroxy-8-methoxy-2-phenyl-; 5,7-dihydroxy-8-methoxy-2-phenyl-4H-chromen-4-one; Norwogonin 8-methyl ether; 5,7-dihydroxy-8-methoxy-2-phenylchromen-4-one; UNII-POK93PO28W; FLAVONE, 5,7-DIHYDROXY-8-METHOXY-	3	3	0	0	colitis;inflammatory bowel disease	5281703	XLTFNNCXVBYBSX-UHFFFAOYSA-N	COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)O	632-85-9	NA	pubchem_and_inchikey	NF-κB and Nrf2 signaling pathways contribute to wogonin-mediated inhibition of inflammation-associated colorectal carcinogenesis || Wogonin Strengthens the Therapeutic Effects of Mesenchymal Stem Cells in DSS-Induced Colitis via Promoting IL-10 Production || Wogonin regulates colonocyte metabolism via PPARγ to inhibit Enterobacteriaceae against dextran sulfate sodium-induced colitis in mice
