ingredient_id	ingredient_name	alias	evidence_count	reference_count	clinical_trial_count	meta_analysis_count	matched_terms	pubchem_id	inchikey	canonical_smiles	cas_id	drugbank_id	identifier_status	top_evidence_titles
HBIN015751	Alpinetin	36052-37-6; (S)-7-Hydroxy-5-methoxy-2-phenylchroman-4-one; (-)-alpinetin; (S)-7-Hydroxy-5-methoxyflavanone; 5-O-Methylpinocembrin; Alpinetin, (S)-; 4H-1-Benzopyran-4-one, 2,3-dihydro-7-hydroxy-5-methoxy-2-phenyl-, (2S)-; (2S)-7-hydroxy-5-methoxy-2-phenyl-2,3-dihydrochromen-4-one; SX3EL59QD8	2	2	0	0	colitis;inflammatory bowel disease	154279	QQQCWVDPMPFUGF-ZDUSSCGKSA-N	COC1=CC(=CC2=C1C(=O)CC(O2)C3=CC=CC=C3)O	36052-37-6	NA	pubchem_and_inchikey	Alpinetin exerts anti-colitis efficacy by activating AhR, regulating miR-302/DNMT-1/CREB signals, and therefore promoting Treg differentiation || Activation of PXR by Alpinetin Contributes to Abrogate Chemically Induced Inflammatory Bowel Disease
HBIN017136	Asperuloside	14259-45-1; rubichloric acid; UNII-V3CFI02X39; CHEBI:2881; V3CFI02X39; EINECS 238-137-5; NSC 31760; MLS002472968; NSC-31760	2	2	0	0	colitis;crohn;inflammatory bowel disease;ulcerative colitis	84298	IBIPGYWNOBGEMH-DILZHRMZSA-N	CC(=O)OCC1=CC2C3C1C(OC=C3C(=O)O2)OC4C(C(C(C(O4)CO)O)O)O	14259-45-1	NA	pubchem_and_inchikey	Asperuloside suppressing oxidative stress and inflammation in DSS-induced chronic colitis and RAW 264.7 macrophages via Nrf2/HO-1 and NF-κB pathways || Asperuloside inhibited epithelial-mesenchymal transition in colitis associated cancer via activation of vitamin D receptor
HBIN018512	Bilobalide	33570-04-6; Bilobalid; (-)-Bilobalide; Bilobalide A; UNII-M81D2O8H7U; CHEBI:3103; M81D2O8H7U; DTXSID10873207; 4H,5aH,9H-Furo(2,3-b)furo(3',2':2,3)cyclopenta(1,2-c)furan-2,4,7(3H,8H)-trione, 9-(1,1-dimethylethyl)-10,10a-dihydro-8,9-dihydroxy-, (5aR-(3aS*,5aalpha,8beta,8aS*,9alpha,10aalpha))-	2	2	0	0	colitis;inflammatory bowel disease;ulcerative colitis	73581	MOLPUWBMSBJXER-YDGSQGCISA-N	CC(C)(C)C1(CC2C3(C14C(C(=O)OC4OC3=O)O)CC(=O)O2)O	33570-04-6	NA	pubchem_and_inchikey	Bilobalide Alleviated Dextran Sulfate Sodium-Induced Experimental Colitis by Inhibiting M1 Macrophage Polarization Through the NF-κB Signaling Pathway || The alleviating effect and mechanism of Bilobalide on ulcerative colitis
HBIN018800	Brahmic acid	Madecassic acid; 18449-41-7; 6beta-hydroxyasiatic acid; UNII-M7O1N24J82; ORISTRACT MDA; CHEBI:73058; M7O1N24J82; NSC 88135; CHEMBL481854	2	2	0	0	colitis;ulcerative colitis	73412	PRAUVHZJPXOEIF-AOLYGAPISA-N	CC1CCC2(CCC3(C(=CCC4C3(CC(C5C4(CC(C(C5(C)CO)O)O)C)O)C)C2C1C)C)C(=O)O	18449-41-7	NA	pubchem_and_inchikey	Madecassic acid, the contributor to the anti-colitis effect of madecassoside, enhances the shift of Th17 toward Treg cells via the PPARγ/AMPK/ACC1 pathway || Inhibition of the activation of γδT17 cells through PPARγ-PTEN/Akt/GSK3β/NFAT pathway contributes to the anti-colitis effect of madecassic acid
HBIN019690	Capsaicin	404-86-4; (E)-Capsaicin; Zostrix; CAPSAICINE; Qutenza; Styptysat; Axsain; trans-Capsaicin; Isodecenoic acid vanillylamide	2	2	0	0	colitis;ulcerative colitis	1548943	YKPUWZUDDOIDPM-SOFGYWHQSA-N	CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC	404-86-4	NA	pubchem_and_inchikey	Lycium barbarum Polysaccharides and Capsaicin Inhibit Oxidative Stress, Inflammatory Responses, and Pain Signaling in Rats with Dextran Sulfate Sodium-Induced Colitis || Beneficial effect of capsaicin via TRPV4/EDH signals on mesenteric arterioles of normal and colitis mice
HBIN020921	Cis-resveratrol	(Z)-resveratrol; 61434-67-1; Cis resveratrol; Resveratrol, (Z)-; 5-[(Z)-2-(4-hydroxyphenyl)vinyl]benzene-1,3-diol; 5-[(Z)-2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol; cis-3,4',5-trihydroxystilbene; (Z)-3,5,4'-trihydroxystilbene; Resveratrol (Z)-form [MI]	2	1	1	0	colitis;inflammatory bowel disease;ulcerative colitis	1548910	LUKBXSAWLPMMSZ-UPHRSURJSA-N	C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O	501-36-0	NA	pubchem_and_inchikey	Investigation of the Effects of Curcumin and Resveratrol Supplements Added to the Mediterranean Diet on Disease Severity and Inflammatory Biomarkers in Patients With Ulcerative Colitis || Role of resveratrol-induced CD11b(+) Gr-1(+) myeloid derived suppressor cells (MDSCs) in the reduction of CXCR3(+) T cells and amelioration of chronic colitis in IL-10(-/-) mice
HBIN023000	Dehydrocostus lactone	477-43-0; dehydrocostuslactone; Epiligulyl oxide; (-)-dehydrocostus lactone; 71TRF5K040; (-)-dehydrocostuslactone; COSTUS LACTONE, DEHYDRO-; CHEBI:244418; Azuleno[4,5-b]furan-2(3H)-one,decahydro-3,6,9-tris(methylene)-	2	2	0	0	colitis	73174	NETSQGRTUNRXEO-XUXIUFHCSA-N	C=C1CCC2C(C3C1CCC3=C)OC(=O)C2=C	477-43-0	NA	pubchem_and_inchikey	Dehydrocostus Lactone Attenuates Methicillin-Resistant Staphylococcus aureus-Induced Inflammation and Acute Lung Injury via Modulating Macrophage Polarization || Dehydrocostus Lactone Suppresses Dextran Sulfate Sodium-Induced Colitis by Targeting the IKKα/β-NF-κB and Keap1-Nrf2 Signalling Pathways
HBIN025006	Ellagic acid	476-66-4; Benzoaric acid; Lagistase; Eleagic acid; Elagostasine; Alizarine Yellow; 2,3,7,8-Tetrahydroxychromeno[5,4,3-cde]chromene-5,10-dione; Gallogen; Llagic acid	2	2	0	0	colitis;inflammatory bowel disease	5281855	AFSDNFLWKVMVRB-UHFFFAOYSA-N	C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O	476-66-4	NA	pubchem_and_inchikey	Ellagic acid protects Caco-2 cell monolayers against inflammation-induced permeabilization || Dietary supplementation of an ellagic acid-enriched pomegranate extract attenuates chronic colonic inflammation in rats
HBIN027450	Geniposide	24512-63-8; Jasminoidin; UNII-145295QLXY; CHEBI:5299; 169799-41-1; 145295QLXY; Cyclopenta[c]pyran-4-carboxylic acid, 1-(beta-D-glucopyranosyloxy)-1,4a,5,7a-tetrahydro-7-(hydroxymethyl)-, methyl ester, (1S,4aS,7aS)-; methyl (1S,4aS,7aS)-7-(hydroxymethyl)-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylate; methyl (1S,4aS,7aR)-7-(hydroxymethyl)-1-(((2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)oxy)-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylate	2	2	0	0	colitis;ulcerative colitis	107848	IBFYXTRXDNAPMM-BVTMAQQCSA-N	COC(=O)C1=COC(C2C1CC=C2CO)OC3C(C(C(C(O3)CO)O)O)O	24512-63-8	NA	pubchem_and_inchikey	Combined Administration of Vitamin D3 and Geniposide Is Less Effective than Single Use of Vitamin D3 or Geniposide in the Treatment of Ulcerative Colitis || Geniposide promotes splenic Treg differentiation to alleviate colonic inflammation and intestinal barrier injury in ulcerative colitis mice
HBIN029056	Heparin	NA	2	0	0	2	colitis	25244225	OHJKXVLJWUPWQG-IUYNYSEKSA-J	C(C1C(C(C(C(O1)O)NS(=O)(=O)[O-])O)OC2C(C(C(C(O2)C(=O)[O-])O)O)OS(=O)(=O)[O-])OS(=O)(=O)[O-]	NA	NA	pubchem_and_inchikey	Heparin for the prevention of intraventricular hemorrhage in very preterm infants [Cochrane Protocol] || Heparin for the treatment of thrombosis in preterm and term neonates [Cochrane Protocol]
HBIN029531	Honokiol	35354-74-6; 5,3'-Diallyl-2,4'-dihydroxybiphenyl; NSC 293100; 3,5'-Diallyl-4,2'-dihydroxybiphenyl; 3',5-Diallylbiphenyl-2,4'-diol; C18H18O2; 2-(4-hydroxy-3-prop-2-enylphenyl)-4-prop-2-enylphenol; MFCD00016674; CPD000387107	2	2	0	0	colitis;inflammatory bowel disease;ulcerative colitis	72303	FVYXIJYOAGAUQK-UHFFFAOYSA-N	C=CCC1=CC(=C(C=C1)O)C2=CC(=C(C=C2)O)CC=C	35354-74-6	NA	pubchem_and_inchikey	Honokiol alleviates ulcerative colitis by targeting PPAR-γ-TLR4-NF-κB signaling and suppressing gasdermin-D-mediated pyroptosis in vivo and in vitro || Honokiol Ameliorates DSS-Induced Mouse Colitis by Inhibiting Inflammation and Oxidative Stress and Improving the Intestinal Barrier
HBIN030442	Isoarnebin 4	shikonin; 517-89-5; (R)-5,8-Dihydroxy-2-(1-hydroxy-4-methylpent-3-en-1-yl)naphthalene-1,4-dione; Tokyo Violet; (R)-(+)-Shikonin; Shikonin S; (+)-Shikonin; UNII-3IK6592UBW; Shikonine	2	2	0	0	colitis;inflammatory bowel disease;ulcerative colitis	479503	NEZONWMXZKDMKF-SNVBAGLBSA-N	CC(=CCC(C1=CC(=O)C2=C(C=CC(=C2C1=O)O)O)O)C	517-88-4; 517-89-5	NA	pubchem_and_inchikey	Natural shikonin and acetyl-shikonin improve intestinal microbial and protein composition to alleviate colitis-associated colorectal cancer || Shikonin ameliorated mice colitis by inhibiting dimerization and tetramerization of PKM2 in macrophages
HBIN032674	L(+ )-arginine	L-arginine; arginine; 74-79-3; L-(+)-Arginine; (S)-2-Amino-5-guanidinopentanoic acid; L-Arg; H-Arg-OH; L(+)-Arginine; (L)-Arginine; Arginina	2	0	0	2	colitis	6322	ODKSFYDXXFIFQN-BYPYZUCNSA-N	C(CC(C(=O)O)N)CN=C(N)N	NA	NA	pubchem_and_inchikey	L-arginine and L-citrulline for the prevention and treatment of pre-eclampsia: a systematic review and meta-analysis of individual patient data || Effects of arginine supplementation on post-operative parenteral nutrition dependent days in neonates
HBIN032689	L-ascorbic acid	ascorbic acid; vitamin C; 50-81-7; L-ascorbate; Ascoltin; ascorbate; Ascorbicap; Cevitamic acid; L(+)-Ascorbic acid	2	0	2	0	colitis;enteritis;ulcerative colitis	54670067	CIWBSHSKHKDKBQ-JLAZNSOCSA-N	C(C(C1C(=C(C(=O)O1)O)O)O)O	NA	NA	pubchem_and_inchikey	Echinacea, Propolis and Vitamin C for URI Prevention in Preschoolers || Comparison of 4L Polyethylene Glycol and 2L Polyethylene Glycol With Ascorbic Acid in Inactive UC Patients
HBIN032819	Ldp	dopamine; 4-(2-Aminoethyl)benzene-1,2-diol; 51-61-6; 3-Hydroxytyramine; Oxytyramine; Hydroxytyramin; Dopamin; 3,4-dihydroxyphenethylamine; hydroxytyramine; intropin	2	0	1	1	colitis;ulcerative colitis	681	VYFYYTLLBUKUHU-UHFFFAOYSA-N	C1=CC(=C(C=C1CCN)O)O	50444-17-2	NA	pubchem_and_inchikey	Effect and Mechanism of Dopamine on Ulcerative Colitis || Treatment of preterm neonates with probable transitional circulatory shock: A systematic review, network meta-analysis and clinical practice guidelines.
HBIN034212	Magnesium sulfate	7487-88-9; Magnesium sulphate; Magnesium sulfate anhydrous; MgSO4; Magnesium sulfate (1:1); Magnesiumsulfat; Sal Angalis; Sal De sedlitz; Tomix OT	2	0	0	2	colitis	24083	CSNNHWWHGAXBCP-UHFFFAOYSA-L	[O-]S(=O)(=O)[O-].[Mg+2]	NA	NA	pubchem_and_inchikey	Antenatal magnesium sulfate and gastrointestinal complications in preterm infants – A systematic review and meta-analysis || Perinatal and maternal effects of different magnesium sulfate protocols as fetal neuroprotection in preterm delivery. A systematic review.
HBIN034558	Matrine	519-02-8; (+)-Matrine; Matridin-15-one; Vegard; alpha-Matrine; Matrene, (+)-; (7aS,13aR,13bR,13cS)-Dodecahydro-1H,5H,10H-dipyrido[2,1-f:3',2',1'-ij][1,6]naphthyridin-10-one; NSC 146051; UNII-N390W430AC	2	2	0	0	colitis;inflammatory bowel disease;ulcerative colitis	91466	ZSBXGIUJOOQZMP-JLNYLFASSA-N	C1CC2C3CCCN4C3C(CCC4)CN2C(=O)C1	519-02-8	NA	pubchem_and_inchikey	Synergistic protection of astragalus polysaccharides and matrine against ulcerative colitis and associated lung injury in rats || Matrine protects colon mucosal epithelial cells against inflammation and apoptosis via the Janus kinase 2 /signal transducer and activator of transcription 3 pathway
HBIN040403	Polydatin	Piceid; 27208-80-6; 65914-17-2; Trans-Piceid; 3,4,5-Trihydroxystilbene-3-beta-monoglucoside; 3,4,5-Tsg; Resveratrol 3-beta-mono-D-glucoside; Resveratrol 3-O-beta-glucopyranoside; (2S,3R,4S,5S,6R)-2-(3-Hydroxy-5-(4-hydroxystyryl)phenoxy)-6-(hydroxymethyl)tetrahydro-2H-pyran-3,4,5-triol; resveratrol 3-O-beta-D-glucoside	2	2	0	0	colitis;inflammatory bowel disease;ulcerative colitis	5281718	HSTZMXCBWJGKHG-CUYWLFDKSA-N	C1=CC(=CC=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O	65914-17-2	NA	pubchem_and_inchikey	PEA/Polydatin: Anti-Inflammatory and Antioxidant Approach to Counteract DNBS-Induced Colitis || Polydatin alleviates DSS- and TNBS-induced colitis by suppressing Th17 cell differentiation via directly inhibiting STAT3
HBIN041217	Pterostilbene	537-42-8; trans-pterostilbene; 4-(3,5-Dimethoxystyryl)phenol; (E)-4-(3,5-dimethoxystyryl)phenol; 4-[(E)-2-(3,5-dimethoxyphenyl)ethenyl]phenol; 18259-15-9; 3',5'-Dimethoxy-4-stilbenol; pterostilbene, (E)-; 4-[(E)-2-(3,5-dimethoxyphenyl)vinyl]phenol	2	2	0	0	colitis;inflammatory bowel disease	5281727	VLEUZFDZJKSGMX-ONEGZZNKSA-N	COC1=CC(=CC(=C1)C=CC2=CC=C(C=C2)O)OC	537-42-8	NA	pubchem_and_inchikey	Altered paracellular permeability in intestinal cell monolayer challenged with lipopolysaccharide: Modulatory effects of pterostilbene metabolites || Self-assembled micelle derived from pterostilbene ameliorate acute inflammatory bowel disease
HBIN041495	Quercetin	117-39-5; Sophoretin; Meletin; Quercetine; Xanthaurine; Quercetol; Quertine; Quercitin; 2-(3,4-Dihydroxyphenyl)-3,5,7-trihydroxy-4H-chromen-4-one	2	2	0	0	colitis;inflammatory bowel disease;ulcerative colitis	5280343	REFJWTPEDVJJIY-UHFFFAOYSA-N	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O	117-39-5	NA	pubchem_and_inchikey	Quercetin Administration Suppresses the Cytokine Storm in Myeloid and Plasmacytoid Dendritic Cells || Chlorogenic Acid and Quercetin in a Diet with Fermentable Fiber Influence Multiple Processes Involved in DSS-Induced Ulcerative Colitis but Do Not Reduce Injury
HBIN042438	Rosmarinic acid	20283-92-5; Rosemary acid; Labiatenic acid; Rosmarinicacid; Labiatic acid; (R)-rosmarinic acid; trans-Rosmarinic acid; Rosemaric acid; Rosmarinate	2	2	0	0	colitis	5281792	DOUMFZQKYFQNTF-WUTVXBCWSA-N	C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O	20283-92-5	NA	pubchem_and_inchikey	p-Cymene and Rosmarinic Acid Ameliorate TNBS-Induced Intestinal Inflammation Upkeeping ZO-1 and MUC-2: Role of Antioxidant System and Immunomodulation || Rosmarinic acid represses colitis-associated colon cancer: A pivotal involvement of the TLR4-mediated NF-κB-STAT3 axis
HBIN042735	Saccharose	sucrose; 57-50-1; sugar; Table sugar; Cane sugar; White sugar; D-Sucrose; Rohrzucker; Saccharum	2	0	1	1	enteritis;inflammatory bowel disease	5988	CZMRCDWAGMRECN-UGDNZRGBSA-N	C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O	NA	NA	pubchem_and_inchikey	Sucrose at Triage for Acute Gastroenteritis Episode in Children || Efficacy and safety of intravenous iron sucrose for children with iron deficiency
HBIN043546	Se	7782-49-2; Selenium; Elemental selenium; SELENIUM ATOM; Selenium, elemental; Selenium hydride; Selenium elemental; Gray selenium; Selenium, metallic	2	0	0	2	colitis;inflammatory bowel disease	6326970	BUGBHKTXTAQXES-UHFFFAOYSA-N	[Se]	NA	NA	pubchem_and_inchikey	A CompaRative Meta-Analysis of Treating Autoimmune Thyroiditis Using Vitamin D, Selenium or Both || Selenium for the prevention of preterm birth: a systematic review
HBIN044493	Spermidine	124-20-9; 1,5,10-Triazadecane; 4-Azaoctamethylenediamine; Spermidin; N1-(3-Aminopropyl)butane-1,4-diamine; 4-Azaoctane-1,8-diamine; N-(3-aminopropyl)butane-1,4-diamine; N'-(3-aminopropyl)butane-1,4-diamine; 1,4-Butanediamine, N-(3-aminopropyl)-	2	2	0	0	crohn;inflammatory bowel disease	1102	ATHGHQPFGPMSJY-UHFFFAOYSA-N	C(CCNCCCN)CN	NA	NA	pubchem_and_inchikey	Presence of PTPN2 SNP rs1893217 Enhances the Anti-inflammatory Effect of Spermidine || Modulation of PTPN2/22 Function by Spermidine in CRISPR-Cas9-Edited T-Cells Associated with Crohn's Disease and Rheumatoid Arthritis
HBIN047572	Urc	uric acid; 69-93-2; urate; Lithic acid; 2,6,8-trioxypurine; 2,6,8-trihydroxypurine; 8-hydroxyxanthine; 7,9-Dihydro-1H-purine-2,6,8(3H)-trione; 2,6,8-Trioxopurine; 1H-Purine-2,6,8(3H)-trione, 7,9-dihydro-	2	0	0	2	colitis;crohn;inflammatory bowel disease;ulcerative colitis	1175	LEHOTFFKMJEONL-UHFFFAOYSA-N	C12=C(NC(=O)N1)NC(=O)NC2=O	13154-20-6	DB08844	pubchem_and_inchikey	Uric Acid is Associated with The Severity in IBD: A Meta-Analysis || Association between blood/oral uric acid and periodontitis: A systematic review and meta‐analysis
HBIN047610	Ursodeoxycholic acid	ursodiol; 128-13-2; Actigall; ursodeoxycholate; UDCA; Ursofalk; Ursolvan; Ursodesoxycholic acid; UrSO	2	0	0	2	enteritis;inflammatory bowel disease	31401	RUDATBOHQWOJDD-UZVSRGJWSA-N	CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C	NA	NA	pubchem_and_inchikey	Role of Ursodeoxycholic acid in prevention of gallstones formation in bariatric patients || The role of Ursodeoxycholic acid in the management of upper gastrointestinal disorders: A Systematic review.
HBIN047654	Uvadex	methoxsalen; 8-Methoxypsoralen; 298-81-7; XANTHOTOXIN; Meladinine; Oxypsoralen; 8-MOP; 9-Methoxy-7H-furo[3,2-g]chromen-7-one; Oxsoralen; Xanthotoxine	2	0	2	0	crohn	4114	QXKHYNVANLEOEG-UHFFFAOYSA-N	COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2	12692-94-3; 298-81-7	DB00553	pubchem_and_inchikey	Extracorporeal Photopheresis to Maintain Symptoms Remission During Steroid Withdrawal in Patients With Steroid-Dependent Crohn's Disease || Safety and Efficacy of Extracorporeal Photoimmune Therapy With UVADEX for the Treatment of Crohn's Disease
HBIN047763	Vasopressin	8-L-Lysine vasopressin; Pressyn; 3-(Phenylalanine)-8-lysine oxytocin; BDBM627975; CVD-0019448; Q60496436; 6-amino-2-{[(2S)-1-{[(4R,7S,10S,13S,16S,19R)-19-amino-13-benzyl-10-(2-carbamoylethyl)-7-(carbamoylmethyl)-16-[(4-hydroxyphenyl)methyl]-6,9,12,15,18-pentaoxo-1,2-dithia-5,8,11,14,17-pentaazacycloicosan-4-yl]carbonyl}pyrrolidin-2-yl]formamido}-N-(carbamoylmethyl)hexanamide	2	0	0	2	colitis	53477739	BJFIDCADFRDPIO-ZCCHBGLBSA-N	C1CC(N(C1)C(=O)C2CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)N)C(=O)NC(CCCCN)C(=O)NCC(=O)N	NA	DB00067	pubchem_and_inchikey	Efficacy and Safety of Vasopressin and Terlipressin in Preterm Neonates: A Protocol for a Systematic Review  || Treatment of preterm neonates with probable transitional circulatory shock: A systematic review, network meta-analysis and clinical practice guidelines.
HBIN048044	Vitamin b5	pantothenic acid; D-pantothenic acid; 79-83-4; pantothenate; Chick antidermatitis factor; (R)-pantothenate; (+)-Pantothenic acid; (D)-(+)-Pantothenic acid; PANTOTHENOIC ACID	2	1	1	0	colitis;inflammatory bowel disease	6613	GHOKWGTUZJEAQD-ZETCQYMHSA-N	CC(C)(CO)C(C(=O)NCCC(=O)O)O	NA	DB01783	pubchem_and_inchikey	Clinical Study of Vitamin B5 in Adjuvant Treatment of IBD || Vitamin B5 rewires Th17 cell metabolism via impeding PKM2 nuclear translocation
HBIN048047	Vitamin c	l-ascorbic acid; ascorbic acid; 50-81-7; L-ascorbate; Ascoltin; ascorbate; Ascorbicap; Cevitamic acid; L(+)-Ascorbic acid	2	0	0	2	colitis;crohn;inflammatory bowel disease;ulcerative colitis	54670067	CIWBSHSKHKDKBQ-JLAZNSOCSA-N	C(C(C1C(=C(C(=O)O1)O)O)O)O	50-81-7	DB00126	pubchem_and_inchikey	Common genetic polymorphism in Vitamin C related genes and their effects on ascorbic acid serum levels in healthy adults. || Effect of vitamin C on inflammatory markers in chronic inflammatory diseases: a systematic review and meta-analysis
HBIN048442	Xanthohumol	6754-58-1; 569-83-5; Xantho-flav; 1-(2,4-Dihydroxy-6-methoxy-3-(3-methylbut-2-en-1-yl)phenyl)-3-(4-hydroxyphenyl)prop-2-en-1-one; UNII-T4467YT1NT; (E/Z)-Xanthohumol; T4467YT1NT; (E)-1-[2,4-dihydroxy-6-methoxy-3-(3-methylbut-2-enyl)phenyl]-3-(4-hydroxyphenyl)prop-2-en-1-one; CHEBI:66331	2	1	1	0	crohn;inflammatory bowel disease	639665	ORXQGKIUCDPEAJ-YRNVUSSQSA-N	CC(=CCC1=C(C(=C(C=C1O)OC)C(=O)C=CC2=CC=C(C=C2)O)O)C	569-83-5	DB15359	pubchem_and_inchikey	A Phase 2 Clinical Trial: Xanthohumol Metabolism and Signature (XMaS) in Crohn's Disease || Xanthohumol Interferes with the Activation of TGF-β Signaling in the Process Leading to Intestinal Fibrosis
HBIN037286	(-)-noradrenaline	norepinephrine; noradrenaline; L-Noradrenaline; 51-41-2; Levarterenol; Arterenol; (R)-Noradrenaline; (-)-Norepinephrine; L-Norepinephrine; Levophed	1	0	0	1	colitis	439260	SFLSHLFXELFNJZ-QMMMGPOBSA-N	C1=CC(=C(C=C1C(CN)O)O)O	51-41-2	NA	pubchem_and_inchikey	Treatment of preterm neonates with probable transitional circulatory shock: A systematic review, network meta-analysis and clinical practice guidelines.
HBIN003500	20-(s)-ginsenoside-rg3	Ginsenoside Rg3; 14197-60-5; 20(S)-Ginsenoside Rg3; (20S)-ginsenoside Rg3; (20S)-Propanaxadiol; 20S-propanaxadiol; 20s-ginsenoside rg3; 20(S)-Propanaxidiol; ginsenoside rg3, (s)-; ginsenoside rg3, (+)-	1	1	0	0	proctitis	9918693	RWXIFXNRCLMQCD-JBVRGBGGSA-N	CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C)O)C	14197-60-5	NA	pubchem_and_inchikey	Ginsenoside Rg3 treats acute radiation proctitis through the TLR4/MyD88/NF-κB pathway and regulation of intestinal flora
HBIN007410	3,4-dihydroxyphenethyl alcohol	Hydroxytyrosol; 10597-60-1; 3,4-Dihydroxyphenylethanol; 4-(2-hydroxyethyl)benzene-1,2-diol; 2-(3,4-Dihydroxyphenyl)ethanol; dopet; 3-Hydroxytyrosol; 1,2-Benzenediol, 4-(2-hydroxyethyl)-; 3,4-Dihydroxyphenethylalcohol	1	1	0	0	inflammatory bowel disease	82755	JUUBCHWRXWPFFH-UHFFFAOYSA-N	C1=CC(=C(C=C1CCO)O)O	NA	NA	pubchem_and_inchikey	3,4-Dihydroxyphenylethanol (DPE or Hydroxytyrosol) Counteracts ERK1/2 and mTOR Activation, Pro-Inflammatory Cytokine Release, Autophagy and Mitophagy Reduction Mediated by Benzo[a]pyrene in Primary Human Colonic Epithelial Cells
HBIN014230	Abk	21293-29-8; ABSCISIC ACID; (+)-Abscisic acid; (+)-cis,trans-Abscisic Acid; (S)-(+)-Abscisic acid; Abscisin II; (2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid; Dormin; ABA; 2-cis,4-trans-Abscisic acid	1	1	0	0	colitis	5280896	JLIDBLDQVAYHNE-YKALOCIXSA-N	CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C	21293-29-8	NA	pubchem_and_inchikey	Abscisic acid suppresses the activation of NLRP3 inflammasome and oxidative stress in murine allergic airway inflammation
HBIN014467	Acetylcholine	Choline acetate; O-Acetylcholine; 51-84-3; (2-Acetoxyethyl)trimethylammonium; Acetyl choline ion; Acetylcholinum; Choline acetate (ester); Acetyl choline cation; 2-(Acetyloxy)-N,N,N-trimethylethanaminium	1	0	0	1	colitis	187	OIPILFWXSMYKGL-UHFFFAOYSA-N	CC(=O)OCC[N+](C)(C)C	51-84-3	NA	pubchem_and_inchikey	Role of alpha7 nicotinic acetylcholine receptor subunit on modulation of energy homeostasis in peripheral tissues: a systematic review
HBIN014742	Adrenaline	epinephrine; l-Adrenaline; 51-43-4; L-epinephrine; Adrenalin; Levoepinephrine; Nephridine; Adnephrine; Chelafrin	1	0	0	1	colitis	5816	UCTWMZQNUQWSLP-VIFPVBQESA-N	CNCC(C1=CC(=C(C=C1)O)O)O	NA	NA	pubchem_and_inchikey	Timing, route and dose of epinephrine (adrenaline)
