disease_id	disease_name	matched_terms	match_score	mesh_id	do_id	icd10_id	alias
HBDIS012669	Granulomatous Ileocolitis	colitis	3.0	NA	NA	NA	NA
HBDIS012724	Infectious Enterocolitis	colitis	3.0	NA	NA	NA	NA
HBDIS012813	Pseudomembranous Colitis	colitis	3.0	D004761	60185	NA	Colitis, Pseudomembranous; Clostridium Difficile Colitis
HBDIS012840	Acute Ulcerative Colitis	colitis;ulcerative colitis	6.0	NA	NA	NA	NA
HBDIS012892	Eosinophilic Gastroenteritis	enteritis	3.0	C535952	7033; 4031	NA	Eosinophilic Gastritis; Eosinophilic Gastroenteritis; Anisakiasis
HBDIS013340	Acute And Chronic Colitis	colitis	3.0	NA	NA	NA	NA
HBDIS013347	Gastrointestinal Crohn'S Disease	crohn	3.0	NA	NA	NA	NA
HBDIS013453	Nonbacterial Gastroenteritis	enteritis	3.0	NA	NA	NA	NA
HBDIS013505	Non-Specific Colitis	colitis	3.0	NA	NA	NA	NA
HBDIS014220	Neonatal Necrotizing Enterocolitis	colitis	3.0	NA	60185	NA	Clostridium Difficile Colitis
HBDIS015053	Inflammatory Bowel Disease 2	inflammatory bowel disease	3.0	C563310	110900	NA	Inflammatory Bowel Disease 2
HBDIS016954	Inflammatory Bowel Disease 5	inflammatory bowel disease	3.0	C565234	110889	NA	Inflammatory Bowel Disease 5
HBDIS018657	Lupus Enteritis	enteritis	3.0	NA	NA	NA	NA
HBDIS018955	Acute Colitis	colitis	3.0	NA	NA	NA	Acute Colitis
HBDIS019026	Chronic Enterocolitis	colitis	3.0	NA	NA	NA	NA
HBDIS019349	Crohn Disease-Associated Growth Failure, Susceptibility To (Finding)	crohn;inflammatory bowel disease	6.0	NA	110892	NA	Inflammatory Bowel Disease 1
HBDIS019381	Inflammatory Bowel Disease 25, Autosomal Recessive	inflammatory bowel disease	3.0	C567251	110909	NA	Inflammatory Bowel Disease 25, Autosomal Recessive; Inflammatory Bowel Disease 25
HBDIS019448	Inflammatory Bowel Disease 21	inflammatory bowel disease	3.0	C567338	110906	NA	Inflammatory Bowel Disease 21
HBDIS019472	Inflammatory Bowel Disease 19	crohn;inflammatory bowel disease	6.0	C567372	110890	NA	Inflammatory Bowel Disease 19; Inflammatory Bowel Disease (Crohn Disease) 19
HBDIS019476	Inflammatory Bowel Disease 16	inflammatory bowel disease	3.0	C567380	110896	NA	Inflammatory Bowel Disease 16
HBDIS019480	Inflammatory Bowel Disease 14	inflammatory bowel disease	3.0	C567383	110895	NA	Inflammatory Bowel Disease 14
HBDIS019481	Inflammatory Bowel Disease 13	inflammatory bowel disease	3.0	C567384	110893	NA	Inflammatory Bowel Disease 13
HBDIS019482	Inflammatory Bowel Disease 12	inflammatory bowel disease	3.0	C567388	110887	NA	Inflammatory Bowel Disease 12
HBDIS019652	Enteritis Due To Norovirus	enteritis	3.0	NA	NA	NA	NA
HBDIS019906	Inflammatory Bowel Disease 28, Autosomal Recessive	inflammatory bowel disease	3.0	C567728	110899	NA	Inflammatory Bowel Disease 28, Autosomal Recessive; Inflammatory Bowel Disease 28
HBDIS020082	Echovirus Enteritis	enteritis	3.0	NA	NA	NA	NA
HBDIS020092	Left Sided Colitis	colitis	3.0	NA	NA	NA	NA
HBDIS020124	Left Sided Ulcerative Colitis	colitis;ulcerative colitis	6.0	NA	NA	NA	NA
HBDIS020129	Chronic Ulcerative Colitis	colitis;ulcerative colitis	6.0	NA	8577	NA	Ulcerative Colitis
HBDIS020232	Pediatric Crohn'S Disease	crohn	3.0	C536215	NA	NA	Pediatric Crohn'S Disease
HBDIS020238	Pediatric Ulcerative Colitis	colitis;ulcerative colitis	6.0	C536315	NA	NA	Pediatric Ulcerative Colitis
HBDIS020456	Chronic Ulcerative Proctitis	proctitis	3.0	NA	NA	K51.2	Ulcerative (Chronic) Proctitis
HBDIS020964	Acute Enterocolitis	colitis	3.0	NA	NA	NA	NA
HBDIS021051	Ulcerative Colitis-Associated Colorectal Adenocarcinoma	colitis;ulcerative colitis	6.0	NA	NA	NA	NA
HBDIS022025	Ulcerative Colitis In Remission	colitis;ulcerative colitis	6.0	NA	NA	NA	NA
HBDIS022289	Recurrent Gastroenteritis	enteritis	3.0	NA	NA	NA	Recurrent Gastroenteritis
HBDIS022512	Gastroenteritis In Children	enteritis	3.0	NA	NA	NA	NA
HBDIS022612	Ulcerative Colitis Or Crohn'S	colitis;crohn;ulcerative colitis	9.0	NA	NA	NA	NA
HBDIS022674	Epidemic Gastroenteritis	enteritis	3.0	NA	NA	NA	NA
HBDIS022818	Autoimmune Colitis	colitis	3.0	NA	NA	NA	NA
HBDIS022830	Fistulising Crohn'S Disease	crohn	3.0	NA	NA	NA	NA
HBDIS023083	Autoinflammation With Infantile Enterocolitis	colitis	3.0	NA	NA	NA	Autoinflammation With Infantile Enterocolitis
HBDIS023221	Inflammatory Bowel Disease 28	inflammatory bowel disease	3.0	NA	NA	NA	NA
HBDIS025533	Necrotizing Enterocolitis In Fetus Or Newborn	colitis	3.0	NA	60185	P77	Clostridium Difficile Colitis; Necrotizing Enterocolitis of Fetus And Newborn
HBDIS025872	Food-Protein Induced Enterocolitis Syndrome	colitis	3.0	NA	NA	NA	NA
HBDIS026130	Cryptogenic Multifocal Ulcerous Stenosing Enteritis	enteritis	3.0	NA	NA	NA	NA
HBDIS027951	Ulcerative Colitis-Associated Low-Grade Dysplasia	colitis;ulcerative colitis	6.0	NA	NA	NA	NA
HBDIS028091	Inflammatory Bowel Disease, Immunodeficiency, And Encephalopathy	inflammatory bowel disease	3.0	NA	NA	NA	Inflammatory Bowel Disease, Immunodeficiency, And Encephalopathy
HBDIS028249	Proctocolitis	colitis;ulcerative colitis	6.0	D011350	8577	NA	Ulcerative Colitis; Proctocolitis
HBDIS028493	Neutropenic Colitis	colitis	3.0	NA	NA	NA	NA
HBDIS028965	Inflammatory Bowel Disease 3	inflammatory bowel disease	3.0	C565764	110891	NA	Inflammatory Bowel Disease 3
HBDIS029075	Inflammatory Bowel Disease 10	crohn;inflammatory bowel disease	6.0	C567021	110885	NA	Inflammatory Bowel Disease (Crohn Disease) 10; Inflammatory Bowel Disease 10
HBDIS029140	Inflammatory Bowel Disease 17	inflammatory bowel disease	3.0	C567378	110883	NA	Inflammatory Bowel Disease 17
HBDIS030119	Inflammatory Bowel Disease 29	inflammatory bowel disease	3.0	NA	NA	NA	Inflammatory Bowel Disease 29
