accession	gsm	group	celltype	fraction_proxy	nnls_residual	n_common_marker_genes
GSE75214	GSM1426079	control	T	0.284015	0.970924	42
GSE75214	GSM1426079	control	B	0.267172	0.970924	42
GSE75214	GSM1426079	control	NK	0.321263	0.970924	42
GSE75214	GSM1426079	control	M/DC	0.12755	0.970924	42
GSE75214	GSM1426080	control	T	0.266456	1.15821	42
GSE75214	GSM1426080	control	B	0.343434	1.15821	42
GSE75214	GSM1426080	control	NK	0.218146	1.15821	42
GSE75214	GSM1426080	control	M/DC	0.171965	1.15821	42
GSE75214	GSM1426081	control	T	0.104792	1.20804	42
GSE75214	GSM1426081	control	B	0.227218	1.20804	42
GSE75214	GSM1426081	control	NK	0.66799	1.20804	42
GSE75214	GSM1426081	control	M/DC	0	1.20804	42
GSE75214	GSM1426082	control	T	0.247454	1.29198	42
GSE75214	GSM1426082	control	B	0.153042	1.29198	42
GSE75214	GSM1426082	control	NK	0.599504	1.29198	42
GSE75214	GSM1426082	control	M/DC	0	1.29198	42
GSE75214	GSM1426083	control	T	0.336987	1.02891	42
GSE75214	GSM1426083	control	B	0.174755	1.02891	42
GSE75214	GSM1426083	control	NK	0.434394	1.02891	42
GSE75214	GSM1426083	control	M/DC	0.0538644	1.02891	42
GSE75214	GSM1426084	control	T	0.41668	1.03655	42
GSE75214	GSM1426084	control	B	0.103721	1.03655	42
GSE75214	GSM1426084	control	NK	0.453649	1.03655	42
GSE75214	GSM1426084	control	M/DC	0.0259503	1.03655	42
GSE75214	GSM1426085	control	T	0.276743	1.1447	42
GSE75214	GSM1426085	control	B	0.201704	1.1447	42
GSE75214	GSM1426085	control	NK	0.133077	1.1447	42
GSE75214	GSM1426085	control	M/DC	0.388475	1.1447	42
GSE75214	GSM1426086	control	T	0.375744	1.25865	42
GSE75214	GSM1426086	control	B	0.114809	1.25865	42
GSE75214	GSM1426086	control	NK	0.154581	1.25865	42
GSE75214	GSM1426086	control	M/DC	0.354866	1.25865	42
GSE75214	GSM1426087	control	T	0.3031	1.64066	42
GSE75214	GSM1426087	control	B	0.251184	1.64066	42
GSE75214	GSM1426087	control	NK	0.172315	1.64066	42
GSE75214	GSM1426087	control	M/DC	0.273401	1.64066	42
GSE75214	GSM1426088	control	T	0.208504	1.33269	42
GSE75214	GSM1426088	control	B	0.382491	1.33269	42
GSE75214	GSM1426088	control	NK	0.178169	1.33269	42
GSE75214	GSM1426088	control	M/DC	0.230836	1.33269	42
GSE75214	GSM1426089	control	T	0.254277	1.28902	42
GSE75214	GSM1426089	control	B	0.146033	1.28902	42
GSE75214	GSM1426089	control	NK	0.204739	1.28902	42
GSE75214	GSM1426089	control	M/DC	0.39495	1.28902	42
GSE75214	GSM1426090	case	T	0.286795	1.13253	42
GSE75214	GSM1426090	case	B	0.267964	1.13253	42
GSE75214	GSM1426090	case	NK	0.15471	1.13253	42
GSE75214	GSM1426090	case	M/DC	0.290531	1.13253	42
GSE75214	GSM1426091	case	T	0.26228	0.932619	42
GSE75214	GSM1426091	case	B	0.236456	0.932619	42
GSE75214	GSM1426091	case	NK	0.199532	0.932619	42
GSE75214	GSM1426091	case	M/DC	0.301733	0.932619	42
GSE75214	GSM1426092	case	T	0.269176	0.958344	42
GSE75214	GSM1426092	case	B	0.303155	0.958344	42
GSE75214	GSM1426092	case	NK	0.13196	0.958344	42
GSE75214	GSM1426092	case	M/DC	0.295708	0.958344	42
GSE75214	GSM1426093	case	T	0.309347	1.21341	42
GSE75214	GSM1426093	case	B	0.268524	1.21341	42
GSE75214	GSM1426093	case	NK	0.0840257	1.21341	42
GSE75214	GSM1426093	case	M/DC	0.338102	1.21341	42
GSE75214	GSM1426094	case	T	0.2335	1.2988	42
GSE75214	GSM1426094	case	B	0.219137	1.2988	42
GSE75214	GSM1426094	case	NK	0.220173	1.2988	42
GSE75214	GSM1426094	case	M/DC	0.327191	1.2988	42
GSE75214	GSM1426095	case	T	0.253073	1.47828	42
GSE75214	GSM1426095	case	B	0.255751	1.47828	42
GSE75214	GSM1426095	case	NK	0.233908	1.47828	42
GSE75214	GSM1426095	case	M/DC	0.257268	1.47828	42
GSE75214	GSM1426096	case	T	0.22281	1.21859	42
GSE75214	GSM1426096	case	B	0.141855	1.21859	42
GSE75214	GSM1426096	case	NK	0.234201	1.21859	42
GSE75214	GSM1426096	case	M/DC	0.401135	1.21859	42
GSE75214	GSM1426097	case	T	0.279673	1.04571	42
GSE75214	GSM1426097	case	B	0.376822	1.04571	42
GSE75214	GSM1426097	case	NK	0.0172105	1.04571	42
GSE75214	GSM1426097	case	M/DC	0.326295	1.04571	42
GSE75214	GSM1426098	case	T	0.227935	1.22863	42
GSE75214	GSM1426098	case	B	0.179662	1.22863	42
GSE75214	GSM1426098	case	NK	0.133079	1.22863	42
GSE75214	GSM1426098	case	M/DC	0.459324	1.22863	42
GSE75214	GSM1426099	case	T	0.218849	1.40086	42
GSE75214	GSM1426099	case	B	0.281735	1.40086	42
GSE75214	GSM1426099	case	NK	0.166834	1.40086	42
GSE75214	GSM1426099	case	M/DC	0.332581	1.40086	42
GSE75214	GSM1426100	case	T	0.320014	1.39103	42
GSE75214	GSM1426100	case	B	0.320492	1.39103	42
GSE75214	GSM1426100	case	NK	0.141143	1.39103	42
GSE75214	GSM1426100	case	M/DC	0.218351	1.39103	42
GSE75214	GSM1426101	case	T	0.24013	1.36185	42
GSE75214	GSM1426101	case	B	0.249984	1.36185	42
GSE75214	GSM1426101	case	NK	0.0941472	1.36185	42
GSE75214	GSM1426101	case	M/DC	0.415739	1.36185	42
GSE75214	GSM1426102	case	T	0.395721	1.08231	42
GSE75214	GSM1426102	case	B	0.317524	1.08231	42
GSE75214	GSM1426102	case	NK	0	1.08231	42
GSE75214	GSM1426102	case	M/DC	0.286754	1.08231	42
GSE75214	GSM1426103	case	T	0.240261	1.03753	42
GSE75214	GSM1426103	case	B	0.427216	1.03753	42
GSE75214	GSM1426103	case	NK	0	1.03753	42
GSE75214	GSM1426103	case	M/DC	0.332523	1.03753	42
GSE75214	GSM1426104	case	T	0.20238	1.06841	42
GSE75214	GSM1426104	case	B	0.324776	1.06841	42
GSE75214	GSM1426104	case	NK	0.0874303	1.06841	42
GSE75214	GSM1426104	case	M/DC	0.385413	1.06841	42
GSE75214	GSM1426105	case	T	0.233851	1.24616	42
GSE75214	GSM1426105	case	B	0.344078	1.24616	42
GSE75214	GSM1426105	case	NK	0.0538958	1.24616	42
GSE75214	GSM1426105	case	M/DC	0.368175	1.24616	42
GSE75214	GSM1426106	case	T	0.269575	1.1108	42
GSE75214	GSM1426106	case	B	0.273626	1.1108	42
GSE75214	GSM1426106	case	NK	0.0528238	1.1108	42
GSE75214	GSM1426106	case	M/DC	0.403975	1.1108	42
GSE75214	GSM1426107	case	T	0.254605	1.00759	42
GSE75214	GSM1426107	case	B	0.454262	1.00759	42
GSE75214	GSM1426107	case	NK	0.0127009	1.00759	42
GSE75214	GSM1426107	case	M/DC	0.278432	1.00759	42
GSE75214	GSM1426108	case	T	0.197231	1.24046	42
GSE75214	GSM1426108	case	B	0.198778	1.24046	42
GSE75214	GSM1426108	case	NK	0.150556	1.24046	42
GSE75214	GSM1426108	case	M/DC	0.453436	1.24046	42
GSE75214	GSM1426109	case	T	0.300811	1.10432	42
GSE75214	GSM1426109	case	B	0.362861	1.10432	42
GSE75214	GSM1426109	case	NK	0.0450732	1.10432	42
GSE75214	GSM1426109	case	M/DC	0.291255	1.10432	42
GSE75214	GSM1426110	case	T	0.253236	1.2624	42
GSE75214	GSM1426110	case	B	0.0653795	1.2624	42
GSE75214	GSM1426110	case	NK	0.185787	1.2624	42
GSE75214	GSM1426110	case	M/DC	0.495598	1.2624	42
GSE75214	GSM1426111	case	T	0.2833	0.915942	42
GSE75214	GSM1426111	case	B	0.419183	0.915942	42
GSE75214	GSM1426111	case	NK	0.00585277	0.915942	42
GSE75214	GSM1426111	case	M/DC	0.291664	0.915942	42
GSE75214	GSM1426112	case	T	0.318127	1.36607	42
GSE75214	GSM1426112	case	B	0.213885	1.36607	42
GSE75214	GSM1426112	case	NK	0.168449	1.36607	42
GSE75214	GSM1426112	case	M/DC	0.299539	1.36607	42
GSE75214	GSM1426113	case	T	0.342989	1.14682	42
GSE75214	GSM1426113	case	B	0.277382	1.14682	42
GSE75214	GSM1426113	case	NK	0.0878938	1.14682	42
GSE75214	GSM1426113	case	M/DC	0.291734	1.14682	42
GSE75214	GSM1426114	case	T	0.248732	1.19914	42
GSE75214	GSM1426114	case	B	0.32613	1.19914	42
GSE75214	GSM1426114	case	NK	0.074948	1.19914	42
GSE75214	GSM1426114	case	M/DC	0.35019	1.19914	42
GSE75214	GSM1426115	case	T	0.282152	1.28417	42
GSE75214	GSM1426115	case	B	0.210679	1.28417	42
GSE75214	GSM1426115	case	NK	0.181655	1.28417	42
GSE75214	GSM1426115	case	M/DC	0.325514	1.28417	42
GSE75214	GSM1426116	case	T	0.312993	1.24264	42
GSE75214	GSM1426116	case	B	0.187758	1.24264	42
GSE75214	GSM1426116	case	NK	0.108082	1.24264	42
GSE75214	GSM1426116	case	M/DC	0.391167	1.24264	42
GSE75214	GSM1426117	case	T	0.380322	1.30381	42
GSE75214	GSM1426117	case	B	0.246651	1.30381	42
GSE75214	GSM1426117	case	NK	0.096387	1.30381	42
GSE75214	GSM1426117	case	M/DC	0.27664	1.30381	42
GSE75214	GSM1426118	case	T	0.25342	1.46686	42
GSE75214	GSM1426118	case	B	0.451677	1.46686	42
GSE75214	GSM1426118	case	NK	0.0899773	1.46686	42
GSE75214	GSM1426118	case	M/DC	0.204926	1.46686	42
GSE75214	GSM1426119	case	T	0.31042	1.38973	42
GSE75214	GSM1426119	case	B	0.287892	1.38973	42
GSE75214	GSM1426119	case	NK	0.127357	1.38973	42
GSE75214	GSM1426119	case	M/DC	0.274331	1.38973	42
GSE75214	GSM1426120	case	T	0.378472	1.11784	42
GSE75214	GSM1426120	case	B	0.337667	1.11784	42
GSE75214	GSM1426120	case	NK	0.0251287	1.11784	42
GSE75214	GSM1426120	case	M/DC	0.258732	1.11784	42
GSE75214	GSM1426121	case	T	0.339181	1.33882	42
GSE75214	GSM1426121	case	B	0.177914	1.33882	42
GSE75214	GSM1426121	case	NK	0.134089	1.33882	42
GSE75214	GSM1426121	case	M/DC	0.348816	1.33882	42
GSE75214	GSM1426122	case	T	0.171645	1.13539	42
GSE75214	GSM1426122	case	B	0.361232	1.13539	42
GSE75214	GSM1426122	case	NK	0.175769	1.13539	42
GSE75214	GSM1426122	case	M/DC	0.291354	1.13539	42
GSE75214	GSM1426123	case	T	0.204385	1.19756	42
GSE75214	GSM1426123	case	B	0.22473	1.19756	42
GSE75214	GSM1426123	case	NK	0.184524	1.19756	42
GSE75214	GSM1426123	case	M/DC	0.386361	1.19756	42
GSE75214	GSM1426124	case	T	0.348177	1.50392	42
GSE75214	GSM1426124	case	B	0.205114	1.50392	42
GSE75214	GSM1426124	case	NK	0.178286	1.50392	42
GSE75214	GSM1426124	case	M/DC	0.268423	1.50392	42
