pmid	pubmed_url	pubmed_title	herb_reference_titles	all_herb_titles_match_pubmed	journal	publication_year	doi	abstract_available	disease_context_terms_in_pubmed_record
33597887	https://pubmed.ncbi.nlm.nih.gov/33597887/	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis.	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis	yes	Frontiers in pharmacology	2020	10.3389/fphar.2020.630244	yes	curcumin;colitis;dss;memory_cell
36196887	https://pubmed.ncbi.nlm.nih.gov/36196887/	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway.	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway	yes	Phytotherapy research : PTR	2023	10.1002/ptr.7656	yes	curcumin;colitis;ulcerative_colitis;dss;b_cell
36353208	https://pubmed.ncbi.nlm.nih.gov/36353208/	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling.	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling	yes	World journal of gastroenterology	2022	10.3748/wjg.v28.i40.5865	yes	curcumin;colitis;dss;b_cell;memory_cell
