disease_id	disease_name	target_ensembl_id	gene_symbol	target_approved_name	overall_score	genetic_association_score	clinical_score	literature_score	rna_expression_score	animal_model_score	genetic_literature_score	somatic_mutation_score	known_drug_score	affected_pathway_score	candidate_ingredients	is_curcumin_target	curcumin_evidence_tier	all_datatype_scores	all_datasource_scores
MONDO_0005101	ulcerative colitis	ENSG00000169194	IL13	interleukin 13	0.299821	0	0.477057	0.322509	0	0	0	0	0	0	Curcumin	yes	F_context_target_only	clinical:0.477057;literature:0.322509	clinical_precedence:0.477057;europepmc:0.322509
MONDO_0005011	Crohn disease	ENSG00000164136	IL15	interleukin 15	0.0195076	0	0	0.156932	0.0140442	0	0	0	0	0	Curcumin	yes	D_b_cell_increased	literature:0.156932;rna_expression:0.0140442	europepmc:0.156932;expression_atlas:0.0140442
MONDO_0005265	inflammatory bowel disease	ENSG00000164136	IL15	interleukin 15	0.0974459	0	0	0.801455	0	0	0	0	0	0	Curcumin	yes	D_b_cell_increased	literature:0.801455	europepmc:0.801455
MONDO_0005101	ulcerative colitis	ENSG00000164136	IL15	interleukin 15	0.0240013	0	0	0.194677	0.0108969	0	0	0	0	0	Curcumin	yes	D_b_cell_increased	literature:0.194677;rna_expression:0.0108969	europepmc:0.194677;expression_atlas:0.0108969
MONDO_0005011	Crohn disease	ENSG00000112115	IL17A	interleukin 17A	0.100248	0	0.136784	0.506255	0.126131	0	0	0	0	0	Brahmic acid;Cryptotanshinone	no		clinical:0.136784;literature:0.506255;rna_expression:0.126131	clinical_precedence:0.136784;europepmc:0.506255;expression_atlas:0.126131
MONDO_0005265	inflammatory bowel disease	ENSG00000112115	IL17A	interleukin 17A	0.145841	0	0.136784	0.970653	0	0.520655	0	0	0	0	Brahmic acid;Cryptotanshinone	no		animal_model:0.520655;clinical:0.136784;literature:0.970653	clinical_precedence:0.136784;europepmc:0.970653;impc:0.520655
MONDO_0005101	ulcerative colitis	ENSG00000112115	IL17A	interleukin 17A	0.0688887	0	0	0.522018	0.178259	0	0	0	0	0	Brahmic acid;Cryptotanshinone	no		literature:0.522018;rna_expression:0.178259	europepmc:0.522018;expression_atlas:0.178259
MONDO_0005011	Crohn disease	ENSG00000115008	IL1A	interleukin 1 alpha	0.0861408	0	0.121586	0.135162	0.342108	0	0	0	0	0	Archin	no		clinical:0.121586;literature:0.135162;rna_expression:0.342108	clinical_precedence:0.121586;europepmc:0.135162;expression_atlas:0.342108
MONDO_0005265	inflammatory bowel disease	ENSG00000115008	IL1A	interleukin 1 alpha	0.108002	0	0.151983	0.513443	0	0	0	0	0	0	Archin	no		clinical:0.151983;literature:0.513443	clinical_precedence:0.151983;europepmc:0.513443
MONDO_0005101	ulcerative colitis	ENSG00000115008	IL1A	interleukin 1 alpha	0.0821744	0	0.121586	0.153002	0.20369	0	0	0	0	0	Archin	no		clinical:0.121586;literature:0.153002;rna_expression:0.20369	clinical_precedence:0.121586;europepmc:0.153002;expression_atlas:0.20369
