disease_id	disease_name	target_ensembl_id	gene_symbol	target_approved_name	overall_score	genetic_association_score	clinical_score	literature_score	rna_expression_score	animal_model_score	genetic_literature_score	somatic_mutation_score	known_drug_score	affected_pathway_score	candidate_ingredients	is_curcumin_target	curcumin_evidence_tier	all_datatype_scores	all_datasource_scores
MONDO_0005011	Crohn disease	ENSG00000173372	C1QA	complement C1q A chain	0.00549028	0	0	0	0.0451554	0	0	0	0	0	Paeoniflorin	no		rna_expression:0.0451554	expression_atlas:0.0451554
MONDO_0005265	inflammatory bowel disease	ENSG00000173372	C1QA	complement C1q A chain	0.00461975	0	0	0.0379957	0	0	0	0	0	0	Paeoniflorin	no		literature:0.0379957	europepmc:0.0379957
MONDO_0005101	ulcerative colitis	ENSG00000173372	C1QA	complement C1q A chain	0.00202104	0	0	0	0.0166223	0	0	0	0	0	Paeoniflorin	no		rna_expression:0.0166223	expression_atlas:0.0166223
MONDO_0005011	Crohn disease	ENSG00000121691	CAT	catalase	0.0230258	0	0	0.189378	0	0	0	0	0	0	Capsaicin	no		literature:0.189378	europepmc:0.189378
MONDO_0005265	inflammatory bowel disease	ENSG00000121691	CAT	catalase	0.071712	0	0	0.589804	0	0	0	0	0	0	Capsaicin	no		literature:0.589804	europepmc:0.589804
MONDO_0005101	ulcerative colitis	ENSG00000121691	CAT	catalase	0.0188462	0	0	0.155003	0	0	0	0	0	0	Capsaicin	no		literature:0.155003	europepmc:0.155003
MONDO_0005011	Crohn disease	ENSG00000108691	CCL2	C-C motif chemokine ligand 2	0.36917	0.591526	0	0.236053	0.176775	0	0	0	0	0	Archin;Curcumin;Geniposide	yes	B_module_aligned	genetic_association:0.591526;literature:0.236053;rna_expression:0.176775	europepmc:0.236053;expression_atlas:0.176775;gwas_credible_sets:0.591526
MONDO_0005265	inflammatory bowel disease	ENSG00000108691	CCL2	C-C motif chemokine ligand 2	0.413248	0.637283	0	0.838347	0.0252399	0	0	0	0	0	Archin;Curcumin;Geniposide	yes	B_module_aligned	genetic_association:0.637283;literature:0.838347;rna_expression:0.0252399	europepmc:0.838347;expression_atlas:0.0252399;gwas_credible_sets:0.637283
MONDO_0005101	ulcerative colitis	ENSG00000108691	CCL2	C-C motif chemokine ligand 2	0.305863	0.488231	0	0.136954	0.236954	0	0	0	0	0	Archin;Curcumin;Geniposide	yes	B_module_aligned	genetic_association:0.488231;literature:0.136954;rna_expression:0.236954	europepmc:0.136954;expression_atlas:0.236954;gwas_credible_sets:0.488231
MONDO_0005011	Crohn disease	ENSG00000010610	CD4	CD4 molecule	0.081222	0	0	0.658968	0.0362104	0	0	0	0	0	Geniposide	no		literature:0.658968;rna_expression:0.0362104	europepmc:0.658968;expression_atlas:0.0362104
MONDO_0005265	inflammatory bowel disease	ENSG00000010610	CD4	CD4 molecule	0.120627	0	0	0.992112	0	0	0	0	0	0	Geniposide	no		literature:0.992112	europepmc:0.992112
MONDO_0005101	ulcerative colitis	ENSG00000010610	CD4	CD4 molecule	0.0820045	0	0	0.666547	0.0316356	0	0	0	0	0	Geniposide	no		literature:0.666547;rna_expression:0.0316356	europepmc:0.666547;expression_atlas:0.0316356
MONDO_0005011	Crohn disease	ENSG00000114013	CD86	CD86 molecule	0.264445	0	0.425552	0.177934	0.0244494	0	0	0	0	0	Isoarnebin 4	no		clinical:0.425552;literature:0.177934;rna_expression:0.0244494	clinical_precedence:0.425552;europepmc:0.177934;expression_atlas:0.0244494
MONDO_0005265	inflammatory bowel disease	ENSG00000114013	CD86	CD86 molecule	0.341613	0	0.531939	0.599774	0	0	0	0	0	0	Isoarnebin 4	no		clinical:0.531939;literature:0.599774	clinical_precedence:0.531939;europepmc:0.599774
MONDO_0005101	ulcerative colitis	ENSG00000114013	CD86	CD86 molecule	0.263917	0	0.425552	0.148295	0.0520915	0	0	0	0	0	Isoarnebin 4	no		clinical:0.425552;literature:0.148295;rna_expression:0.0520915	clinical_precedence:0.425552;europepmc:0.148295;expression_atlas:0.0520915
MONDO_0005011	Crohn disease	ENSG00000165215	CLDN3	claudin 3	0.00967786	0	0	0.0244607	0.0734816	0	0	0	0	0	Bilobalide	no		literature:0.0244607;rna_expression:0.0734816	europepmc:0.0244607;expression_atlas:0.0734816
MONDO_0005265	inflammatory bowel disease	ENSG00000165215	CLDN3	claudin 3	0.0961132	0	0	0.790494	0	0	0	0	0	0	Bilobalide	no		literature:0.790494	europepmc:0.790494
MONDO_0005101	ulcerative colitis	ENSG00000165215	CLDN3	claudin 3	0.00987842	0	0	0.0812463	0	0	0	0	0	0	Bilobalide	no		literature:0.0812463	europepmc:0.0812463
