filename	file_path	source_url_or_api	file_size_bytes	md5	status	line_count	field_count	header
HERB_herb_info_v2.txt	data/raw/herb2/HERB_herb_info_v2.txt	http://47.92.70.12/download/file/?file_path=%2Fwww%2Fwwwroot%2F47.92.70.12%2FHERB_web%2Fstatic%2Fdownload_data%2FV2%2FHERB_herb_info_v2.txt	1864763	64fdf6b3e836a77a4e0d4cf972b850f4	analysis_ready	6893	19	Herb_id | Herb_pinyin_name | Herb_cn_name | Herb_alias_name | Herb_en_name | Herb_latin_name | Properties | Meridians | UsePart | Function | Indication | Toxicity | Clinical_manifestations | Therapeutic_en_class | Therapeutic_cn_class | SymMap_id | TCMID_id | TCMSP_id | TCM_ID_id
HERB_ingredient_info_v2.txt	data/raw/herb2/HERB_ingredient_info_v2.txt	http://47.92.70.12/download/file/?file_path=%2Fwww%2Fwwwroot%2F47.92.70.12%2FHERB_web%2Fstatic%2Fdownload_data%2FV2%2FHERB_ingredient_info_v2.txt	22572386	667b8824d3363fd27318a2b870980cad	analysis_ready	44596	24	Ingredient_id | Ingredient_name | Ingredient_alias_name | Molecular_formula | Canonical_smiles | Isomeric_smiles | InChI | InChIKey | MolWt | NumHAcceptors | NumHDonors | MolLogP | NumRotatableBonds | Drug_likeness | OB_score | CAS_id | SymMap_id | TCMID_id | TCMSP_id | TCM_ID_id | PubChem_id | DrugBank_id | NPASS_id | HIT_id
HERB_formula_info_v2.txt	data/raw/herb2/HERB_formula_info_v2.txt	http://47.92.70.12/download/file/?file_path=%2Fwww%2Fwwwroot%2F47.92.70.12%2FHERB_web%2Fstatic%2Fdownload_data%2FV2%2FHERB_formula_info_v2.txt	3713119	1e3444254e5a543ab13c0019ba15f901	analysis_ready	6744	20	Formula_id | Formula_pinyin_name | Formula_cn_name | Formula_alias_name | Formula_en_name | Dosage_form | Administration | Type | Category | Herbs_in_Chinese | Herbs_in_pinyin | Syndromes_in_Chinese | Syndromes_in_English | Indications_in_Chinese | Indications_in_English | Source | CPMCP_CMP_id | CPMCP_CPM_id | ITCM_id | ETCM_id
HERB_target_info_v2.txt	data/raw/herb2/HERB_target_info_v2.txt	http://47.92.70.12/download/file/?file_path=%2Fwww%2Fwwwroot%2F47.92.70.12%2FHERB_web%2Fstatic%2Fdownload_data%2FV2%2FHERB_target_info_v2.txt	2512008	248f5e181de5d8e65f1577aa3bd93e3b	analysis_ready	15516	16	Target_id | Gene_symbol | Gene_alias_name | Protein_name | Type_of_gene | TTD_target_type | Organism | Taxonomy_id  | Map_location | Chromosome | Entrez_id | OMIM_id | HGNC_id | Ensembl_id | MGI_id | TTD_id
HERB_disease_info_v2.txt	data/raw/herb2/HERB_disease_info_v2.txt	http://47.92.70.12/download/file/?file_path=%2Fwww%2Fwwwroot%2F47.92.70.12%2FHERB_web%2Fstatic%2Fdownload_data%2FV2%2FHERB_disease_info_v2.txt	7931515	7832456cc4726edb2990f2d198319d19	analysis_ready	30171	18	Disease_id | Disease_name | Disease_alias_name | DisGeNET_disease_type | UMLS_disease_type | MeSH_disease_class | HPO_disease_class | DO_disease_class | UMLS_disease_type_id | MeSH_disease_class_id | HPO_disease_class_id | DO_disease_class_id | DisGeNET_id | MeSH_id | HPO_id | DO_id | ICD10_id | OMIM_id
HERB_meta_info_v2.txt	data/raw/herb2/HERB_meta_info_v2.txt	http://47.92.70.12/download/file/?file_path=%2Fwww%2Fwwwroot%2F47.92.70.12%2FHERB_web%2Fstatic%2Fdownload_data%2FV2%2FHERB_meta_info_v2.txt	22477197	ee49502091fe6b79fb4acf161437a5fa	analysis_ready	8033	34	Meta-analysis_id | Subject_id | Subject_name | Subject_type | CRD_id | CRD_title | Review_question | Study_type_included | Condition_being_studied | Participant | Animal | Human_disease_modelled | Intervention | Comparator_control | Main_outcome | Outcome_measure | Additional_outcome | Study_method | Keyword | Contact | Organisational_affiliation | Funding_source | Other_selection_criteria_or_limitations_applied | Final_publication | Review_of_the_same_topic_by_the_same_author | Published_protocol | Review_type | Language | Country | Review_stage | First_submission_date | Registration_date | Anticipated_start_date | Anticipated_completion_date
HERB_clinical_trials_v2.txt	data/raw/herb2/HERB_clinical_trials_v2.txt	http://47.92.70.12/download/file/?file_path=%2Fwww%2Fwwwroot%2F47.92.70.12%2FHERB_web%2Fstatic%2Fdownload_data%2FV2%2FHERB_clinical_trials_v2.txt	15732992	f864d86141b54c7e94a6a1558189571a	analysis_ready	11307	34	Clinical_trial_id | Subject_id | Subject_name | Subject_type | Subject_alias | NCT_id | NCT_title | Status | Phase  | Study_result | Study_condition | Study_type | Study_design | Intervention | Intervention_allocation | Intervention_model | Intervention_mask | Intervention_purpose | Gender | Age | Enrollment | Outcome_measure | Sponsor_collaborator | Funded_by | Location | Other_id | Start_date | Primary_completion_date | Completion_date | First_posted | Results_first_posted | Last_update_posted | Study_document | URL
HERB_reference_info_v2.txt	data/raw/herb2/HERB_reference_info_v2.txt	http://47.92.70.12/download/file/?file_path=%2Fwww%2Fwwwroot%2F47.92.70.12%2FHERB_web%2Fstatic%2Fdownload_data%2FV2%2FHERB_reference_info_v2.txt	14987466	5c4a541d180e00253c4289e1991e7b85	analysis_ready	6706	14	Reference_id | PubMed_id | Subject_id | Subject_paper_key | Subject_name | Subject_type | Paper_title | Paper_abstract | Journal | DOI | Publish_date | Experiment_subject | Experiment_type | Phenotype_related
HERB_experiment_info_v2.txt	data/raw/herb2/HERB_experiment_info_v2.txt	http://47.92.70.12/download/file/?file_path=%2Fwww%2Fwwwroot%2F47.92.70.12%2FHERB_web%2Fstatic%2Fdownload_data%2FV2%2FHERB_experiment_info_v2.txt	941202	a024e8f241d9f95df7ed582f85f493ac	analysis_ready	2232	26	EXP_id | Subject_disease_key | Subject_disease_name | Subject_disease_id | Subject_type | GSE_id | Organism | Experiment_type | Sequence_type  | Experiment_subject | Experiment_detail | Special_pretreatment | Control_condition | Control_samples | Experiment_subject_detail | Treatment_samples | Drug_delivery | Data_type | Data_process_pipeline | Platform | Original_id  | Exp_number | Strain | Tissue | Cell_type | Cell_line
probe2gene.R	data/raw/herb2/probe2gene.R	http://47.92.70.12/download/file/?file_path=%2Fwww%2Fwwwroot%2F47.92.70.12%2FHERB_web%2Fstatic%2Fdownload_data%2FV2%2Fprobe2gene.R	3182	8a3a9c5275fd6eb0d597944e71fde605	analysis_ready			
