ingredient_id	ingredient_name	target_id	gene_symbol	protein_name	edge_source	evidence_level	target_source	reference_id	reference_url	pubmed_id	pubmed_url	reference_title	relationship	grade	supporting_sentence	in_bulk_uc_ibd_up150	in_bulk_uc_ibd_down150	candidate_priority_class	candidate_priority_score
HBIN041495	Quercetin	HBTAR003434	RELA	RELA proto-oncogene, NF-kB subunit	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005573	/Reference/detail/?v=HBREF005573	34688696	https://pubmed.ncbi.nlm.nih.gov/34688696/	The protective effect of quercetin on macrophage pyroptosis via TLR2/Myd88/NF-κB and ROS/AMPK pathway	suppress/inhibitor	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR003434	RELA	RELA proto-oncogene, NF-kB subunit	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005591	/Reference/detail/?v=HBREF005591	35431500	https://pubmed.ncbi.nlm.nih.gov/35431500/	Quercetin exerts anti-inflammatory effects via inhibiting tumor necrosis factor-α-induced matrix metalloproteinase-9 expression in normal human gastric epithelial cells		Grade B	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR001936	HSPA1A	heat shock protein family A (Hsp70) member 1A	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005572	/Reference/detail/?v=HBREF005572	34681913	https://pubmed.ncbi.nlm.nih.gov/34681913/	Functional Depletion of HSP72 by siRNA and Quercetin Enhances Vorinostat-Induced Apoptosis in an HSP72-Overexpressing Cutaneous T-Cell Lymphoma Cell Line, Hut78	downregulate/decrease	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR001936	HSPA1A	heat shock protein family A (Hsp70) member 1A	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005610	/Reference/detail/?v=HBREF005610	36232461	https://pubmed.ncbi.nlm.nih.gov/36232461/	Probing the Potential Mechanism of Quercetin and Kaempferol against Heat Stress-Induced Sertoli Cell Injury: Through Integrating Network Pharmacology and Experimental Validation		Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR001936	HSPA1A	heat shock protein family A (Hsp70) member 1A	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005617	/Reference/detail/?v=HBREF005617	36366463	https://pubmed.ncbi.nlm.nih.gov/36366463/	Quercetin Inhibits Hsp70 Blocking of Bovine Viral Diarrhea Virus Infection and Replication in the Early Stage of Virus Infection	suppress/inhibitor	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR006800	SLC7A11	solute carrier family 7 member 11	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005619	/Reference/detail/?v=HBREF005619	36417973	https://pubmed.ncbi.nlm.nih.gov/36417973/	Quercetin alleviates ferroptosis accompanied by reducing M1 macrophage polarization during neutrophilic airway inflammation		Grade C	redacted_public_package	yes	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR004577	CLPP	caseinolytic mitochondrial matrix peptidase proteolytic subunit	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005590	/Reference/detail/?v=HBREF005590	35319277	https://pubmed.ncbi.nlm.nih.gov/35319277/	Quercetin Reduces the Virulence of S. aureus by Targeting ClpP to Protect Mice from MRSA-Induced Lethal Pneumonia	suppress/inhibitor	Grade A	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR012743	IFNA1	interferon alpha 1	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005530	/Reference/detail/?v=HBREF005530	32366711	https://pubmed.ncbi.nlm.nih.gov/32366711/	Quercetin Blocks Ebola Virus Infection by Counteracting the VP24 Interferon-Inhibitory Function	agonist/activator	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR000374	BDNF	brain derived neurotrophic factor	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005526	/Reference/detail/?v=HBREF005526	32000299	https://pubmed.ncbi.nlm.nih.gov/32000299/	Quercetin protects against diabetic encephalopathy via SIRT1/NLRP3 pathway in db/db mice	upregulate/increase	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR000374	BDNF	brain derived neurotrophic factor	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005527	/Reference/detail/?v=HBREF005527	32009956	https://pubmed.ncbi.nlm.nih.gov/32009956/	Quercetin Alleviates LPS-Induced Depression-Like Behavior in Rats via Regulating BDNF-Related Imbalance of Copine 6 and TREM1/2 in the Hippocampus and PFC		Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
