ingredient_id	status	raw_path	file_size_bytes	md5	message
HBIN017892	cached	data/raw/herb2/ingredient_details/HBIN017892.json	488073	9e101353d3628dc3e5c798cd60d9d00d	
HBIN021985	cached	data/raw/herb2/ingredient_details/HBIN021985.json	9062390	5c18f3a55afbc03cbcd5e62bea0cc65e	
HBIN016606	cached	data/raw/herb2/ingredient_details/HBIN016606.json	444352	0bd762e5f14cef89c472e17e8e3c50a0	
HBIN045672	cached	data/raw/herb2/ingredient_details/HBIN045672.json	229496	d714a90ef3cda8083d321614c37169d6	
HBIN046831	cached	data/raw/herb2/ingredient_details/HBIN046831.json	12465397	be5df7a442c81cd8b99d707e0895d136	
HBIN017136	cached	data/raw/herb2/ingredient_details/HBIN017136.json	58709	72ef113552ba4a359600369697c48cf7	
HBIN034657	cached	data/raw/herb2/ingredient_details/HBIN034657.json	5356129	61be99b407ae1df8dec183177017ee45	
HBIN020921	cached	data/raw/herb2/ingredient_details/HBIN020921.json	562650	e81f9fbd148b8764e5e52f6298a40cc5	
HBIN017893	cached	data/raw/herb2/ingredient_details/HBIN017893.json	3257823	595110cb9b498d89dc94e102f7d8ff4a	
HBIN021795	cached	data/raw/herb2/ingredient_details/HBIN021795.json	330991	8ef43ffb4f802700b0c4f7e062068c0c	
HBIN042199	cached	data/raw/herb2/ingredient_details/HBIN042199.json	518132	1809d7ba28ac3caae8df21f0a909fd10	
HBIN018512	cached	data/raw/herb2/ingredient_details/HBIN018512.json	671761	02770ce5f09e13a28ff1a95586ffdb5d	
HBIN029531	cached	data/raw/herb2/ingredient_details/HBIN029531.json	627893	a6043343b1ca7ba94973ce3d8ad01d10	
HBIN034558	cached	data/raw/herb2/ingredient_details/HBIN034558.json	474978	1753f76e5fd7c006596df3ccb20b7c19	
HBIN030442	cached	data/raw/herb2/ingredient_details/HBIN030442.json	1622197	4995ccfab11842f3087064ed800d4ef2	
HBIN040403	cached	data/raw/herb2/ingredient_details/HBIN040403.json	240604	c10d9f7ce4ceda193bff950f18d5bbf2	
HBIN038606	cached	data/raw/herb2/ingredient_details/HBIN038606.json	691137	49b36bc313e7e0eed196ed36ce5f5e9f	
HBIN048372	cached	data/raw/herb2/ingredient_details/HBIN048372.json	450324	8061ff1dd9263cd5707f6def50d263b6	
HBIN048442	cached	data/raw/herb2/ingredient_details/HBIN048442.json	203718	48f367ba59e882bbc9869ab2affa2d8d	
HBIN044493	cached	data/raw/herb2/ingredient_details/HBIN044493.json	515754	cee33a0d5c099e3c27bfe07b79f328c9	
HBIN018800	cached	data/raw/herb2/ingredient_details/HBIN018800.json	13596	42b425192b8622a5dab6bc9753f13ee5	
HBIN019690	cached	data/raw/herb2/ingredient_details/HBIN019690.json	1027788	0cc229e08dfd5edde3a1662881146a18	
HBIN027450	cached	data/raw/herb2/ingredient_details/HBIN027450.json	541661	a44fc4c17067062589a842bf3ba753ee	
HBIN015751	cached	data/raw/herb2/ingredient_details/HBIN015751.json	169869	4b8545d61c506eb42488fdee30f8be54	
HBIN025006	cached	data/raw/herb2/ingredient_details/HBIN025006.json	364297	2c71b37ad9aeca3ae18605053da1d872	
HBIN041217	cached	data/raw/herb2/ingredient_details/HBIN041217.json	387612	05ce53a7b41fde788d45c8ea9ebad469	
HBIN041495	cached	data/raw/herb2/ingredient_details/HBIN041495.json	10296703	aadcbb4c50d0c9fdcc8c55558a862f06	
