item	output	script	source_data
Figure 1	plots/cm_figure1_study_design.pdf	figures/scripts/build_chinese_medicine_figures.py	figures/source_data/chinese_medicine/figure1_study_design.tsv
Figure 2	plots/cm_figure2_bulk_disease_program.pdf	figures/scripts/build_chinese_medicine_figures.py	figures/source_data/chinese_medicine/figure2_*.tsv
Figure 3	plots/cm_figure3_rectal_blineage_localization.pdf	figures/scripts/build_chinese_medicine_figures.py	figures/source_data/chinese_medicine/figure3_*.tsv
Figure 4	plots/cm_figure4_compound_mapping.pdf	figures/scripts/build_chinese_medicine_figures.py	figures/source_data/chinese_medicine/figure4_*.tsv
Figure 5	plots/cm_figure5_curcumin_gene_followup.pdf	figures/scripts/build_chinese_medicine_figures.py	figures/source_data/chinese_medicine/figure5_curcumin_gene_effects.tsv
Supplementary Figure S1	plots/cm_supplementary_figure_s1_signature_sensitivity.pdf	figures/scripts/build_chinese_medicine_figures.py	figures/source_data/chinese_medicine/supplementary_figure_s1_signature_sensitivity.tsv
Supplementary Figure S2	plots/cm_supplementary_figure_s2_blineage_markers.pdf	figures/scripts/build_chinese_medicine_figures.py	figures/source_data/chinese_medicine/supplementary_figure_s2_*.tsv
Supplementary Figure S3	plots/cm_supplementary_figure_s3_gse182270_exploratory.pdf	figures/scripts/build_chinese_medicine_figures.py	figures/source_data/chinese_medicine/supplementary_figure_s3_*.tsv
Supplementary Figure S4	plots/cm_supplementary_figure_s4_database_context_checks.pdf	figures/scripts/build_chinese_medicine_figures.py	figures/source_data/chinese_medicine/supplementary_figure_s4_database_context_checks.tsv
Graphical abstract	plots/cm_graphical_abstract.pdf	figures/scripts/build_chinese_medicine_figures.py	figures/source_data/chinese_medicine/figure1_study_design.tsv
