celltype	n_diseased_samples	n_healthy_samples	mean_diseased	mean_healthy	delta_diseased_minus_healthy	mannwhitney_p	bh_fdr
B	7	4	3.84402530537611	3.4099782633534206	0.4340470420226894	0.006060606060606	0.0303030303030303
M/DC	7	3	4.307707493406959	4.123675766331275	0.1840317270756832	0.6666666666666666	0.7878787878787878
unknown	7	8	3.5751061595810456	3.578433794114206	-0.0033276345331603	0.6125874125874127	0.7878787878787878
T	7	4	3.4322358649460623	3.493219234065558	-0.0609833691194956	0.7878787878787878	0.7878787878787878
NK	7	4	3.1454843692121774	3.2242015106193165	-0.078717141407139	0.7878787878787878	0.7878787878787878
