tissue_assignment	celltype	n_diseased_samples	n_healthy_samples	observed_delta_axis_diseased_minus_healthy	null_mean_delta	null_sd_delta	null_q025_delta	null_q975_delta	empirical_p_two_sided	n_permutations	seed	q_empirical_bh_fdr	q_family_celltypes	q_family_size	displayed_in_main_panel
R	B	7	4	0.538392	-0.00202972	0.182147	-0.354635	0.368965	0.00229977	10000	20260629	0.01149885	B;M/DC;NK;T;unknown	5	yes
R	M/DC	7	3	0.253899	-0.002139	0.189527	-0.380387	0.357222	0.20438	10000	20260629	0.51095	B;M/DC;NK;T;unknown	5	yes
R	unknown	7	8	-0.0423548	0.000748616	0.0662758	-0.127164	0.129481	0.539346	10000	20260629	0.89891	B;M/DC;NK;T;unknown	5	no
R	NK	7	4	0.0307754	0.00683033	0.279304	-0.440586	0.547351	0.931807	10000	20260629	0.9562039999999999	B;M/DC;NK;T;unknown	5	yes
R	T	7	4	0.00586036	0.000239991	0.0989461	-0.184341	0.193654	0.956204	10000	20260629	0.9562039999999999	B;M/DC;NK;T;unknown	5	yes
