evidence_group_label	gene_symbol	log2fc	fdr	neglog10_fdr	direction_class
GPL6244 evidence group	SLC26A2	-4.52411	5.2517199999999995e-42	41.279698436751744	Decreased
GPL6244 evidence group	ABCA12	3.66425	1.0267e-36	35.98855643797793	Increased
GPL6244 evidence group	PADI2	-3.14891	2.3321500000000002e-33	32.63224351991763	Decreased
GPL6244 evidence group	TCN1	3.58332	1.4085e-32	31.851243148678208	Increased
GPL6244 evidence group	VSIG1	3.80544	1.44574e-32	31.839909802973764	Increased
GPL6244 evidence group	HAPLN3	1.39144	1.88199e-32	31.725382688537007	Increased
GPL6244 evidence group	CXCL2	2.37526	3.55542e-31	30.449109088912177	Increased
GPL6244 evidence group	EPHX2	-1.72288	7.13172e-30	29.14680571609147	Decreased
GPL6244 evidence group	TNIP3	4.31956	5.604140000000001e-29	28.25149102390946	Increased
GPL6244 evidence group	ENTPD5	-2.19845	1.4285500000000001e-28	27.845104554480343	Decreased
GPL6244 evidence group	CXCL3	1.3125	6.16229e-28	27.210257867454295	Increased
GPL6244 evidence group	SERPINA3	2.77232	7.0118500000000005e-28	27.15416738306157	Increased
GPL6244 evidence group	SLC9A2	-1.8992	1.81002e-26	25.742316626323273	Decreased
GPL6244 evidence group	HM13	0.821799	1.81002e-26	25.742316626323273	Not selected
GPL6244 evidence group	AQP9	3.44453	4.33313e-26	25.363198281324333	Increased
GPL6244 evidence group	UGT2A3	-4.31692	1.54013e-25	24.81244261948834	Decreased
GPL6244 evidence group	MAOA	-1.67643	2.2674099999999998e-25	24.64446994231818	Decreased
GPL6244 evidence group	SELP	2.50623	2.58466e-25	24.58759657823171	Increased
GPL6244 evidence group	MMP7	3.74352	3.48075e-25	24.45832716818927	Increased
GPL6244 evidence group	THBD	1.00663	1.97866e-24	23.703628825707497	Increased
GPL6244 evidence group	S100A9	2.2207	6.9485e-24	23.158108938148366	Increased
GPL6244 evidence group	ADAMTS9	2.03789	7.19288e-24	23.143097185045043	Increased
GPL6244 evidence group	COL15A1	1.6944	9.10104e-24	23.040908976859825	Increased
GPL6244 evidence group	AKAP1	-1.11624	1.11468e-23	22.95284979107368	Decreased
GPL6244 evidence group	SLC17A4	-2.8719	2.83552e-23	22.547367285123176	Decreased
GPL6244 evidence group	DHRS11	-2.3531	2.83552e-23	22.547367285123176	Decreased
GPL6244 evidence group	PFKFB3	2.11433	2.83552e-23	22.547367285123176	Increased
GPL6244 evidence group	MMP10	2.28307	3.2074e-23	22.493846875132366	Increased
GPL6244 evidence group	CD40	1.02805	5.42303e-23	22.265757993057	Increased
GPL6244 evidence group	VIPR1	-1.69821	1.22116e-22	21.91322742977772	Decreased
GPL6244 evidence group	EPB41L4B	-1.158	1.31601e-22	21.880740810624555	Decreased
GPL6244 evidence group	DUSP4	1.29991	1.75169e-22	21.756542749310444	Increased
GPL6244 evidence group	SELE	2.6709	2.8917e-22	21.538846765009158	Increased
GPL6244 evidence group	GUCA2A	-3.31586	4.83094e-22	21.315968356392744	Decreased
GPL6244 evidence group	CXCR1	2.34755	5.72733e-22	21.242047792781538	Increased
GPL6244 evidence group	GOLIM4	-0.689939	7.22207e-22	21.14133830648432	Not selected
