gene_symbol	direction	mean_log2fc	best_fdr	consensus_score
AQP8	down	-5.14408	2.0620099999999997e-21	10.2882
HMGCS2	down	-4.0804	1.9391800000000002e-26	8.16079
CLDN8	down	-3.76459	4.36887e-08	7.52919
PCK1	down	-3.67247	5.6875099999999995e-25	7.34494
UGT2A3	down	-3.6035	1.54013e-25	7.20701
ABCG2	down	-3.49709	9.3573e-23	6.99417
SLC26A2	down	-3.48876	5.2517199999999995e-42	6.97751
CYP2B6	down	-3.10331	1.02155e-09	6.20663
MEP1B	down	-3.0949	1.19667e-08	6.18979
CYP2B7P	down	-3.08872	6.20074e-10	6.17744
VNN1	up	3.72317	1.07812e-10	7.44634
DUOXA2	up	3.78093	3.62002e-21	7.56187
REG1B	up	3.82744	2.08635e-06	7.65487
REG3A	up	3.85329	1.64563e-07	7.70658
S100A8	up	4.09886	7.400179999999999e-20	8.19772
TNIP3	up	4.10081	5.604140000000001e-29	8.20162
REG1A	up	4.16969	1.72152e-05	8.33939
CHI3L1	up	4.2248	1.53378e-15	8.4496
DUOX2	up	4.62781	4.45328e-10	9.25561
SLC6A14	up	5.3627	2.66375e-11	10.7254
