celltype	n_diseased	n_healthy	n_unique_label_allocations	observed_delta	exact_p_two_sided	exact_q_bh_fdr	exact_p_ge_observed	exact_p_le_observed	null_mean_delta	null_q025_delta	null_q975_delta	q_family_celltypes	q_family_size	displayed_in_main_panel
B	7	4	330	0.5383924999999996	0.003030303030303	0.0151515151515151	0.003030303030303	1.0	-2.3684757858670006e-16	-0.3541343392857145	0.3661169821428565	B;M/DC;NK;T;unknown	5	yes
NK	7	4	330	0.0307753571428559	0.9333333333333332	0.9545454545454548	0.4212121212121212	0.5818181818181818	-5.382899513334093e-17	-0.4389582321428572	0.5361608303571426	B;M/DC;NK;T;unknown	5	yes
T	7	4	330	0.0058603571428577	0.9545454545454546	0.9545454545454548	0.4727272727272727	0.5303030303030303	-2.4223047810003417e-17	-0.1832241428571429	0.1917966964285716	B;M/DC;NK;T;unknown	5	yes
unknown	7	8	6435	-0.0423548214285713	0.5356643356643357	0.8927738927738927	0.7324009324009324	0.2677544677544677	1.2146029671112822e-16	-0.1286494196428569	0.129749151785714	B;M/DC;NK;T;unknown	5	no
M/DC	7	3	120	0.2538985714285715	0.2083333333333333	0.5208333333333334	0.1166666666666666	0.8916666666666667	-1.0362081563168128e-16	-0.3522375000000007	0.3579441666666664	B;M/DC;NK;T;unknown	5	yes
