Gene	Cell type	Delta	CI lower	CI upper	n diseased	n healthy	Rectal B-lineage FDR across 22 genes	Reported direction
BLNK	B	0.2815905321428571	0.09067828214285714	0.5125033142857144	7	4	0.3111108	up
BLNK	M/DC	0.04651847142857142	-0.02499460583333333	0.12507354285714284	7	3	0.3111108	up
SYK	B	0.2134995	0.03956015625000003	0.38379605803571426	7	4	0.3111108	down
SYK	M/DC	-0.1569814285714285	-0.4687229833333333	0.23248813928571418	7	3	0.3111108	down
BCL6	B	0.07212256821428571	0.04249380508035715	0.09649942088392856	7	4	0.3111108	down
BCL6	M/DC	-0.3121258571428571	-0.5692419428571428	-0.0335757000000004	7	3	0.3111108	down
