tissue_assignment	celltype	gene_symbol	n_diseased_samples	n_healthy_samples	diseased_cells	healthy_cells	mean_log1p_cpm_diseased	mean_log1p_cpm_healthy	delta_log1p_cpm_diseased_minus_healthy	p_log1p_cpm_mannwhitney	mean_detection_diseased	mean_detection_healthy	delta_detection_diseased_minus_healthy	p_detection_mannwhitney
R	B:B1	PRKAA1	7	4	750	16	0.0757267	0.038344	0.0373827	0.215084	0.0517618	0.0357143	0.0160476	0.215084
R	B:B1	PTGS2	7	4	750	16	0	0	0	1	0	0	0	1
R	B:B1	RELA	7	4	750	16	0.138454	0.0808513	0.0576031	0.394015	0.0902443	0.0714285	0.0188158	0.77582
R	B:B1	SH3KBP1	7	4	750	16	0.116722	0.148877	-0.0321545	0.924027	0.0685283	0.107143	-0.0386144	1
R	B:B1	SMAD3	7	4	750	16	0.0311561	0	0.0311561	0.0502526	0.0183842	0	0.0183842	0.0502526
R	B:B1	SOD1	7	4	750	16	0.640687	0.358859	0.281828	0.394015	0.423709	0.285714	0.137994	0.635833
R	B:B1	STAT3	7	4	750	16	0.40598	0.192567	0.213413	0.215084	0.261531	0.107143	0.154388	0.215084
R	B:B1	STAT5A	7	4	750	16	0.0274115	0	0.0274115	0.10067	0.0162688	0	0.0162688	0.10067
R	B:B1	SYK	7	4	750	16	0.282293	0.148877	0.133416	0.218253	0.17809	0.142857	0.0352334	0.635833
R	B:B1	TLR4	7	4	750	16	0	0	0	1	0	0	0	1
R	B:B1	TNF	7	4	750	16	0.12349	0.0715815	0.0519081	0.215084	0.0543131	0.0357143	0.0185988	0.215084
R	B:B10	ACTA2	5	3	63	37	0.0131596	0	0.0131596	0.605577	0.0095238	0	0.0095238	0.605577
R	B:B10	AHR	5	3	63	37	0.0570245	0.0548707	0.00215379	0.750751	0.0489178	0.0208333	0.0280845	0.750751
R	B:B10	AKT1	5	3	63	37	0.00809184	0.028676	-0.0205841	0.69627	0.0060606	0.0238095	-0.0177489	0.69627
R	B:B10	ARNTL	5	3	63	37	0.00809184	0.0548707	-0.0467788	0.69627	0.0060606	0.0208333	-0.0147727	0.69627
R	B:B10	BCL6	5	3	63	37	0	0	0	1	0	0	0	1
R	B:B10	BECN1	5	3	63	37	0.268263	0.171912	0.0963512	0.652783	0.276623	0.0863095	0.190314	0.652783
R	B:B10	BLNK	5	3	63	37	0.309447	0.317108	-0.0076606	1	0.234199	0.208333	0.0258657	1
R	B:B10	BRD4	5	3	63	37	0.0335984	0.251381	-0.217782	0.0324733	0.0251082	0.16369	-0.138582	0.0667981
R	B:B10	CAT	5	3	63	37	0.0452272	0.0550793	-0.00985209	1	0.0251082	0.047619	-0.0225108	1
R	B:B10	CD4	5	3	63	37	0	0	0	1	0	0	0	1
R	B:B10	CD86	5	3	63	37	0.0438648	0	0.0438648	0.329114	0.039394	0	0.039394	0.329114
R	B:B10	CREB1	5	3	63	37	0.0290286	0.0550793	-0.0260507	1	0.021645	0.047619	-0.025974	1
R	B:B10	CTNNB1	5	3	63	37	0.0131596	0	0.0131596	0.605577	0.0095238	0	0.0095238	0.605577
R	B:B10	DNMT1	5	3	63	37	0.015869	0.249076	-0.233207	0.0261792	0.0121212	0.1875	-0.175379	0.0261792
R	B:B10	FOXP3	5	3	63	37	0	0	0	1	0	0	0	1
R	B:B10	GABPA	5	3	63	37	0.0290286	0.101973	-0.072944	1	0.021645	0.0416667	-0.0200216	1
R	B:B10	HIF1A	5	3	63	37	0.103643	0.0835466	0.0200968	1	0.0575758	0.0446429	0.0129329	1
R	B:B10	HMOX1	5	3	63	37	0	0	0	1	0	0	0	1
R	B:B10	ICAM1	5	3	63	37	0.0856604	0.311482	-0.225822	0.266236	0.04329	0.214286	-0.170996	0.266236
