tissue_assignment	celltype	gene_symbol	n_diseased_samples	n_healthy_samples	diseased_cells	healthy_cells	mean_log1p_cpm_diseased	mean_log1p_cpm_healthy	delta_log1p_cpm_diseased_minus_healthy	p_log1p_cpm_mannwhitney	mean_detection_diseased	mean_detection_healthy	delta_detection_diseased_minus_healthy	p_detection_mannwhitney
R	B:B12	SMAD3	6	4	39	84	0	0	0	1	0	0	0	1
R	B:B12	SOD1	6	4	39	84	0.675003	0.823229	-0.148227	0.914286	0.354564	0.605595	-0.251031	0.134407
R	B:B12	STAT3	6	4	39	84	0.478781	0.178674	0.300107	0.235196	0.177976	0.121853	0.0561229	0.746128
R	B:B12	STAT5A	6	4	39	84	0	0.00947963	-0.00947963	0.307434	0	0.00454545	-0.00454545	0.307434
R	B:B12	SYK	6	4	39	84	0.116622	0.278634	-0.162012	0.210985	0.0638888	0.241259	-0.17737	0.13933
R	B:B12	TLR4	6	4	39	84	0	0	0	1	0	0	0	1
R	B:B12	TNF	6	4	39	84	0	0.443582	-0.443582	0.0942099	0	0.259615	-0.259615	0.0942099
R	B:B13	ACTA2	6	3	36	61	0	0.0446305	-0.0446305	0.0518299	0	0.0401361	-0.0401361	0.0518299
R	B:B13	AHR	6	3	36	61	0.0298515	0.164739	-0.134888	0.0659921	0.0151515	0.220408	-0.205257	0.0338949
R	B:B13	AKT1	6	3	36	61	0.0659515	0.033697	0.0322545	0.859684	0.0277778	0.0333333	-0.0055555	0.859684
R	B:B13	ARNTL	6	3	36	61	0.0659515	0	0.0659515	0.637352	0.0277778	0	0.0277778	0.637352
R	B:B13	BCL6	6	3	36	61	0	0	0	1	0	0	0	1
R	B:B13	BECN1	6	3	36	61	0.295787	0.150661	0.145125	0.693641	0.224748	0.193878	0.03087	0.895082
R	B:B13	BLNK	6	3	36	61	0.572359	0.54456	0.0277995	0.714286	0.343434	0.422449	-0.0790147	0.152121
R	B:B13	BRD4	6	3	36	61	0.0521375	0.20628	-0.154142	0.219768	0.030303	0.160544	-0.130241	0.219768
R	B:B13	CAT	6	3	36	61	0.083259	0.069928	0.013331	1	0.0454545	0.047619	-0.00216448	1
R	B:B13	CD4	6	3	36	61	0	0	0	1	0	0	0	1
R	B:B13	CD86	6	3	36	61	0	0.0654772	-0.0654772	0.0518299	0	0.0537415	-0.0537415	0.0518299
R	B:B13	CREB1	6	3	36	61	0	0.143118	-0.143118	0.0518299	0	0.121088	-0.121088	0.0518299
R	B:B13	CTNNB1	6	3	36	61	0.0659515	0.115697	-0.0497458	0.357386	0.0277778	0.10068	-0.0729025	0.219768
R	B:B13	DNMT1	6	3	36	61	0.163192	0.0552168	0.107975	0.787406	0.0707072	0.0469388	0.0237684	1
R	B:B13	FOXP3	6	3	36	61	0	0	0	1	0	0	0	1
R	B:B13	GABPA	6	3	36	61	0	0.0317802	-0.0317802	0.238593	0	0.0136054	-0.0136054	0.238593
R	B:B13	HIF1A	6	3	36	61	0.636907	0.0654772	0.571429	0.35802	0.29798	0.0537415	0.244238	0.511482
R	B:B13	HMOX1	6	3	36	61	0.0659515	0	0.0659515	0.637352	0.0277778	0	0.0277778	0.637352
R	B:B13	ICAM1	6	3	36	61	0.342235	0.142167	0.200068	0.4795	0.171717	0.0666667	0.10505	0.477289
R	B:B13	IFNG	6	3	36	61	0.0551598	0	0.0551598	0.637352	0.0151515	0	0.0151515	0.637352
R	B:B13	IL15	6	3	36	61	0.107297	0.113844	-0.00654713	0.887537	0.060606	0.113605	-0.0529994	0.477289
R	B:B13	IL1B	6	3	36	61	0	0	0	1	0	0	0	1
R	B:B13	IL7	6	3	36	61	0	0	0	1	0	0	0	1
R	B:B13	ITGAM	6	3	36	61	0	0	0	1	0	0	0	1
R	B:B13	ITGAX	6	3	36	61	0	0	0	1	0	0	0	1
R	B:B13	JAK1	6	3	36	61	0.395936	0.668498	-0.272561	0.697334	0.232323	0.469388	-0.237064	0.150382
R	B:B13	LYZ	6	3	36	61	0	0	0	1	0	0	0	1
R	B:B13	MAFB	6	3	36	61	0	0	0	1	0	0	0	1
R	B:B13	MAP1LC3B	6	3	36	61	0.440327	0.86222	-0.421892	0.153854	0.25	0.64898	-0.39898	0.153854
R	B:B13	MAPK14	6	3	36	61	0	0.041734	-0.041734	0.238593	0	0.0272109	-0.0272109	0.238593
R	B:B13	NFKB1	6	3	36	61	0.118089	0.0850963	0.0329927	0.887537	0.0580808	0.067347	-0.00926617	0.887537
R	B:B13	NLRP3	6	3	36	61	0	0	0	1	0	0	0	1
R	B:B13	OSM	6	3	36	61	0	0	0	1	0	0	0	1
R	B:B13	PARP1	6	3	36	61	0.128302	0.468091	-0.33979	0.0796158	0.060606	0.415646	-0.35504	0.0212918
R	B:B13	PIAS1	6	3	36	61	0.282011	0.25104	0.0309708	0.516853	0.131313	0.27415	-0.142837	0.362126
R	B:B13	PKM	6	3	36	61	0.534945	0.506998	0.0279468	0.904762	0.29798	0.54898	-0.251	0.118225
R	B:B13	PRKAA1	6	3	36	61	0	0.18508	-0.18508	0.00911579	0	0.246939	-0.246939	0.00911579
R	B:B13	PTGS2	6	3	36	61	0	0	0	1	0	0	0	1
R	B:B13	RELA	6	3	36	61	0.0298515	0.0215198	0.0083317	0.859684	0.0151515	0.0136054	0.00154608	0.859684
R	B:B13	SH3KBP1	6	3	36	61	0	0.278231	-0.278231	0.00911579	0	0.240816	-0.240816	0.00911579
R	B:B13	SMAD3	6	3	36	61	0	0	0	1	0	0	0	1
R	B:B13	SOD1	6	3	36	61	0.853895	0.755166	0.0987287	0.547619	0.472222	0.663265	-0.191043	0.515082
R	B:B13	STAT3	6	3	36	61	0.62278	0.270406	0.352373	0.166667	0.282828	0.314286	-0.0314573	0.696118
R	B:B13	STAT5A	6	3	36	61	0.0280992	0.103258	-0.075159	0.219768	0.0151515	0.106803	-0.0916512	0.219768
R	B:B13	SYK	6	3	36	61	0.238419	0.19949	0.0389293	0.895533	0.113636	0.155102	-0.0414656	0.692379
R	B:B13	TLR4	6	3	36	61	0	0	0	1	0	0	0	1
R	B:B13	TNF	6	3	36	61	0.0551598	0.0317802	0.0233797	0.859684	0.0151515	0.0136054	0.00154608	0.859684
R	B:B14	ACTA2	7	3	40	40	0	0	0	1	0	0	0	1
R	B:B14	AHR	7	3	40	40	0.119193	0	0.119193	0.662521	0.0285714	0	0.0285714	0.662521
R	B:B14	AKT1	7	3	40	40	0.0606776	0.0433653	0.0173122	1	0.0387755	0.030303	0.00847248	1
R	B:B14	ARNTL	7	3	40	40	0	0.0852797	-0.0852797	0.0344768	0	0.0757577	-0.0757577	0.0344768
R	B:B14	BCL6	7	3	40	40	0.0203866	0	0.0203866	0.662521	0.0102041	0	0.0102041	0.662521
R	B:B14	BECN1	7	3	40	40	0.17074	0.0295277	0.141212	0.607565	0.129252	0.020202	0.10905	0.607565
R	B:B14	BLNK	7	3	40	40	0.437922	0.567118	-0.129197	0.819168	0.263265	0.479798	-0.216533	0.492811
R	B:B14	BRD4	7	3	40	40	0.188069	0.18261	0.00545867	0.807903	0.114966	0.146465	-0.0314987	0.807903
R	B:B14	CAT	7	3	40	40	0.0974877	0.0433653	0.0541224	1	0.0489796	0.020202	0.0287775	1
R	B:B14	CD4	7	3	40	40	0	0	0	1	0	0	0	1
R	B:B14	CD86	7	3	40	40	0	0.160811	-0.160811	0.0344768	0	0.136364	-0.136364	0.0344768
R	B:B14	CREB1	7	3	40	40	0.08353	0.137485	-0.053955	0.261994	0.047619	0.106061	-0.0584417	0.261994
R	B:B14	CTNNB1	7	3	40	40	0.256151	0.172929	0.0832218	1	0.172789	0.161616	0.0111731	0.807903
R	B:B14	DNMT1	7	3	40	40	0.131551	0.0150907	0.11646	0.607565	0.0727891	0.010101	0.0626881	0.607565
R	B:B14	FOXP3	7	3	40	40	0	0	0	1	0	0	0	1
R	B:B14	GABPA	7	3	40	40	0.0754046	0.0433653	0.0320392	1	0.0442177	0.030303	0.0139147	1
R	B:B14	HIF1A	7	3	40	40	0.338769	0.133029	0.20574	0.556602	0.184694	0.0757577	0.108936	0.724285
R	B:B14	HMOX1	7	3	40	40	0.101045	0.0150907	0.0859546	0.744954	0.047619	0.010101	0.037518	0.744954
R	B:B14	ICAM1	7	3	40	40	0.150353	0.286434	-0.136081	0.224114	0.119048	0.419192	-0.300144	0.144622
R	B:B14	IFNG	7	3	40	40	0.183085	0.0708427	0.112242	1	0.104762	0.0656567	0.0391052	1
R	B:B14	IL15	7	3	40	40	0.188567	0.0150907	0.173476	0.330787	0.0982994	0.010101	0.0881984	0.330787
R	B:B14	IL1B	7	3	40	40	0.0203866	0	0.0203866	0.662521	0.0102041	0	0.0102041	0.662521
R	B:B14	IL7	7	3	40	40	0	0	0	1	0	0	0	1
R	B:B14	ITGAM	7	3	40	40	0	0	0	1	0	0	0	1
R	B:B14	ITGAX	7	3	40	40	0	0	0	1	0	0	0	1
R	B:B14	JAK1	7	3	40	40	0.251694	0.798949	-0.547255	0.0210353	0.159184	0.631313	-0.472129	0.037837
R	B:B14	LYZ	7	3	40	40	0.141219	0	0.141219	0.662521	0.0102041	0	0.0102041	0.662521
R	B:B14	MAFB	7	3	40	40	0.08353	0	0.08353	0.662521	0.047619	0	0.047619	0.662521
R	B:B14	MAP1LC3B	7	3	40	40	0.734374	0.911116	-0.176742	0.819168	0.419728	0.621212	-0.201484	0.730867
R	B:B14	MAPK14	7	3	40	40	0.136748	0.0295277	0.10722	0.607565	0.1	0.020202	0.079798	0.607565
R	B:B14	NFKB1	7	3	40	40	0.27014	0.43911	-0.16897	0.360475	0.181633	0.494949	-0.313317	0.288397
R	B:B14	NLRP3	7	3	40	40	0.0203866	0	0.0203866	0.662521	0.0102041	0	0.0102041	0.662521
R	B:B14	OSM	7	3	40	40	0	0	0	1	0	0	0	1
R	B:B14	PARP1	7	3	40	40	0.703862	0.832537	-0.128675	1	0.410544	0.752525	-0.341981	0.207225
R	B:B14	PIAS1	7	3	40	40	0.115696	0.479897	-0.364201	0.0186936	0.0727891	0.621212	-0.548423	0.0186936
R	B:B14	PKM	7	3	40	40	0.319676	0.699297	-0.379621	0.0674116	0.194898	0.676768	-0.48187	0.0396348
R	B:B14	PRKAA1	7	3	40	40	0.151399	0.112403	0.0389955	0.807903	0.0935374	0.0959597	-0.0024223	0.807903
R	B:B14	PTGS2	7	3	40	40	0.0203866	0	0.0203866	0.662521	0.0102041	0	0.0102041	0.662521
R	B:B14	RELA	7	3	40	40	0.12925	0.0852797	0.0439703	1	0.0911565	0.0757577	0.0153988	0.902909
R	B:B14	SH3KBP1	7	3	40	40	0.12925	0.18261	-0.0533603	0.62678	0.0625851	0.146465	-0.0838796	0.393153
R	B:B14	SMAD3	7	3	40	40	0	0	0	1	0	0	0	1
R	B:B14	SOD1	7	3	40	40	0.780937	0.789329	-0.00839171	0.833333	0.454422	0.782828	-0.328407	0.13608
R	B:B14	STAT3	7	3	40	40	0.474566	0.23036	0.244206	0.208615	0.241156	0.146465	0.0946917	0.422204
R	B:B14	STAT5A	7	3	40	40	0.127333	0	0.127333	0.261994	0.0625851	0	0.0625851	0.261994
R	B:B14	SYK	7	3	40	40	0.294565	0.428064	-0.133499	0.488808	0.154422	0.535353	-0.380931	0.0649095
R	B:B14	TLR4	7	3	40	40	0.0203866	0	0.0203866	0.662521	0.0102041	0	0.0102041	0.662521
R	B:B14	TNF	7	3	40	40	0.197602	0	0.197602	0.261994	0.0809524	0	0.0809524	0.259796
R	B:B15	ACTA2	5	4	47	31	0	0.0401943	-0.0401943	0.371093	0	0.05	-0.05	0.371093
R	B:B15	AHR	5	4	47	31	0.01058	0.0548679	-0.0442879	0.308369	0.0076923	0.0647059	-0.0570136	0.308369
R	B:B15	AKT1	5	4	47	31	0.195978	0	0.195978	0.240421	0.223077	0	0.223077	0.240421
R	B:B15	ARNTL	5	4	47	31	0	0.0146736	-0.0146736	0.371093	0	0.0147059	-0.0147059	0.371093
R	B:B15	BCL6	5	4	47	31	0	0	0	1	0	0	0	1
R	B:B15	BECN1	5	4	47	31	0.101754	0.0390045	0.0627493	0.893273	0.0807692	0.0504201	0.0303491	0.893273
R	B:B15	BLNK	5	4	47	31	0.330149	0.191916	0.138233	0.218742	0.196154	0.215966	-0.0198125	0.802419
R	B:B15	BRD4	5	4	47	31	0.0830556	0.0146736	0.068382	0.560509	0.0653846	0.0147059	0.0506787	0.560509
R	B:B15	CAT	5	4	47	31	0.0624272	0.0146736	0.0477536	1	0.05	0.0147059	0.0352941	1
R	B:B15	CD4	5	4	47	31	0	0	0	1	0	0	0	1
R	B:B15	CD86	5	4	47	31	0	0.0146736	-0.0146736	0.371093	0	0.0147059	-0.0147059	0.371093
R	B:B15	CREB1	5	4	47	31	0.0301958	0.0930587	-0.0628629	0.227249	0.023077	0.115126	-0.092049	0.0811359
R	B:B15	CTNNB1	5	4	47	31	0.01058	0.113817	-0.103237	0.0811359	0.0076923	0.10042	-0.0927278	0.0811359
R	B:B15	DNMT1	5	4	47	31	0	0.0548679	-0.0548679	0.13121	0	0.0647059	-0.0647059	0.13121
R	B:B15	FOXP3	5	4	47	31	0	0	0	1	0	0	0	1
R	B:B15	GABPA	5	4	47	31	0.01058	0.10137	-0.0907903	0.0811359	0.0076923	0.136134	-0.128442	0.0811359
R	B:B15	HIF1A	5	4	47	31	0.264497	0.174439	0.090058	0.622753	0.182051	0.207563	-0.0255118	1
R	B:B15	HMOX1	5	4	47	31	0	0	0	1	0	0	0	1
R	B:B15	ICAM1	5	4	47	31	0.129424	0.0401943	0.0892296	0.347654	0.098718	0.05	0.048718	0.502335
R	B:B15	IFNG	5	4	47	31	0	0.322862	-0.322862	0.371093	0	0.125	-0.125	0.371093
R	B:B15	IL15	5	4	47	31	0.108795	0.0243309	0.0844645	0.560509	0.0833334	0.0357143	0.0476191	0.560509
R	B:B15	IL1B	5	4	47	31	0	0	0	1	0	0	0	1
R	B:B15	IL7	5	4	47	31	0	0	0	1	0	0	0	1
R	B:B15	ITGAM	5	4	47	31	0	0	0	1	0	0	0	1
R	B:B15	ITGAX	5	4	47	31	0	0	0	1	0	0	0	1
R	B:B15	JAK1	5	4	47	31	0.198915	0.37585	-0.176935	0.533389	0.155128	0.410504	-0.255376	0.262239
R	B:B15	LYZ	5	4	47	31	0	0	0	1	0	0	0	1
R	B:B15	MAFB	5	4	47	31	0	0	0	1	0	0	0	1
R	B:B15	MAP1LC3B	5	4	47	31	0.689824	0.676807	0.0130177	0.730159	0.525641	0.612815	-0.0871743	0.555556
R	B:B15	MAPK14	5	4	47	31	0	0.0930587	-0.0930587	0.0416201	0	0.115126	-0.115126	0.0416201
R	B:B15	NFKB1	5	4	47	31	0.109934	0.127362	-0.017428	0.662427	0.1	0.15126	-0.0512605	0.662427
R	B:B15	NLRP3	5	4	47	31	0	0	0	1	0	0	0	1
R	B:B15	OSM	5	4	47	31	0	0	0	1	0	0	0	1
R	B:B15	PARP1	5	4	47	31	0.539331	0.653509	-0.114178	0.285714	0.380769	0.608613	-0.227844	0.170609
R	B:B15	PIAS1	5	4	47	31	0.148122	0.289472	-0.14135	0.533389	0.10641	0.332983	-0.226573	0.383221
R	B:B15	PKM	5	4	47	31	0.155355	0.463965	-0.30861	0.170609	0.0935897	0.470378	-0.376788	0.0342039
R	B:B15	PRKAA1	5	4	47	31	0	0.0748122	-0.0748122	0.371093	0	0.05	-0.05	0.371093
R	B:B15	PTGS2	5	4	47	31	0	0.0243309	-0.0243309	0.371093	0	0.0357143	-0.0357143	0.371093
R	B:B15	RELA	5	4	47	31	0.0638514	0.0390045	0.0248469	0.893273	0.0320513	0.0504201	-0.0183688	0.893273
R	B:B15	SH3KBP1	5	4	47	31	0.25247	0.119888	0.132582	0.701155	0.265385	0.0647059	0.200679	0.522431
R	B:B15	SMAD3	5	4	47	31	0	0	0	1	0	0	0	1
R	B:B15	SOD1	5	4	47	31	0.672363	0.478479	0.193884	0.730159	0.492308	0.466807	0.0255009	1
R	B:B15	STAT3	5	4	47	31	0.204464	0.140808	0.0636554	0.708624	0.129487	0.179832	-0.0503448	0.900865
R	B:B15	STAT5A	5	4	47	31	0	0.0146736	-0.0146736	0.371093	0	0.0147059	-0.0147059	0.371093
R	B:B15	SYK	5	4	47	31	0.0638514	0.0791988	-0.0153474	0.798074	0.0474359	0.10042	-0.0529843	0.442771
R	B:B15	TLR4	5	4	47	31	0	0	0	1	0	0	0	1
R	B:B15	TNF	5	4	47	31	0	0	0	1	0	0	0	1
R	B:B16	ACTA2	5	3	46	10	0.023315	0	0.023315	0.605577	0.0129032	0	0.0129032	0.605577
R	B:B16	AHR	5	3	46	10	0.023315	0	0.023315	0.605577	0.0129032	0	0.0129032	0.605577
R	B:B16	AKT1	5	3	46	10	0.0760342	0	0.0760342	0.605577	0.05	0	0.05	0.605577
R	B:B16	ARNTL	5	3	46	10	0	0	0	1	0	0	0	1
R	B:B16	BCL6	5	3	46	10	0.011997	0	0.011997	0.605577	0.00645162	0	0.00645162	0.605577
R	B:B16	BECN1	5	3	46	10	0.0340266	0.27927	-0.245243	0.171857	0.0129032	0.233333	-0.22043	0.171857
R	B:B16	BLNK	5	3	46	10	0.26173	0.152955	0.108775	0.750751	0.174731	0.166667	0.00806453	1
R	B:B16	BRD4	5	3	46	10	0.091771	0	0.091771	0.329114	0.0544802	0	0.0544802	0.329114
R	B:B16	CAT	5	3	46	10	0.011997	0.126315	-0.114318	0.69627	0.00645162	0.0666667	-0.060215	0.69627
R	B:B16	CD4	5	3	46	10	0	0	0	1	0	0	0	1
R	B:B16	CD86	5	3	46	10	0.082096	0	0.082096	0.329114	0.0480286	0	0.0480286	0.329114
R	B:B16	CREB1	5	3	46	10	0.071929	0	0.071929	0.329114	0.041577	0	0.041577	0.329114
R	B:B16	CTNNB1	5	3	46	10	0.011997	0.21149	-0.199493	0.171857	0.00645162	0.15	-0.143548	0.171857
R	B:B16	DNMT1	5	3	46	10	0.137252	0.27927	-0.142018	0.541193	0.0851254	0.233333	-0.148208	0.541193
R	B:B16	FOXP3	5	3	46	10	0.011997	0	0.011997	0.605577	0.00645162	0	0.00645162	0.605577
R	B:B16	GABPA	5	3	46	10	0.0379024	0.0851747	-0.0472723	0.69627	0.0222222	0.0833333	-0.0611111	0.69627
R	B:B16	HIF1A	5	3	46	10	0.109821	0.21149	-0.101669	0.427124	0.0609318	0.15	-0.0890682	0.266236
R	B:B16	HMOX1	5	3	46	10	0.011997	0	0.011997	0.605577	0.00645162	0	0.00645162	0.605577
R	B:B16	ICAM1	5	3	46	10	0.148892	0	0.148892	0.329114	0.0738352	0	0.0738352	0.329114
R	B:B16	IFNG	5	3	46	10	0	0	0	1	0	0	0	1
R	B:B16	IL15	5	3	46	10	0.137252	0.126315	0.0109363	0.750751	0.0786738	0.0666667	0.0120072	0.750751
R	B:B16	IL1B	5	3	46	10	0	0	0	1	0	0	0	1
R	B:B16	IL7	5	3	46	10	0	0	0	1	0	0	0	1
R	B:B16	ITGAM	5	3	46	10	0	0	0	1	0	0	0	1
R	B:B16	ITGAX	5	3	46	10	0	0	0	1	0	0	0	1
R	B:B16	JAK1	5	3	46	10	0.166017	0.335569	-0.169552	0.427124	0.102509	0.233333	-0.130824	0.633737
R	B:B16	LYZ	5	3	46	10	0	0	0	1	0	0	0	1
R	B:B16	MAFB	5	3	46	10	0	0	0	1	0	0	0	1
R	B:B16	MAP1LC3B	5	3	46	10	0.384895	0.665671	-0.280776	0.230243	0.246953	0.65	-0.403047	0.230243
R	B:B16	MAPK14	5	3	46	10	0.011997	0	0.011997	0.605577	0.00645162	0	0.00645162	0.605577
R	B:B16	NFKB1	5	3	46	10	0.011997	0	0.011997	0.605577	0.00645162	0	0.00645162	0.605577
R	B:B16	NLRP3	5	3	46	10	0	0	0	1	0	0	0	1
R	B:B16	OSM	5	3	46	10	0	0	0	1	0	0	0	1
R	B:B16	PARP1	5	3	46	10	0.24955	0.641734	-0.392184	0.359397	0.152509	0.5	-0.347491	0.359397
R	B:B16	PIAS1	5	3	46	10	0.0880312	0.126315	-0.0382841	1	0.0564516	0.0666667	-0.010215	1
R	B:B16	PKM	5	3	46	10	0.493137	0.426954	0.066183	0.759982	0.327419	0.15	0.177419	0.644692
R	B:B16	PRKAA1	5	3	46	10	0.0441936	0	0.0441936	0.605577	0.0258064	0	0.0258064	0.605577
R	B:B16	PTGS2	5	3	46	10	0	0	0	1	0	0	0	1
R	B:B16	RELA	5	3	46	10	0.208973	0	0.208973	0.171857	0.235125	0	0.235125	0.171857
R	B:B16	SH3KBP1	5	3	46	10	0.011997	0.0851747	-0.0731776	0.69627	0.00645162	0.0833333	-0.0768817	0.69627
R	B:B16	SMAD3	5	3	46	10	0	0	0	1	0	0	0	1
R	B:B16	SOD1	5	3	46	10	0.291221	0.990017	-0.698797	0.0357701	0.194086	0.616667	-0.422581	0.174494
R	B:B16	STAT3	5	3	46	10	0.13285	0.0851747	0.0476757	0.732678	0.083154	0.0833333	-0.000179333	1
R	B:B16	STAT5A	5	3	46	10	0.10378	0.0851747	0.0186053	1	0.041577	0.0833333	-0.0417563	1
R	B:B16	SYK	5	3	46	10	0.0612174	0.302875	-0.241657	0.266236	0.0351254	0.216667	-0.181541	0.266236
R	B:B16	TLR4	5	3	46	10	0	0	0	1	0	0	0	1
R	B:B16	TNF	5	3	46	10	0	0.0851747	-0.0851747	0.3017	0	0.0833333	-0.0833333	0.3017
R	B:B17	ACTA2	5	2	19	23	0	0	0	1	0	0	0	1
R	B:B17	AHR	5	2	19	23	0.0421336	0.109861	-0.0677271	0.285377	0.0333334	0.0958333	-0.0624999	0.285377
R	B:B17	AKT1	5	2	19	23	0.0221742	0.063575	-0.0414008	0.468717	0.0166667	0.0625	-0.0458333	0.468717
R	B:B17	ARNTL	5	2	19	23	0	0.063575	-0.063575	0.205903	0	0.0625	-0.0625	0.205903
R	B:B17	BCL6	5	2	19	23	0	0	0	1	0	0	0	1
R	B:B17	BECN1	5	2	19	23	0.102521	0.152222	-0.049701	0.314995	0.116667	0.129167	-0.0124998	0.314995
R	B:B17	BLNK	5	2	19	23	0.244047	0.34743	-0.103383	0.84073	0.183333	0.379167	-0.195833	0.314995
R	B:B17	BRD4	5	2	19	23	0.0221742	0.0462856	-0.0241114	0.80915	0.0166667	0.0333333	-0.0166667	0.80915
R	B:B17	CAT	5	2	19	23	0.0803468	0	0.0803468	0.75183	0.1	0	0.1	0.75183
R	B:B17	CD4	5	2	19	23	0	0	0	1	0	0	0	1
R	B:B17	CD86	5	2	19	23	0	0	0	1	0	0	0	1
R	B:B17	CREB1	5	2	19	23	0.242145	0.088647	0.153498	1	0.2	0.0666665	0.133333	1
R	B:B17	CTNNB1	5	2	19	23	0	0	0	1	0	0	0	1
R	B:B17	DNMT1	5	2	19	23	0.0421336	0	0.0421336	0.75183	0.0333334	0	0.0333334	0.75183
R	B:B17	FOXP3	5	2	19	23	0	0	0	1	0	0	0	1
R	B:B17	GABPA	5	2	19	23	0.161798	0	0.161798	0.75183	0.1	0	0.1	0.75183
R	B:B17	HIF1A	5	2	19	23	0.632484	0.0462856	0.586198	0.241032	0.366667	0.0333333	0.333333	0.223407
R	B:B17	HMOX1	5	2	19	23	0	0	0	1	0	0	0	1
R	B:B17	ICAM1	5	2	19	23	0.0421336	0.152222	-0.110088	0.285377	0.0166667	0.129167	-0.1125	0.0544834
R	B:B17	IFNG	5	2	19	23	0	0	0	1	0	0	0	1
R	B:B17	IL15	5	2	19	23	0.0803468	0.063575	0.0167718	0.80915	0.1	0.0625	0.0375	0.80915
R	B:B17	IL1B	5	2	19	23	0	0	0	1	0	0	0	1
R	B:B17	IL7	5	2	19	23	0	0	0	1	0	0	0	1
R	B:B17	ITGAM	5	2	19	23	0	0	0	1	0	0	0	1
R	B:B17	ITGAX	5	2	19	23	0	0	0	1	0	0	0	1
R	B:B17	JAK1	5	2	19	23	0.0221742	0.503817	-0.481642	0.0544834	0.0166667	0.416666	-0.4	0.0544834
R	B:B17	LYZ	5	2	19	23	0	0	0	1	0	0	0	1
R	B:B17	MAFB	5	2	19	23	0	0	0	1	0	0	0	1
R	B:B17	MAP1LC3B	5	2	19	23	0.632484	0.422702	0.209782	0.571429	0.366667	0.320833	0.0458331	0.54659
R	B:B17	MAPK14	5	2	19	23	0	0	0	1	0	0	0	1
R	B:B17	NFKB1	5	2	19	23	0	0	0	1	0	0	0	1
R	B:B17	NLRP3	5	2	19	23	0	0	0	1	0	0	0	1
R	B:B17	OSM	5	2	19	23	0	0	0	1	0	0	0	1
R	B:B17	PARP1	5	2	19	23	0.463971	0.407133	0.0568371	1	0.35	0.325	0.025	1
R	B:B17	PIAS1	5	2	19	23	0.203932	0.191273	0.0126583	0.54659	0.133333	0.1625	-0.0291666	0.54659
R	B:B17	PKM	5	2	19	23	0.229784	0.475735	-0.245951	0.54659	0.183333	0.3875	-0.204167	0.84073
R	B:B17	PRKAA1	5	2	19	23	0.0803468	0.088647	-0.0083002	0.80915	0.1	0.0666665	0.0333335	0.80915
R	B:B17	PTGS2	5	2	19	23	0	0	0	1	0	0	0	1
R	B:B17	RELA	5	2	19	23	0	0.063575	-0.063575	0.205903	0	0.0625	-0.0625	0.205903
R	B:B17	SH3KBP1	5	2	19	23	0.0221742	0.414347	-0.392173	0.0544834	0.0166667	0.258333	-0.241667	0.0544834
R	B:B17	SMAD3	5	2	19	23	0.102521	0	0.102521	0.468717	0.116667	0	0.116667	0.468717
R	B:B17	SOD1	5	2	19	23	0.691694	0.705515	-0.0138208	1	0.366667	0.516666	-0.15	0.199849
R	B:B17	STAT3	5	2	19	23	0.157264	0.317664	-0.1604	0.54659	0.166667	0.258333	-0.0916669	0.84073
R	B:B17	STAT5A	5	2	19	23	0	0	0	1	0	0	0	1
R	B:B17	SYK	5	2	19	23	0.0221742	0.216931	-0.194757	0.134746	0.0166667	0.158333	-0.141667	0.134746
R	B:B17	TLR4	5	2	19	23	0	0	0	1	0	0	0	1
R	B:B17	TNF	5	2	19	23	0	0	0	1	0	0	0	1
R	B:B2	ACTA2	7	4	853	128	0.0245967	0.0103932	0.0142035	0.536407	0.00671087	0.0049505	0.00176037	0.536407
R	B:B2	AHR	7	4	853	128	0.355881	0.180065	0.175816	0.507365	0.10932	0.0820545	0.0272651	0.776319
R	B:B2	AKT1	7	4	853	128	0.0931432	0.0969269	-0.00378369	0.628688	0.0255281	0.0574258	-0.0318976	0.922953
R	B:B2	ARNTL	7	4	853	128	0.235553	0.0447969	0.190756	0.39075	0.108956	0.0174505	0.0915051	0.504431
R	B:B2	BCL6	7	4	853	128	0.111161	0.0052506	0.10591	0.0333599	0.0297368	0.00247525	0.0272615	0.0333599
R	B:B2	BECN1	7	4	853	128	0.404729	0.296652	0.108077	0.527273	0.125731	0.149629	-0.0238978	0.527273
R	B:B2	BLNK	7	4	853	128	0.72338	0.560065	0.163315	0.343605	0.248694	0.261634	-0.0129399	1
R	B:B2	BRD4	7	4	853	128	0.480639	0.288909	0.19173	0.504431	0.14368	0.124258	0.0194222	0.924027
R	B:B2	CAT	7	4	853	128	0.377667	0.323882	0.0537848	1	0.121165	0.159654	-0.038488	0.648485
R	B:B2	CD4	7	4	853	128	0.209681	0.0052506	0.20443	0.0920362	0.101166	0.00247525	0.0986903	0.197627
R	B:B2	CD86	7	4	853	128	0.227237	0.121579	0.105658	0.294186	0.0610788	0.0498762	0.0112026	0.504431
R	B:B2	CREB1	7	4	853	128	0.529845	0.660264	-0.130419	0.787879	0.145785	0.28453	-0.138745	0.315152
R	B:B2	CTNNB1	7	4	853	128	0.353848	0.187407	0.166442	0.215084	0.103501	0.0845298	0.0189717	0.924027
R	B:B2	DNMT1	7	4	853	128	0.178461	0.198593	-0.020132	0.849769	0.0459238	0.0972772	-0.0513535	0.184875
