ingredient_id	ingredient_name	target_id	gene_symbol	protein_name	reference_id	pubmed_id	pubmed_url	reference_title	relationship	relationship_direction	grade	supporting_sentence	disease_context_terms	in_bulk_uc_ibd_up150	in_bulk_uc_ibd_down150	therapeutic_alignment	candidate_priority_class	candidate_priority_score
HBIN015751	Alpinetin	HBTAR000124	AHR	aryl hydrocarbon receptor	HBREF001703	30166541	https://pubmed.ncbi.nlm.nih.gov/30166541/	Alpinetin exerts anti-colitis efficacy by activating AhR, regulating miR-302/DNMT-1/CREB signals, and therefore promoting Treg differentiation		mixed	Grade C	redacted_public_package	colitis	no	no	not_in_bulk_module	priority_for_lincs_mapping	13.0
HBIN015751	Alpinetin	HBTAR000847	CREB1	cAMP responsive element binding protein 1	HBREF001703	30166541	https://pubmed.ncbi.nlm.nih.gov/30166541/	Alpinetin exerts anti-colitis efficacy by activating AhR, regulating miR-302/DNMT-1/CREB signals, and therefore promoting Treg differentiation		mixed	Grade C	redacted_public_package	colitis	no	no	not_in_bulk_module	priority_for_lincs_mapping	13.0
HBIN015751	Alpinetin	HBTAR001083	DNMT1	DNA methyltransferase 1	HBREF001703	30166541	https://pubmed.ncbi.nlm.nih.gov/30166541/	Alpinetin exerts anti-colitis efficacy by activating AhR, regulating miR-302/DNMT-1/CREB signals, and therefore promoting Treg differentiation		mixed	Grade C	redacted_public_package	colitis	no	no	not_in_bulk_module	priority_for_lincs_mapping	13.0
HBIN015751	Alpinetin	HBTAR002705	NFKB1	nuclear factor kappa B subunit 1	HBREF003025	32372959	https://pubmed.ncbi.nlm.nih.gov/32372959/	Activation of PXR by Alpinetin Contributes to Abrogate Chemically Induced Inflammatory Bowel Disease	suppress/inhibitor	down	Grade C	redacted_public_package	inflammatory_bowel_disease	no	no	not_in_bulk_module	priority_for_lincs_mapping	13.0
HBIN015751	Alpinetin	HBTAR004913	NR1I2	nuclear receptor subfamily 1 group I member 2	HBREF003025	32372959	https://pubmed.ncbi.nlm.nih.gov/32372959/	Activation of PXR by Alpinetin Contributes to Abrogate Chemically Induced Inflammatory Bowel Disease		binding_or_target	Grade C	redacted_public_package	colitis;inflammatory_bowel_disease;dss	no	no	not_in_bulk_module	priority_for_lincs_mapping	13.0
HBIN015751	Alpinetin	HBTAR004140	TNF	tumor necrosis factor	HBREF003025	32372959	https://pubmed.ncbi.nlm.nih.gov/32372959/	Activation of PXR by Alpinetin Contributes to Abrogate Chemically Induced Inflammatory Bowel Disease	suppress/inhibitor	down	Grade C	redacted_public_package	inflammatory_bowel_disease	no	no	not_in_bulk_module	priority_for_lincs_mapping	13.0
HBIN016606	Archin	HBTAR003641	CCL2	C-C motif chemokine ligand 2	HBREF003173	33489875	https://pubmed.ncbi.nlm.nih.gov/33489875/	Emodin Inhibits Inflammation, Carcinogenesis, and Cancer Progression in the AOM/DSS Model of Colitis-Associated Intestinal Tumorigenesis		unknown	Grade C	redacted_public_package	colitis;dss;colitis_associated	yes	no	module_hit_direction_unclear	priority_for_lincs_mapping	22.0
HBIN016606	Archin	HBTAR000920	CTNNB1	catenin beta 1	HBREF003173	33489875	https://pubmed.ncbi.nlm.nih.gov/33489875/	Emodin Inhibits Inflammation, Carcinogenesis, and Cancer Progression in the AOM/DSS Model of Colitis-Associated Intestinal Tumorigenesis		unknown	Grade C	redacted_public_package	colitis;dss;colitis_associated	no	no	not_in_bulk_module	priority_for_lincs_mapping	22.0
HBIN016606	Archin	HBTAR003659	CXCL5	C-X-C motif chemokine ligand 5	HBREF003173	33489875	https://pubmed.ncbi.nlm.nih.gov/33489875/	Emodin Inhibits Inflammation, Carcinogenesis, and Cancer Progression in the AOM/DSS Model of Colitis-Associated Intestinal Tumorigenesis		unknown	Grade C	redacted_public_package	colitis;dss;colitis_associated	yes	no	module_hit_direction_unclear	priority_for_lincs_mapping	22.0
HBIN016606	Archin	HBTAR001906	HP	haptoglobin	HBREF003169	32777486	https://pubmed.ncbi.nlm.nih.gov/32777486/	Enhanced therapeutic efficacy of a novel colon-specific nanosystem loading emodin on DSS-induced experimental colitis		mixed	Grade C	redacted_public_package	colitis;dss;mucosal_barrier	no	no	not_in_bulk_module	priority_for_lincs_mapping	22.0
HBIN016606	Archin	HBTAR002013	IFNG	interferon gamma	HBREF003194	35728384	https://pubmed.ncbi.nlm.nih.gov/35728384/	Emodin targeting the colonic metabolism via PPARγ alleviates UC by inhibiting facultative anaerobe		down	Grade C	redacted_public_package	ulcerative_colitis	no	no	not_in_bulk_module	priority_for_lincs_mapping	22.0
HBIN016606	Archin	HBTAR002041	IL1A	interleukin 1 alpha	HBREF003173	33489875	https://pubmed.ncbi.nlm.nih.gov/33489875/	Emodin Inhibits Inflammation, Carcinogenesis, and Cancer Progression in the AOM/DSS Model of Colitis-Associated Intestinal Tumorigenesis		unknown	Grade C	redacted_public_package	colitis;dss;colitis_associated	yes	no	module_hit_direction_unclear	priority_for_lincs_mapping	22.0
HBIN016606	Archin	HBTAR002042	IL1B	interleukin 1 beta	HBREF003169	32777486	https://pubmed.ncbi.nlm.nih.gov/32777486/	Enhanced therapeutic efficacy of a novel colon-specific nanosystem loading emodin on DSS-induced experimental colitis	suppress/inhibitor	down	Grade C	redacted_public_package	colitis;dss	yes	no	aligned_suppresses_disease_up_target	priority_for_lincs_mapping	22.0
